ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2002,2002-09-08,1,22.017,JAX,,IND,L 25-28,
2,2002,2002-09-15,2,22.024,JAX,@,KAN,W 23-16,
3,2002,2002-09-29,3,22.038,JAX,,NYJ,W 28-3,
4,2002,2002-10-06,4,22.045,JAX,,PHI,W 28-25,
5,2002,2002-10-13,5,22.052,JAX,@,TEN,L 14-23,
6,2002,2002-10-20,6,22.059,JAX,@,BAL,L 10-17,*
7,2002,2002-10-27,7,22.066,JAX,,HOU,L 19-21,*
8,2002,2002-11-03,8,22.073,JAX,@,NYG,L 17-24,*
9,2002,2002-11-10,9,22.080,JAX,,WAS,W 26-7,*
10,2002,2002-11-17,10,22.087,JAX,@,HOU,W 24-21,*
11,2002,2002-11-24,11,22.094,JAX,@,DAL,L 19-21,*
12,2002,2002-12-01,12,22.101,JAX,,PIT,L 23-25,*
13,2002,2002-12-08,13,22.108,JAX,,CLE,L 20-21,*
14,2002,2002-12-15,14,22.115,JAX,@,CIN,W 29-15,*
15,2002,2002-12-22,15,22.122,JAX,,TEN,L 10-28,*
16,2002,2002-12-29,16,22.129,JAX,@,IND,L 13-20,*
17,2003,2003-09-07,1,23.016,JAX,@,CAR,L 23-24,*
18,2003,2003-09-14,2,23.023,JAX,,BUF,L 17-38,*
19,2003,2003-09-21,3,23.030,JAX,@,IND,L 13-23,*
20,2003,2003-09-28,4,23.037,JAX,@,HOU,L 20-24,*
21,2003,2003-10-05,5,23.044,JAX,,SDG,W 27-21,*
22,2003,2003-10-12,6,23.051,JAX,,MIA,L 10-24,*
23,2003,2003-10-26,7,23.065,JAX,,TEN,L 17-30,*
24,2003,2003-11-02,8,23.072,JAX,@,BAL,L 17-24,*
25,2003,2003-11-09,9,23.079,JAX,,IND,W 28-23,*
26,2003,2003-11-16,10,23.086,JAX,@,TEN,L 3-10,*
27,2003,2003-11-23,11,23.093,JAX,@,NYJ,L 10-13,*
28,2003,2003-11-30,12,23.100,JAX,,TAM,W 17-10,*
29,2003,2003-12-07,13,23.107,JAX,,HOU,W 27-0,*
30,2003,2003-12-14,14,23.114,JAX,@,NWE,L 13-27,*
31,2003,2003-12-21,15,23.121,JAX,,NOR,W 20-19,*
32,2003,2003-12-28,16,23.128,JAX,@,ATL,L 14-21,*
33,2004,2004-09-12,1,24.021,JAX,@,BUF,W 13-10,*
34,2004,2004-09-19,2,24.028,JAX,,DEN,W 7-6,*
35,2004,2004-09-26,3,24.035,JAX,@,TEN,W 15-12,*
36,2004,2004-10-03,4,24.042,JAX,,IND,L 17-24,*
37,2005,2005-09-11,1,25.020,JAX,,SEA,W 26-14,*
38,2005,2005-09-18,2,25.027,JAX,@,IND,L 3-10,
39,2005,2005-09-25,3,25.034,JAX,@,NYJ,W 26-20,*
40,2005,2006-01-01,16,25.132,JAX,,TEN,W 40-13,
