ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1999,1999-09-12,1,22.094,NYG,@,TAM,W 17-13,,,,,
2,1999,1999-10-10,5,22.122,NYG,@,ARI,L 3-14,,,,,
3,1999,1999-11-21,10,22.164,NYG,@,WAS,L 13-23,*,,,,
4,1999,1999-11-28,11,22.171,NYG,,ARI,L 24-34,*,,,,
5,1999,1999-12-05,12,22.178,NYG,,NYJ,W 41-28,*,,,,
6,1999,1999-12-12,13,22.185,NYG,@,BUF,W 19-17,*,,,,
7,1999,1999-12-19,14,22.192,NYG,@,STL,L 10-31,*,,,,
8,1999,1999-12-26,15,22.199,NYG,,MIN,L 17-34,*,,,,
9,1999,2000-01-02,16,22.206,NYG,@,DAL,L 18-26,*,,,,
10,2000,2000-11-05,9,23.148,NYG,@,CLE,W 24-3,,,,,
11,2000,2000-11-12,10,23.155,NYG,,STL,L 24-38,*,,,,
12,2000,2000-11-19,11,23.162,NYG,,DET,L 21-31,,,,,
13,2000,2000-11-26,12,23.169,NYG,@,ARI,W 31-7,,,,,
14,2000,2000-12-03,13,23.176,NYG,@,WAS,W 9-7,,,,,
15,2000,2000-12-10,14,23.183,NYG,,PIT,W 30-10,,,,,
16,2000,2000-12-17,15,23.190,NYG,@,DAL,W 17-13,,,,,
17,2000,2000-12-23,16,23.196,NYG,,JAX,W 28-25,,,,,
18,2001,2001-10-07,4,24.119,NYG,,WAS,W 23-9,,,,,
19,2001,2001-10-14,5,24.126,NYG,@,STL,L 14-15,,,,,
20,2001,2001-10-22,6,24.134,NYG,,PHI,L 9-10,,,,,
21,2001,2001-10-28,7,24.140,NYG,@,WAS,L 21-35,,,,,
22,2001,2001-11-25,11,24.168,NYG,,OAK,L 10-28,,,,,
23,2001,2001-12-15,13,24.188,NYG,,ARI,W 17-13,,,,,
24,2001,2002-01-06,16,24.210,NYG,,GNB,L 25-34,,,,,
25,2002,2002-09-05,1,25.087,NYG,,SFO,L 13-16,*,,,,
26,2002,2002-09-15,2,25.097,NYG,@,STL,W 26-21,*,,,,
27,2002,2002-09-22,3,25.104,NYG,,SEA,W 9-6,*,,,,
28,2002,2002-09-29,4,25.111,NYG,@,ARI,L 7-21,*,,,,
29,2002,2002-10-06,5,25.118,NYG,@,DAL,W 21-17,*,,,,
30,2002,2002-10-13,6,25.125,NYG,,ATL,L 10-17,*,,,,
31,2002,2002-10-28,7,25.140,NYG,@,PHI,L 3-17,*,,,,
32,2002,2002-11-03,8,25.146,NYG,,JAX,W 24-17,*,,,,
33,2002,2002-11-10,9,25.153,NYG,@,MIN,W 27-20,*,,,,
34,2002,2002-11-17,10,25.160,NYG,,WAS,W 19-17,*,,,,
35,2002,2002-11-24,11,25.167,NYG,@,HOU,L 14-16,*,,,,
36,2002,2002-12-01,12,25.174,NYG,,TEN,L 29-32,*,,,,
37,2002,2002-12-08,13,25.181,NYG,@,WAS,W 27-21,*,,,,
38,2002,2002-12-15,14,25.188,NYG,,DAL,W 37-7,*,,,,
39,2002,2002-12-22,15,25.195,NYG,@,IND,W 44-27,*,,,,
40,2002,2002-12-28,16,25.201,NYG,,PHI,W 10-7,*,,,,
41,2003,2003-09-07,1,26.089,MIN,@,GNB,W 30-25,*,,,,
42,2003,2003-09-14,2,26.096,MIN,,CHI,W 24-13,*,,,,
43,2003,2003-09-21,3,26.103,MIN,@,DET,W 23-13,*,,,,
44,2003,2003-09-28,4,26.110,MIN,,SFO,W 35-7,*,,,,
45,2003,2003-10-05,5,26.117,MIN,@,ATL,W 39-26,*,,,,
46,2003,2003-10-19,6,26.131,MIN,,DEN,W 28-20,*,,,,
47,2003,2003-10-26,7,26.138,MIN,,NYG,L 17-29,*,,,,
48,2003,2003-11-02,8,26.145,MIN,,GNB,L 27-30,*,,,,
49,2003,2003-11-09,9,26.152,MIN,@,SDG,L 28-42,*,,,,
50,2003,2003-11-16,10,26.159,MIN,@,OAK,L 18-28,*,,,,
51,2003,2003-11-23,11,26.166,MIN,,DET,W 24-14,*,,,,
52,2003,2003-11-30,12,26.173,MIN,@,STL,L 17-48,*,,,,
53,2003,2003-12-07,13,26.180,MIN,,SEA,W 34-7,*,,,,
54,2003,2003-12-14,14,26.187,MIN,@,CHI,L 10-13,*,,,,
55,2003,2003-12-20,15,26.193,MIN,,KAN,W 45-20,*,,,,
56,2003,2003-12-28,16,26.201,MIN,@,ARI,L 17-18,*,,,,
57,2004,2004-09-12,1,27.094,MIN,,DAL,W 35-17,*,,,,
58,2004,2004-09-20,2,27.102,MIN,@,PHI,L 16-27,*,,,,
59,2005,2005-09-11,1,28.093,MIN,,TAM,L 13-24,*,,,,
60,2005,2005-09-18,2,28.100,MIN,@,CIN,L 8-37,*,,,,
61,2005,2005-09-25,3,28.107,MIN,,NOR,W 33-16,*,,,,
62,2005,2005-10-02,4,28.114,MIN,@,ATL,L 10-30,*,,,,
63,2005,2005-10-16,5,28.128,MIN,@,CHI,L 3-28,*,,,,
64,2005,2005-10-23,6,28.135,MIN,,GNB,W 23-20,*,,,,
65,2005,2005-10-30,7,28.142,MIN,@,CAR,L 13-38,*,,,,
66,2005,2005-11-06,8,28.149,MIN,,DET,W 27-14,*,,,,
67,2005,2005-11-13,9,28.156,MIN,@,NYG,W 24-21,*,,,,
