ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1980,1980-09-07,1,22.161,DET,@,RAM,W 41-20
2,1980,1980-09-14,2,22.168,DET,@,GNB,W 29-7
3,1980,1980-09-21,3,22.175,DET,,STL,W 20-7
4,1980,1980-09-28,4,22.182,DET,,MIN,W 27-7
5,1980,1980-10-05,5,22.189,DET,@,ATL,L 28-43
6,1980,1980-10-12,6,22.196,DET,,NOR,W 24-13
7,1980,1980-10-19,7,22.203,DET,@,CHI,L 7-24
8,1980,1980-10-26,8,22.210,DET,@,KAN,L 17-20
9,1980,1980-11-02,9,22.217,DET,,SFO,W 17-13
10,1980,1980-11-09,10,22.224,DET,@,MIN,L 0-34
11,1980,1980-11-16,11,22.231,DET,,BAL,L 9-10
12,1980,1980-11-23,12,22.238,DET,@,TAM,W 24-10
13,1980,1980-11-27,13,22.242,DET,,CHI,L 17-23
14,1980,1980-12-07,14,22.252,DET,@,STL,L 23-24
15,1980,1980-12-14,15,22.259,DET,,TAM,W 27-14
16,1980,1980-12-21,16,22.266,DET,,GNB,W 24-3
