ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1997,1997-08-31,1,23.266,STL,,NOR,W 38-24,,,0,0,,0,0.0%,
2,1997,1997-09-07,2,23.273,STL,,SFO,L 12-15,,,0,0,,0,0.0%,
3,1997,1997-09-14,3,23.280,STL,@,DEN,L 14-35,,,0,0,,0,0.0%,
4,1997,1997-09-21,4,23.287,STL,,NYG,W 13-3,,,0,0,,0,0.0%,
5,1997,1997-09-28,5,23.294,STL,@,OAK,L 17-35,,1,1,10,10.00,0,100.0%,10.00
6,1997,1997-10-12,6,23.308,STL,@,SFO,L 10-30,,0,0,0,,0,0.0%,
7,1997,1997-10-19,7,23.315,STL,,SEA,L 9-17,,,0,0,,0,0.0%,
8,1997,1997-10-26,8,23.322,STL,,KAN,L 20-28,,1,0,0,,0,0.0%,0.00
9,1997,1997-11-02,9,23.329,STL,@,ATL,L 31-34,,,0,0,,0,0.0%,
10,1997,1997-11-09,10,23.336,STL,@,GNB,L 7-17,,0,0,0,,0,0.0%,
11,1997,1997-11-16,11,23.343,STL,,ATL,L 21-27,,,0,0,,0,0.0%,
12,1997,1997-11-23,12,23.350,STL,,CAR,L 10-16,,1,1,0,0.00,0,100.0%,0.00
13,1997,1997-11-30,13,23.357,STL,@,WAS,W 23-20,,,0,0,,0,0.0%,
14,1997,1997-12-07,14,23.364,STL,@,NOR,W 34-27,,,0,0,,0,0.0%,
15,1998,1998-11-29,12,24.356,STL,,ATL,L 10-21,,,,,,,0.0%,
16,1998,1998-12-03,13,24.360,STL,@,PHI,L 14-17,,,,,,,0.0%,
17,1998,1998-12-13,14,25.005,STL,,NWE,W 32-18,,,,,,,0.0%,
18,1998,1998-12-20,15,25.012,STL,@,CAR,L 13-20,,,,,,,0.0%,
19,1998,1998-12-27,16,25.019,STL,@,SFO,L 19-38,,,,,,,0.0%,
20,1999,1999-10-21,6,25.317,KAN,@,BAL,W 35-8,,,,,,,0.0%,
21,1999,1999-10-31,7,25.327,KAN,,SDG,W 34-0,,1,1,6,6.00,0,100.0%,6.00
22,1999,1999-11-07,8,25.334,KAN,@,IND,L 17-25,,,,,,,0.0%,
23,1999,1999-11-28,11,25.355,KAN,@,OAK,W 37-34,,,,,,,0.0%,
24,1999,1999-12-18,14,26.010,KAN,,PIT,W 35-19,,0,,,,,0.0%,
