ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1966,1966-10-23,7,24.236,WAS,,STL,W 26-20,0,0,,0,0,0,,0,1,15,15.00,0
2,1966,1966-11-06,9,24.250,WAS,@,BAL,L 10-37,0,0,,0,0,0,,0,1,7,7.00,0
3,1966,1966-11-20,11,24.264,WAS,@,CLE,L 3-14,0,0,,0,1,1,1.00,0,0,0,,0
4,1970,1970-09-18,1,28.201,RAM,,STL,W 34-13,,,,,,,,,,,,
5,1970,1970-09-27,2,28.210,RAM,@,BUF,W 19-0,,,,,,,,,,,,
6,1970,1970-10-04,3,28.217,RAM,,SDG,W 37-10,,,,,,,,,,,,
7,1970,1970-10-11,4,28.224,RAM,,SFO,L 6-20,,,,,,,,,,,,
8,1970,1970-10-18,5,28.231,RAM,@,GNB,W 31-21,,,,,,,,,,,,
9,1970,1970-10-26,6,28.239,RAM,@,MIN,L 3-13,,,,,,,,,,,,
10,1970,1970-11-01,7,28.245,RAM,@,NOR,W 30-17,0,0,,0,0,0,,0,1,17,17.00,0
11,1970,1970-11-08,8,28.252,RAM,,ATL,T 10-10,1,1,1.00,0,0,0,,0,0,0,,0
12,1970,1970-11-15,9,28.259,RAM,,NYJ,L 20-31,,,,,,,,,,,,
13,1970,1970-11-22,10,28.266,RAM,@,ATL,W 17-7,,,,,,,,,,,,
14,1970,1970-11-29,11,28.273,RAM,@,SFO,W 30-13,,,,,,,,,,,,
15,1970,1970-12-06,12,28.280,RAM,,NOR,W 34-16,,,,,,,,,,,,
16,1970,1970-12-14,13,28.288,RAM,,DET,L 23-28,,,,,,,,,,,,
17,1970,1970-12-20,14,28.294,RAM,@,NYG,W 31-3,,,,,,,,,,,,
18,1971,1971-09-19,1,29.202,CLE,,HOU,W 31-0,,,,,,,,,,,,
19,1971,1971-09-26,2,29.209,CLE,@,BAL,W 14-13,,,,,,,,,,,,
20,1971,1971-10-04,3,29.217,CLE,,OAK,L 20-34,,,,,,,,,,,,
21,1971,1971-10-10,4,29.223,CLE,,PIT,W 27-17,,,,,,,,,,,,
22,1971,1971-10-17,5,29.230,CLE,@,CIN,W 27-24,,,,,,,,,,,,
23,1971,1971-10-24,6,29.237,CLE,,DEN,L 0-27,,,,,,,,,,,,
24,1971,1971-10-31,7,29.244,CLE,,ATL,L 14-31,,,,,,,,,,,,
25,1971,1971-11-07,8,29.251,CLE,@,PIT,L 9-26,,,,,,,,,,,,
26,1971,1971-11-14,9,29.258,CLE,@,KAN,L 7-13,,,,,,,,,,,,
27,1971,1971-11-21,10,29.265,CLE,,NWE,W 27-7,,,,,,,,,,,,
28,1971,1971-11-28,11,29.272,CLE,@,HOU,W 37-24,,,,,,,,,,,,
