ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1974,1974-09-15,1,23.128,PHI,@,STL,L 3-7
2,1974,1974-09-23,2,23.136,PHI,,DAL,W 13-10
3,1974,1974-09-29,3,23.142,PHI,,BAL,W 30-10
4,1974,1974-10-06,4,23.149,PHI,@,SDG,W 13-7
5,1974,1974-10-13,5,23.156,PHI,,NYG,W 35-7
6,1974,1974-10-20,6,23.163,PHI,@,DAL,L 24-31
7,1974,1974-10-27,7,23.170,PHI,@,NOR,L 10-14
8,1974,1974-11-03,8,23.177,PHI,@,PIT,L 0-27
9,1974,1974-11-10,9,23.184,PHI,,WAS,L 20-27
10,1974,1974-11-17,10,23.191,PHI,,STL,L 3-13
11,1974,1974-11-24,11,23.198,PHI,@,WAS,L 7-26
12,1974,1974-12-01,12,23.205,PHI,,GNB,W 36-14
13,1974,1974-12-08,13,23.212,PHI,@,NYG,W 20-7
14,1974,1974-12-15,14,23.219,PHI,,DET,W 28-17
15,1975,1975-09-21,1,24.134,PHI,,NYG,L 14-23
16,1975,1975-09-28,2,24.141,PHI,@,CHI,L 13-15
17,1975,1975-10-05,3,24.148,PHI,,WAS,W 26-10
18,1975,1975-10-12,4,24.155,PHI,@,MIA,L 16-24
