ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2017,2017-10-09,5,23.050,CHI,,MIN,L 17-20,*,12,25,48.00,128,1,1,60.1,1,7,5.12,4.12,3,22,7.33,0,1,0,2
2,2017,2017-10-15,6,23.056,CHI,@,BAL,W 27-24,*,8,16,50.00,113,1,0,94.0,4,23,7.06,8.31,4,32,8.00,0,,0,0
3,2017,2017-10-22,7,23.063,CHI,,CAR,W 17-3,*,4,7,57.14,107,0,0,101.8,4,22,15.29,15.29,5,3,0.60,0,,0,0
4,2017,2017-10-29,8,23.070,CHI,@,NOR,L 12-20,*,14,32,43.75,164,0,1,46.9,2,14,5.13,3.72,3,53,17.67,0,,0,0
5,2017,2017-11-12,9,23.084,CHI,,GNB,L 16-23,*,21,35,60.00,297,1,0,97.0,5,29,8.49,9.06,0,0,,0,,0,0
6,2017,2017-11-19,10,23.091,CHI,,DET,L 24-27,*,18,30,60.00,179,1,0,88.1,1,3,5.97,6.63,6,53,8.83,0,,0,0
7,2017,2017-11-26,11,23.098,CHI,@,PHI,L 3-31,*,17,33,51.52,147,0,2,38.3,2,13,4.45,1.73,4,12,3.00,0,,0,0
8,2017,2017-12-03,12,23.105,CHI,,SFO,L 14-15,*,12,15,80.00,102,1,0,117.2,2,17,6.80,8.13,4,19,4.75,0,,0,0
9,2017,2017-12-10,13,23.112,CHI,@,CIN,W 33-7,*,25,32,78.13,271,1,0,112.4,2,21,8.47,9.09,2,5,2.50,1,,1,6
10,2017,2017-12-16,14,23.118,CHI,@,DET,L 10-20,*,31,46,67.39,314,1,3,66.8,2,8,6.83,4.33,2,3,1.50,0,,0,0
11,2017,2017-12-24,15,23.126,CHI,,CLE,W 20-3,*,14,23,60.87,193,0,0,87.8,5,32,8.39,8.39,7,44,6.29,1,,1,6
12,2017,2017-12-31,16,23.133,CHI,@,MIN,L 10-23,*,20,36,55.56,178,0,0,69.0,1,7,4.94,4.94,1,2,2.00,0,,0,0
13,2018,2018-09-09,1,24.020,CHI,@,GNB,L 23-24,*,23,35,65.71,171,0,0,77.2,4,16,4.89,4.89,7,32,4.57,1,,1,6
14,2018,2018-09-17,2,24.028,CHI,,SEA,W 24-17,*,25,34,73.53,200,2,2,83.0,2,15,5.88,4.41,5,24,4.80,0,,0,0
15,2018,2018-09-23,3,24.034,CHI,@,ARI,W 16-14,*,24,35,68.57,220,0,1,73.5,3,26,6.29,5.00,2,8,4.00,0,,0,0
