ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1974,1974-09-15,1,22.020,ATL,,DAL,L 0-24,3,8,2.67,0,0,0,,0
2,1974,1974-09-29,3,22.034,ATL,@,NOR,L 13-14,,,,,,,,
3,1974,1974-10-06,4,22.041,ATL,@,NYG,W 14-7,4,22,5.50,0,0,0,,0
4,1974,1974-10-28,7,22.063,ATL,@,PIT,L 17-24,,,,,,,,
5,1974,1974-11-03,8,22.069,ATL,@,MIA,L 7-42,,,,,,,,
6,1974,1974-11-17,10,22.083,ATL,,BAL,L 7-17,0,0,,0,3,74,24.67,0
7,1974,1974-11-24,11,22.090,ATL,@,SFO,L 0-27,,,,,,,,
8,1974,1974-12-01,12,22.097,ATL,,RAM,L 7-30,,,,,,,,
9,1974,1974-12-07,13,22.103,ATL,@,MIN,L 10-23,0,0,,0,4,74,18.50,0
10,1974,1974-12-15,14,22.111,ATL,,GNB,W 10-3,0,0,,0,1,19,19.00,0
