ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,22.129,JAX,,DAL,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,1,4,4.00,0,,0,0,0.0,,
2,2006,2006-09-18,2,22.137,JAX,,PIT,W 9-0,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
3,2006,2006-09-24,3,22.143,JAX,@,IND,L 14-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
4,2006,2006-10-01,4,22.150,JAX,@,WAS,L 30-36,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
5,2006,2006-10-08,5,22.157,JAX,,NYJ,W 41-0,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
6,2006,2006-10-22,6,22.171,JAX,@,HOU,L 7-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
7,2006,2006-10-29,7,22.178,JAX,@,PHI,W 13-6,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
8,2006,2006-11-05,8,22.185,JAX,,TEN,W 37-7,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
9,2006,2006-11-12,9,22.192,JAX,,HOU,L 10-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
10,2006,2006-11-20,10,22.200,JAX,,NYG,W 26-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
11,2006,2006-11-26,11,22.206,JAX,@,BUF,L 24-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
12,2006,2006-12-10,13,22.220,JAX,,IND,W 44-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
13,2006,2006-12-17,14,22.227,JAX,@,TEN,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
14,2006,2006-12-31,16,22.241,JAX,@,KAN,L 30-35,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
15,2007,2007-09-09,1,23.128,JAX,,TEN,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
16,2007,2007-09-16,2,23.135,JAX,,ATL,W 13-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
17,2007,2007-09-23,3,23.142,JAX,@,DEN,W 23-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
18,2007,2007-10-07,4,23.156,JAX,@,KAN,W 17-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
19,2007,2007-10-14,5,23.163,JAX,,HOU,W 37-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
20,2007,2007-10-22,6,23.171,JAX,,IND,L 7-29,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
21,2007,2007-10-28,7,23.177,JAX,@,TAM,W 24-23,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
22,2007,2007-11-04,8,23.184,JAX,@,NOR,L 24-41,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
23,2007,2007-11-11,9,23.191,JAX,@,TEN,W 28-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
24,2007,2007-11-18,10,23.198,JAX,,SDG,W 24-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
25,2007,2007-11-25,11,23.205,JAX,,BUF,W 36-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
26,2007,2007-12-02,12,23.212,JAX,@,IND,L 25-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
27,2007,2007-12-09,13,23.219,JAX,,CAR,W 37-6,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
28,2007,2007-12-16,14,23.226,JAX,@,PIT,W 29-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
29,2007,2007-12-23,15,23.233,JAX,,OAK,W 49-11,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
30,2007,2007-12-30,16,23.240,JAX,@,HOU,L 28-42,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
31,2008,2008-09-07,1,24.126,JAX,@,TEN,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
32,2008,2008-09-14,2,24.133,JAX,,BUF,L 16-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
33,2008,2008-09-21,3,24.140,JAX,@,IND,W 23-21,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,0,1
34,2008,2008-09-28,4,24.147,JAX,,HOU,W 30-27,,1,41,41.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
35,2008,2008-10-05,5,24.154,JAX,,PIT,L 21-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
36,2008,2008-10-12,6,24.161,JAX,@,DEN,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
37,2008,2008-10-26,7,24.175,JAX,,CLE,L 17-23,,,,,,,,,,,0.0%,,,,,,,,,,,
38,2008,2008-11-02,8,24.182,JAX,@,CIN,L 19-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
39,2008,2008-11-09,9,24.189,JAX,@,DET,W 38-14,,,,,,,,,,,0.0%,,,,,,,,,,,
40,2008,2008-11-16,10,24.196,JAX,,TEN,L 14-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
41,2008,2008-11-23,11,24.203,JAX,,MIN,L 12-30,,,,,,,,,,,0.0%,,,,,,,,,,,
42,2008,2008-12-01,12,24.211,JAX,@,HOU,L 17-30,,0,0,,0,0,0,0,,0,0.0%,,2,30,15.00,0,,0,0,0.0,0,0
43,2008,2008-12-07,13,24.217,JAX,@,CHI,L 10-23,,,,,,1,,,,,0.0%,,,,,,,,,,,
44,2008,2008-12-14,14,24.224,JAX,,GNB,W 20-16,,,,,,,,,,,0.0%,,,,,,,,,,,
45,2008,2008-12-18,15,24.228,JAX,,IND,L 24-31,,1,2,2.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
46,2008,2008-12-28,16,24.238,JAX,@,BAL,L 7-27,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
47,2009,2009-09-13,1,25.132,JAX,@,IND,L 12-14,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
48,2009,2009-09-20,2,25.139,JAX,,ARI,L 17-31,,1,-2,-2.00,0,1,0,0,,0,0.0%,0.00,1,29,29.00,0,,0,0,0.0,0,0
49,2009,2009-09-27,3,25.146,JAX,@,HOU,W 31-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
50,2009,2009-10-04,4,25.153,JAX,,TEN,W 37-17,,,,,,,,,,,0.0%,,,,,,,,,,,
51,2009,2009-10-11,5,25.160,JAX,@,SEA,L 0-41,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
52,2009,2009-10-18,6,25.167,JAX,,STL,W 23-20,,,,,,,,,,,0.0%,,,,,,,,,,,
53,2009,2009-11-01,7,25.181,JAX,@,TEN,L 13-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
54,2009,2009-11-08,8,25.188,JAX,,KAN,W 24-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
55,2009,2009-11-15,9,25.195,JAX,@,NYJ,W 24-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
56,2009,2009-11-22,10,25.202,JAX,,BUF,W 18-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
57,2009,2009-11-29,11,25.209,JAX,@,SFO,L 3-20,,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0,,0,0,0.0,0,0
58,2009,2009-12-06,12,25.216,JAX,,HOU,W 23-18,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
59,2009,2009-12-13,13,25.223,JAX,,MIA,L 10-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
60,2009,2009-12-17,14,25.227,JAX,,IND,L 31-35,,,,,,,,,,,0.0%,,,,,,,,,,,
61,2009,2009-12-27,15,25.237,JAX,@,NWE,L 7-35,,,,,,,,,,,0.0%,,,,,,,,,,,
62,2009,2010-01-03,16,25.244,JAX,@,CLE,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,1,3,3.00,0,,0,0,0.0,0,0
63,2010,2010-09-12,1,26.131,JAX,,DEN,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,,0,0,0.0,0,0
64,2010,2010-09-19,2,26.138,JAX,@,SDG,L 13-38,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
65,2010,2010-09-26,3,26.145,JAX,,PHI,L 3-28,,,,,,,,,,,0.0%,,,,,,,,,,,
66,2010,2010-10-03,4,26.152,JAX,,IND,W 31-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
67,2010,2010-10-10,5,26.159,JAX,@,BUF,W 36-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
68,2010,2010-10-18,6,26.167,JAX,,TEN,L 3-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
69,2010,2010-10-24,7,26.173,JAX,@,KAN,L 20-42,,,,,,,,,,,0.0%,,,,,,,,,,,
70,2010,2010-10-31,8,26.180,JAX,@,DAL,W 35-17,,,,,,,,,,,0.0%,,,,,,,,,,,
71,2010,2010-11-14,9,26.194,JAX,,HOU,W 31-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
72,2010,2010-11-21,10,26.201,JAX,,CLE,W 24-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
73,2010,2010-11-28,11,26.208,JAX,@,NYG,L 20-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
74,2010,2010-12-05,12,26.215,JAX,@,TEN,W 17-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
75,2010,2010-12-12,13,26.222,JAX,,OAK,W 38-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
76,2010,2010-12-19,14,26.229,JAX,@,IND,L 24-34,,,,,,0,,,,,0.0%,,,,,,,,,,,
77,2010,2010-12-26,15,26.236,JAX,,WAS,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
78,2010,2011-01-02,16,26.243,JAX,@,HOU,L 17-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
79,2011,2011-09-11,1,27.130,JAX,,TEN,W 16-14,,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
80,2011,2011-09-18,2,27.137,JAX,@,NYJ,L 3-32,,0,0,,0,0,0,0,,0,0.0%,,1,13,13.00,0,,0,0,0.0,0,0
81,2011,2011-09-25,3,27.144,JAX,@,CAR,L 10-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
82,2011,2011-10-24,7,27.173,JAX,,BAL,W 12-7,,,,,,,,,,,0.0%,,,,,,,,,,,
83,2011,2011-10-30,8,27.179,JAX,@,HOU,L 14-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
84,2011,2011-11-13,9,27.193,JAX,@,IND,W 17-3,,,,,,,,,,,0.0%,,,,,,,,,,,
85,2011,2011-11-20,10,27.200,JAX,@,CLE,L 10-14,,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
86,2011,2011-11-27,11,27.207,JAX,,HOU,L 13-20,,2,-2,-1.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
87,2011,2011-12-05,12,27.215,JAX,,SDG,L 14-38,,2,11,5.50,0,2,1,-4,-4.00,0,50.0%,-2.00,0,0,,0,,0,0,0.0,0,0
88,2011,2011-12-11,13,27.221,JAX,,TAM,W 41-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
89,2011,2011-12-15,14,27.225,JAX,@,ATL,L 14-41,,,,,,,,,,,0.0%,,,,,,,,,,,
90,2011,2011-12-24,15,27.234,JAX,@,TEN,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
91,2011,2012-01-01,16,27.242,JAX,,IND,W 19-13,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
92,2012,2012-09-09,1,28.128,JAX,@,MIN,L 23-26,,0,0,,0,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0.0,1,0
93,2012,2012-09-16,2,28.135,JAX,,HOU,L 7-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
94,2012,2012-09-23,3,28.142,JAX,@,IND,W 22-17,*,,,,,,,,,,0.0%,,,,,,,,,,,
95,2012,2012-09-30,4,28.149,JAX,,CIN,L 10-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
96,2012,2012-10-07,5,28.156,JAX,,CHI,L 3-41,,,,,,,,,,,0.0%,,,,,,,,,,,
97,2012,2012-10-21,6,28.170,JAX,@,OAK,L 23-26,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
98,2012,2012-11-08,9,28.188,JAX,,IND,L 10-27,,,,,,,,,,,0.0%,,,,,,,,,,,
99,2012,2012-11-18,10,28.198,JAX,@,HOU,L 37-43,,,,,,,,,,,0.0%,,,,,,,,,,,
100,2012,2012-11-25,11,28.205,JAX,,TEN,W 24-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
101,2012,2012-12-02,12,28.212,JAX,@,BUF,L 18-34,,7,29,4.14,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,1,0,2,0.0,0,0
102,2012,2012-12-09,13,28.219,JAX,,NYJ,L 10-17,*,14,91,6.50,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,1,6,0.0,0,0
103,2012,2012-12-16,14,28.226,JAX,@,MIA,L 3-24,*,11,47,4.27,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
104,2012,2012-12-23,15,28.233,JAX,,NWE,L 16-23,*,10,42,4.20,0,4,4,77,19.25,0,100.0%,19.25,0,0,,0,,0,0,0.0,0,0
105,2013,2013-11-10,9,29.190,DET,@,CHI,W 21-19,,,,,,,,,,,0.0%,,,,,,,,,,,
106,2014,2014-09-08,1,30.127,DET,,NYG,W 35-14,,,,,,,,,,,0.0%,,,,,,,,,,,
107,2014,2014-09-14,2,30.133,DET,@,CAR,L 7-24,,,,,,,,,,,0.0%,,,,,,,,,,,
108,2014,2014-09-28,4,30.147,DET,@,NYJ,W 24-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
109,2014,2014-12-15,14,30.225,CHI,,NOR,L 15-31,,,,,,,,,,,0.0%,,,,,,,,,,,
110,2014,2014-12-21,15,30.231,CHI,,DET,L 14-20,,,,,,,,,,,0.0%,,,,,,,,,,,
111,2014,2014-12-28,16,30.238,CHI,@,MIN,L 9-13,,,,,,,,,,,0.0%,,,,,,,,,,,
