ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-19,2,22.209,PHI,,TAM,L 5-19,,1,,,,,0.0%,,,,,,,
2,1999,1999-10-17,6,22.237,PHI,@,CHI,W 20-16,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0
3,1999,1999-10-24,7,22.244,PHI,@,MIA,L 13-16,,,,,,,0.0%,,,,,,,
4,1999,1999-10-31,8,22.251,PHI,,NYG,L 17-23,,,,,,,0.0%,,,,,,,
5,1999,1999-11-07,9,22.258,PHI,@,CAR,L 7-33,,,,,,,0.0%,,,,,,,
6,1999,1999-11-14,10,22.265,PHI,,WAS,W 35-28,,,,,,,0.0%,,,,,,,
7,1999,1999-11-21,11,22.272,PHI,,IND,L 17-44,,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0
8,1999,1999-11-28,12,22.279,PHI,@,WAS,L 17-20,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0
9,1999,1999-12-05,13,22.286,PHI,@,ARI,L 17-21,*,8,4,29,7.25,0,50.0%,3.63,0,0,,0,0,0
10,1999,1999-12-12,14,22.293,PHI,@,DAL,L 10-20,*,7,3,37,12.33,1,42.9%,5.29,0,0,,0,1,6
11,1999,1999-12-19,15,22.300,PHI,,NWE,W 24-9,*,6,3,60,20.00,0,50.0%,10.00,0,0,,0,0,0
12,1999,2000-01-02,16,22.314,PHI,,STL,W 38-31,*,5,3,26,8.67,0,60.0%,5.20,0,0,,0,0,0
13,2000,2000-09-17,3,23.208,PHI,@,GNB,L 3-6,,1,,,,,0.0%,,,,,,,
14,2000,2000-09-24,4,23.215,PHI,@,NOR,W 21-7,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
15,2000,2000-10-01,5,23.222,PHI,,ATL,W 38-10,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0
16,2000,2000-10-08,6,23.229,PHI,,WAS,L 14-17,,2,1,8,8.00,1,50.0%,4.00,0,0,,0,1,6
17,2000,2000-10-15,7,23.236,PHI,@,ARI,W 33-14,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
18,2000,2000-10-22,8,23.243,PHI,,CHI,W 13-9,,2,,,,,0.0%,,,,,,,
19,2000,2000-10-29,9,23.250,PHI,@,NYG,L 7-24,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0
20,2000,2000-11-05,10,23.257,PHI,,DAL,W 16-13,,1,,,,,0.0%,,,,,,,
21,2000,2000-11-12,11,23.264,PHI,@,PIT,W 26-23,,,,,,,0.0%,,,,,,,
22,2000,2000-11-19,12,23.271,PHI,,ARI,W 34-9,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0
23,2000,2000-11-26,13,23.278,PHI,@,WAS,W 23-20,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
24,2000,2000-12-03,14,23.285,PHI,,TEN,L 13-15,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
25,2000,2000-12-10,15,23.292,PHI,@,CLE,W 35-24,,,,,,,0.0%,,,,,,,
26,2000,2000-12-24,16,23.306,PHI,,CIN,W 16-7,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
27,2001,2001-09-09,1,24.199,PHI,,STL,L 17-20,,2,2,36,18.00,0,100.0%,18.00,1,11,11.00,0,0,0
28,2001,2001-09-23,2,24.213,PHI,@,SEA,W 27-3,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0
29,2001,2001-09-30,3,24.220,PHI,,DAL,W 40-18,*,1,,,,,0.0%,,,,,,,
30,2001,2001-10-07,4,24.227,PHI,,ARI,L 20-21,,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0
31,2001,2001-10-22,5,24.242,PHI,@,NYG,W 10-9,,2,,,,,0.0%,,,,,,,
32,2001,2001-10-28,6,24.248,PHI,,OAK,L 10-20,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0
33,2001,2001-11-04,7,24.255,PHI,@,ARI,W 21-7,,,,,,,0.0%,,,,,,,
34,2001,2001-11-11,8,24.262,PHI,,MIN,W 48-17,,,,,,,0.0%,,,,,,,
35,2001,2001-11-18,9,24.269,PHI,@,DAL,W 36-3,,,,,,,0.0%,,,,,,,
36,2001,2001-11-25,10,24.276,PHI,,WAS,L 3-13,,,,,,,0.0%,,,,,,,
37,2001,2001-11-29,11,24.280,PHI,@,KAN,W 23-10,,,,,,,0.0%,,,,,,,
38,2001,2001-12-09,12,24.290,PHI,,SDG,W 24-14,,,,,,,0.0%,,,,,,,
39,2001,2001-12-16,13,24.297,PHI,@,WAS,W 20-6,,1,,,,,0.0%,,,,,,,
40,2001,2001-12-22,14,24.303,PHI,@,SFO,L 3-13,,,,,,,0.0%,,,,,,,
41,2001,2001-12-30,15,24.311,PHI,,NYG,W 24-21,,,,,,,0.0%,,,,,,,
42,2001,2002-01-06,16,24.318,PHI,@,TAM,W 17-13,*,2,0,0,,0,0.0%,0.00,4,19,4.75,0,0,0
