ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1981,1981-11-23,12,23.260,MIN,@,ATL,L 30-31,,,,,
2,1981,1981-11-29,13,23.266,MIN,,GNB,L 23-35,,,,,
3,1981,1981-12-06,14,23.273,MIN,@,CHI,L 9-10,,,,,
4,1981,1981-12-12,15,23.279,MIN,@,DET,L 7-45,,,,,
5,1982,1982-09-12,1,24.188,MIN,,TAM,W 17-10,0,0,,0,
6,1982,1982-09-16,2,24.192,MIN,@,BUF,L 22-23,1,7,7.00,0,0.0
7,1982,1982-11-21,3,24.258,MIN,@,GNB,L 7-26,0,0,,0,1.0
8,1982,1982-11-28,4,24.265,MIN,,CHI,W 35-7,0,0,,0,
9,1982,1982-12-05,5,24.272,MIN,@,MIA,L 14-22,0,0,,0,
10,1983,1983-09-04,1,25.180,MIN,@,CLE,W 27-21,,,,,
11,1983,1983-09-08,2,25.184,MIN,,SFO,L 17-48,0,0,,0,1.0
12,1983,1983-09-18,3,25.194,MIN,@,TAM,W 19-16,,,,,
13,1983,1983-09-25,4,25.201,MIN,,DET,W 20-17,0,0,,0,2.0
14,1983,1983-10-02,5,25.208,MIN,,DAL,L 24-37,,,,,
15,1983,1983-10-09,6,25.215,MIN,@,CHI,W 23-14,0,0,,0,1.5
16,1983,1983-10-16,7,25.222,MIN,,HOU,W 34-14,0,0,,0,3.0
17,1983,1983-10-23,8,25.229,MIN,@,GNB,W 20-17,0,0,,0,1.0
18,1983,1983-10-30,9,25.236,MIN,@,STL,L 31-41,,,,,
19,1983,1983-11-06,10,25.243,MIN,,TAM,L 12-17,,,,,
20,1983,1983-11-13,11,25.250,MIN,,GNB,L 21-29,,,,,
21,1983,1983-11-20,12,25.257,MIN,@,PIT,W 17-14,,,,,
22,1983,1983-11-27,13,25.264,MIN,@,NOR,L 16-17,,,,,
23,1983,1983-12-05,14,25.272,MIN,@,DET,L 2-13,,,,,
24,1983,1983-12-11,15,25.278,MIN,,CHI,L 13-19,,,,,
25,1983,1983-12-17,16,25.284,MIN,,CIN,W 20-14,0,0,,0,1.0
26,1984,1984-09-30,5,26.206,MIN,,SEA,L 12-20,,,,,
27,1984,1984-10-07,6,26.213,MIN,@,TAM,L 31-35,,,,,
28,1984,1984-10-14,7,26.220,MIN,@,RAI,L 20-23,0,0,,0,1.0
29,1984,1984-10-21,8,26.227,MIN,,DET,L 14-16,,,,,
30,1984,1984-10-28,9,26.234,MIN,@,CHI,L 7-16,,,,,
31,1984,1984-11-04,10,26.241,MIN,,TAM,W 27-24,,,,,
32,1984,1984-11-11,11,26.248,MIN,@,GNB,L 17-45,,,,,
33,1984,1984-11-18,12,26.255,MIN,@,DEN,L 21-42,0,0,,0,1.0
34,1984,1984-11-25,13,26.262,MIN,,CHI,L 3-34,,,,,
35,1984,1984-11-29,14,26.266,MIN,,WAS,L 17-31,0,0,,0,1.5
36,1984,1984-12-08,15,26.275,MIN,@,SFO,L 7-51,,,,,
37,1984,1984-12-16,16,26.283,MIN,,GNB,L 14-38,,,,,
38,1985,1985-09-08,1,27.184,MIN,,SFO,W 28-21,,,,,
39,1985,1985-09-15,2,27.191,MIN,@,TAM,W 31-16,,,,,
40,1985,1985-09-19,3,27.195,MIN,,CHI,L 24-33,,,,,
41,1985,1985-09-29,4,27.205,MIN,@,BUF,W 27-20,0,0,,0,1.0
42,1985,1985-10-06,5,27.212,MIN,@,RAM,L 10-13,0,0,,0,1.0
43,1985,1985-10-13,6,27.219,MIN,@,GNB,L 17-20,,,,,
44,1985,1985-10-20,7,27.226,MIN,,SDG,W 21-17,,,,,
45,1985,1985-10-27,8,27.233,MIN,@,CHI,L 9-27,0,0,,0,1.0
46,1985,1985-11-03,9,27.240,MIN,,DET,W 16-13,,,,,
47,1985,1985-11-10,10,27.247,MIN,,GNB,L 17-27,0,0,,0,0.5
48,1985,1985-11-17,11,27.254,MIN,@,DET,L 21-41,,,,,
49,1985,1985-11-24,12,27.261,MIN,,NOR,L 23-30,,,,,
50,1985,1985-12-01,13,27.268,MIN,@,PHI,W 28-23,,,,,
51,1985,1985-12-08,14,27.275,MIN,,TAM,W 26-7,,,,,
52,1985,1985-12-15,15,27.282,MIN,@,ATL,L 13-14,0,0,,0,1.5
53,1985,1985-12-22,16,27.289,MIN,,PHI,L 35-37,,,,,
54,1986,1986-09-07,1,28.183,MIN,,DET,L 10-13,,,,,
55,1986,1986-09-14,2,28.190,MIN,@,TAM,W 23-10,,,,,
56,1986,1986-09-21,3,28.197,MIN,,PIT,W 31-7,,,,,
57,1986,1986-09-28,4,28.204,MIN,,GNB,W 42-7,,,,,
58,1986,1986-10-05,5,28.211,MIN,@,CHI,L 0-23,,,,,
59,1986,1986-10-26,8,28.232,MIN,,CLE,L 20-23,,,,,
60,1986,1986-11-02,9,28.239,MIN,@,WAS,L 38-44,,,,,
61,1986,1986-11-09,10,28.246,MIN,@,DET,W 24-10,,,,,
62,1986,1986-11-16,11,28.253,MIN,,NYG,L 20-22,,,,,
63,1986,1986-11-23,12,28.260,MIN,@,CIN,L 20-24,,,,,
