ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2015,2015-09-13,1,22.160,MIA,@,WAS,W 17-10,,0.0,0,0,0,0,0
2,2015,2015-09-20,2,22.167,MIA,@,JAX,L 20-23,,0.0,0,0,0,0,0
3,2015,2015-09-27,3,22.174,MIA,,BUF,L 14-41,,0.0,0,0,0,0,0
4,2015,2015-10-04,4,22.181,MIA,,NYJ,L 14-27,,0.0,0,0,0,0,0
5,2015,2015-10-18,5,22.195,MIA,@,TEN,W 38-10,,0.0,1,1,0,0,0
6,2015,2015-10-25,6,22.202,MIA,,HOU,W 44-26,,0.0,2,0,0,0,0
7,2015,2015-10-29,7,22.206,MIA,@,NWE,L 7-36,,0.0,0,0,0,0,0
8,2015,2015-11-08,8,22.216,MIA,@,BUF,L 17-33,,0.0,0,0,0,0,0
9,2015,2015-11-15,9,22.223,MIA,@,PHI,W 20-19,,0.0,6,0,0,0,0
10,2015,2015-11-22,10,22.230,MIA,,DAL,L 14-24,*,0.0,2,2,1,0,0
11,2015,2015-11-29,11,22.237,MIA,@,NYJ,L 20-38,,0.0,2,2,0,0,0
12,2015,2015-12-06,12,22.244,MIA,,BAL,W 15-13,,0.0,1,1,0,0,0
13,2015,2015-12-14,13,22.252,MIA,,NYG,L 24-31,,0.0,0,0,0,0,0
14,2015,2015-12-20,14,22.258,MIA,@,SDG,L 14-30,,0.0,2,1,0,0,0
15,2015,2015-12-27,15,22.265,MIA,,IND,L 12-18,,0.0,2,1,0,0,0
16,2015,2016-01-03,16,22.272,MIA,,NWE,W 20-10,*,0.0,4,2,0,0,0
17,2016,2016-09-11,1,23.158,MIA,@,SEA,L 10-12,,0.0,0,0,0,0,0
18,2016,2016-09-18,2,23.165,MIA,@,NWE,L 24-31,,0.0,1,0,0,0,0
19,2016,2016-09-25,3,23.172,MIA,,CLE,W 30-24,,0.0,5,1,0,0,0
20,2016,2016-09-29,4,23.176,MIA,@,CIN,L 7-22,*,0.0,3,1,0,0,0
21,2016,2016-10-09,5,23.186,MIA,,TEN,L 17-30,*,0.0,0,3,0,0,0
22,2016,2016-10-16,6,23.193,MIA,,PIT,W 30-15,,0.0,1,2,0,0,0
23,2016,2016-10-23,7,23.200,MIA,,BUF,W 28-25,,0.0,3,0,0,0,0
24,2016,2016-11-06,8,23.214,MIA,,NYJ,W 27-23,,0.0,0,0,0,0,0
25,2016,2016-11-13,9,23.221,MIA,@,SDG,W 31-24,*,0.0,2,2,0,0,0
26,2016,2016-11-20,10,23.228,MIA,@,LAR,W 14-10,*,0.0,4,0,0,0,0
27,2016,2016-11-27,11,23.235,MIA,,SFO,W 31-24,,0.0,2,4,0,0,0
28,2016,2016-12-04,12,23.242,MIA,@,BAL,L 6-38,,0.0,2,1,0,0,0
29,2016,2016-12-11,13,23.249,MIA,,ARI,W 26-23,,0.0,1,2,0,0,0
30,2016,2016-12-17,14,23.255,MIA,@,NYJ,W 34-13,,1.0,3,1,0,0,0
31,2016,2016-12-24,15,23.262,MIA,@,BUF,W 34-31,*,0.0,6,3,0,0,0
32,2016,2017-01-01,16,23.270,MIA,,NWE,L 14-35,,0.0,2,2,0,0,0
33,2017,2017-11-26,11,24.234,MIA,@,NWE,L 17-35,,0.0,0,0,0,0,0
34,2017,2017-12-03,12,24.241,MIA,,DEN,W 35-9,,0.0,0,0,0,0,0
35,2017,2017-12-11,13,24.249,MIA,,NWE,W 27-20,,0.0,0,0,0,0,0
36,2017,2017-12-17,14,24.255,MIA,@,BUF,L 16-24,,0.0,0,0,0,0,0
37,2017,2017-12-24,15,24.262,MIA,@,KAN,L 13-29,,0.0,0,0,0,0,0
38,2017,2017-12-31,16,24.269,MIA,,BUF,L 16-22,,0.0,0,0,0,0,0
39,2018,2018-09-10,1,25.157,NYJ,@,DET,W 48-17,,0.0,1,0,0,0,0
40,2018,2018-09-16,2,25.163,NYJ,,MIA,L 12-20,,0.0,0,0,0,0,0
41,2018,2018-09-20,3,25.167,NYJ,@,CLE,L 17-21,,0.0,0,0,0,0,0
