ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2016,2016-10-09,5,24.115,MIN,,HOU,W 31-13,
2,2016,2016-10-31,7,24.137,MIN,@,CHI,L 10-20,
3,2016,2016-11-06,8,24.143,MIN,,DET,L 16-22,
4,2016,2016-11-13,9,24.150,MIN,@,WAS,L 20-26,
5,2016,2016-11-20,10,24.157,MIN,,ARI,W 30-24,
6,2016,2016-11-24,11,24.161,MIN,@,DET,L 13-16,
7,2016,2016-12-01,12,24.168,MIN,,DAL,L 15-17,*
8,2016,2016-12-11,13,24.178,MIN,@,JAX,W 25-16,*
9,2016,2016-12-18,14,24.185,MIN,,IND,L 6-34,*
10,2016,2016-12-24,15,24.191,MIN,@,GNB,L 25-38,*
11,2016,2017-01-01,16,24.199,MIN,,CHI,W 38-10,*
12,2017,2017-09-11,1,25.087,MIN,,NOR,W 29-19,*
13,2017,2017-09-17,2,25.093,MIN,@,PIT,L 9-26,*
14,2017,2017-09-24,3,25.100,MIN,,TAM,W 34-17,*
15,2017,2017-10-01,4,25.107,MIN,,DET,L 7-14,*
16,2017,2017-10-09,5,25.115,MIN,@,CHI,W 20-17,*
17,2017,2017-11-12,9,25.149,MIN,@,WAS,W 38-30,*
18,2017,2017-11-19,10,25.156,MIN,,LAR,W 24-7,*
19,2017,2017-11-23,11,25.160,MIN,@,DET,W 30-23,*
20,2017,2017-12-03,12,25.170,MIN,@,ATL,W 14-9,*
21,2017,2017-12-10,13,25.177,MIN,@,CAR,L 24-31,*
22,2017,2017-12-17,14,25.184,MIN,,CIN,W 34-7,*
23,2017,2017-12-23,15,25.190,MIN,@,GNB,W 16-0,*
