ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1990,1990-09-09,1,24.153,ATL,,HOU,W 47-27,,,,,
2,1990,1990-09-16,2,24.160,ATL,@,DET,L 14-21,,,,,
3,1990,1990-09-23,3,24.167,ATL,@,SFO,L 13-19,,,,,
4,1990,1990-10-07,4,24.181,ATL,,NOR,W 28-27,,,,,
5,1990,1990-10-14,5,24.188,ATL,,SFO,L 35-45,,,,,
6,1990,1990-10-21,6,24.195,ATL,@,RAM,L 24-44,,,,,
7,1990,1990-10-28,7,24.202,ATL,,CIN,W 38-17,,,,,
8,1990,1990-11-04,8,24.209,ATL,@,PIT,L 9-21,,,,,
9,1990,1990-11-11,9,24.216,ATL,@,CHI,L 24-30,,,,,
10,1990,1990-11-25,11,24.230,ATL,@,NOR,L 7-10,,,,,
11,1990,1990-12-02,12,24.237,ATL,@,TAM,L 17-23,,,,,
12,1990,1990-12-09,13,24.244,ATL,,PHO,L 13-24,,,,,
13,1990,1990-12-16,14,24.251,ATL,@,CLE,L 10-13,,,,,
14,1990,1990-12-23,15,24.258,ATL,,RAM,W 20-13,,,,,
15,1990,1990-12-30,16,24.265,ATL,,DAL,W 26-7,,,,,
16,1991,1991-09-01,1,25.145,ATL,@,KAN,L 3-14,,,,,
17,1991,1991-09-08,2,25.152,ATL,,MIN,L 19-20,,,,,
18,1991,1991-09-15,3,25.159,ATL,@,SDG,W 13-10,,,,,
19,1991,1991-09-22,4,25.166,ATL,,RAI,W 21-17,,,,,
20,1991,1991-09-29,5,25.173,ATL,,NOR,L 6-27,,,,,
21,1991,1991-10-20,7,25.194,ATL,@,PHO,L 10-16,,,,,
22,1991,1991-10-27,8,25.201,ATL,,RAM,W 31-14,,,,,
23,1991,1991-11-03,9,25.208,ATL,,SFO,W 17-14,,,,,
24,1991,1991-11-10,10,25.215,ATL,@,WAS,L 17-56,,,,,
25,1991,1991-11-17,11,25.222,ATL,,TAM,W 43-7,0,0,,0,1.0
26,1991,1991-11-24,12,25.229,ATL,@,NOR,W 23-20,,,,,
27,1991,1991-12-01,13,25.236,ATL,,GNB,W 35-31,,,,,
28,1991,1991-12-08,14,25.243,ATL,@,RAM,W 31-14,,,,,
29,1991,1991-12-15,15,25.250,ATL,,SEA,W 26-13,,,,,
30,1991,1991-12-22,16,25.257,ATL,@,DAL,L 27-31,,,,,
31,1992,1992-09-06,1,26.150,ATL,,NYJ,W 20-17,0,0,,0,
32,1992,1992-09-13,2,26.157,ATL,@,WAS,L 17-24,0,0,,0,
33,1992,1992-09-20,3,26.164,ATL,,NOR,L 7-10,0,0,,0,
34,1992,1992-09-27,4,26.171,ATL,@,CHI,L 31-41,1,13,13.00,0,0.0
35,1992,1992-10-04,5,26.178,ATL,,GNB,W 24-10,0,0,,0,
36,1992,1992-10-11,6,26.185,ATL,@,MIA,L 17-21,0,0,,0,
37,1992,1992-10-18,7,26.192,ATL,@,SFO,L 17-56,0,0,,0,
38,1992,1992-11-01,8,26.206,ATL,,RAM,W 30-28,0,0,,0,
39,1992,1992-11-09,9,26.214,ATL,,SFO,L 3-41,0,0,,0,
40,1992,1992-11-15,10,26.220,ATL,,PHO,W 20-17,0,0,,0,
41,1992,1992-11-22,11,26.227,ATL,@,BUF,L 14-41,0,0,,0,
42,1992,1992-11-29,12,26.234,ATL,,NWE,W 34-0,0,0,,0,
43,1992,1992-12-03,13,26.238,ATL,@,NOR,L 14-22,0,0,,0,
44,1992,1992-12-13,14,26.248,ATL,@,TAM,W 35-7,0,0,,0,
45,1992,1992-12-21,15,26.256,ATL,,DAL,L 17-41,0,0,,0,
46,1992,1992-12-27,16,26.262,ATL,@,RAM,L 27-38,0,0,,0,
47,1993,1993-09-05,1,27.149,BUF,,NWE,W 38-14,,,,,
48,1993,1993-09-12,2,27.156,BUF,@,DAL,W 13-10,,,,,
49,1993,1993-09-26,3,27.170,BUF,,MIA,L 13-22,,,,,
50,1993,1993-10-03,4,27.177,BUF,,NYG,W 17-14,,,,,
51,1993,1993-10-11,5,27.185,BUF,,HOU,W 35-7,,,,,
52,1993,1993-10-24,6,27.198,BUF,@,NYJ,W 19-10,0,0,,0,1.0
53,1993,1993-11-01,7,27.206,BUF,,WAS,W 24-10,,,,,
54,1993,1993-11-07,8,27.212,BUF,@,NWE,W 13-10,0,0,,0,1.0
55,1993,1993-11-15,9,27.220,BUF,@,PIT,L 0-23,,,,,
56,1993,1993-11-21,10,27.226,BUF,,IND,W 23-9,,,,,
57,1993,1993-11-28,11,27.233,BUF,@,KAN,L 7-23,,,,,
58,1993,1993-12-05,12,27.240,BUF,,RAI,L 24-25,,,,,
59,1993,1993-12-12,13,27.247,BUF,@,PHI,W 10-7,,,,,
60,1993,1993-12-19,14,27.254,BUF,@,MIA,W 47-34,,,,,
61,1993,1993-12-26,15,27.261,BUF,,NYJ,W 16-14,,,,,
62,1993,1994-01-02,16,27.268,BUF,@,IND,W 30-10,,,,,
63,1994,1994-09-04,1,28.148,BUF,,NYJ,L 3-23,,,,,
64,1994,1994-09-11,2,28.155,BUF,@,NWE,W 38-35,,,,,
65,1994,1994-09-18,3,28.162,BUF,@,HOU,W 15-7,0,0,,0,1.0
66,1994,1994-09-26,4,28.170,BUF,,DEN,W 27-20,,,,,
67,1994,1994-10-02,5,28.176,BUF,@,CHI,L 13-20,,,,,
68,1994,1994-10-09,6,28.183,BUF,,MIA,W 21-11,,,,,
69,1994,1994-10-16,7,28.190,BUF,,IND,L 17-27,,,,,
70,1994,1994-10-30,8,28.204,BUF,,KAN,W 44-10,,,,,
71,1994,1994-11-06,9,28.211,BUF,@,NYJ,L 17-22,,,,,
72,1994,1994-11-14,10,28.219,BUF,@,PIT,L 10-23,,,,,
73,1994,1994-11-20,11,28.225,BUF,,GNB,W 29-20,,,,,
74,1994,1994-11-24,12,28.229,BUF,@,DET,L 21-35,,,,,
75,1994,1994-12-04,13,28.239,BUF,@,MIA,W 42-31,,,,,
76,1994,1994-12-11,14,28.246,BUF,,MIN,L 17-21,,,,,
77,1994,1994-12-18,15,28.253,BUF,,NWE,L 17-41,,,,,
78,1994,1994-12-24,16,28.259,BUF,@,IND,L 9-10,,,,,
79,1995,1995-09-10,2,29.154,SFO,,ATL,W 41-10,,,,,
80,1995,1995-09-17,3,29.161,SFO,,NWE,W 28-3,,,,,
81,1995,1995-10-01,5,29.175,SFO,,NYG,W 20-6,0,0,,0,1.0
82,1995,1995-10-15,6,29.189,SFO,@,IND,L 17-18,,,,,
83,1995,1995-10-22,7,29.196,SFO,@,STL,W 44-10,,,,,
84,1995,1995-10-29,8,29.203,SFO,,NOR,L 7-11,,,,,
85,1995,1995-11-05,9,29.210,SFO,,CAR,L 7-13,,,,,
