ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,21.338,MIA,@,HOU,L 10-30,,0.0,1,0,0,0,0
2,2012,2012-09-16,2,21.345,MIA,,OAK,W 35-13,,,,,,,
3,2012,2012-09-23,3,21.352,MIA,,NYJ,L 20-23,,0.5,2,1,0,0,0
4,2012,2012-09-30,4,21.359,MIA,@,ARI,L 21-24,,0.0,0,0,0,0,0
5,2012,2012-10-07,5,22.000,MIA,@,CIN,W 17-13,,0.0,1,0,0,0,0
6,2012,2012-10-14,6,22.007,MIA,,STL,W 17-14,,2.0,4,0,0,0,0
7,2012,2012-10-28,7,22.021,MIA,@,NYJ,W 30-9,,0.0,0,1,0,0,0
8,2012,2012-11-04,8,22.028,MIA,@,IND,L 20-23,,0.0,1,0,0,0,0
9,2012,2012-11-11,9,22.035,MIA,,TEN,L 3-37,,0.0,2,0,0,0,0
10,2012,2012-11-15,10,22.039,MIA,@,BUF,L 14-19,,0.0,2,1,0,0,0
11,2012,2012-11-25,11,22.049,MIA,,SEA,W 24-21,,0.0,1,1,0,0,0
12,2012,2012-12-02,12,22.056,MIA,,NWE,L 16-23,,0.0,1,0,0,0,0
13,2012,2012-12-09,13,22.063,MIA,@,SFO,L 13-27,,0.0,0,0,0,0,0
14,2012,2012-12-16,14,22.070,MIA,,JAX,W 24-3,,,,,,,
15,2012,2012-12-23,15,22.077,MIA,,BUF,W 24-10,,1.0,2,0,0,0,0
16,2012,2012-12-30,16,22.084,MIA,@,NWE,L 0-28,,0.0,1,1,0,0,0
17,2013,2013-09-08,1,22.336,MIA,@,CLE,W 23-10,*,,,,,,
18,2013,2013-09-15,2,22.343,MIA,@,IND,W 24-20,*,0.5,0,1,0,0,0
19,2013,2013-09-22,3,22.350,MIA,,ATL,W 27-23,*,0.0,3,0,0,0,0
20,2013,2013-09-30,4,22.358,MIA,@,NOR,L 17-38,*,1.0,3,2,0,0,0
21,2013,2013-10-06,5,22.364,MIA,,BAL,L 23-26,*,1.0,3,0,0,0,0
22,2013,2013-10-20,6,23.013,MIA,,BUF,L 21-23,*,1.0,3,0,0,0,0
23,2013,2013-10-27,7,23.020,MIA,@,NWE,L 17-27,*,1.0,2,4,0,0,0
24,2013,2013-10-31,8,23.024,MIA,,CIN,W 22-20,*,0.0,3,1,0,0,0
25,2013,2013-11-11,9,23.035,MIA,@,TAM,L 19-22,*,0.0,1,0,0,0,0
26,2013,2013-11-17,10,23.041,MIA,,SDG,W 20-16,*,1.0,5,1,0,0,0
27,2013,2013-11-24,11,23.048,MIA,,CAR,L 16-20,,2.0,4,0,0,0,0
28,2013,2013-12-01,12,23.055,MIA,@,NYJ,W 23-3,*,3.0,8,2,0,0,0
29,2013,2013-12-08,13,23.062,MIA,@,PIT,W 34-28,*,1.0,2,0,0,0,0
30,2013,2013-12-15,14,23.069,MIA,,NWE,W 24-20,*,0.0,2,0,0,0,0
31,2013,2013-12-22,15,23.076,MIA,@,BUF,L 0-19,*,0.0,5,0,0,0,0
32,2013,2013-12-29,16,23.083,MIA,,NYJ,L 7-20,,0.0,2,0,0,0,0
33,2014,2014-09-07,1,23.335,MIA,,NWE,W 33-20,*,1.0,3,0,0,0,0
34,2014,2014-09-14,2,23.342,MIA,@,BUF,L 10-29,*,0.0,3,3,0,0,0
35,2014,2014-09-21,3,23.349,MIA,,KAN,L 15-34,*,1.0,2,1,0,0,0
36,2014,2014-09-28,4,23.356,MIA,@,OAK,W 38-14,*,0.0,0,0,0,0,0
37,2014,2014-10-12,5,24.005,MIA,,GNB,L 24-27,*,1.5,5,2,0,0,0
38,2014,2014-10-19,6,24.012,MIA,@,CHI,W 27-14,*,,,,,,
39,2014,2014-10-26,7,24.019,MIA,@,JAX,W 27-13,*,0.0,3,2,0,0,0
40,2014,2014-11-02,8,24.026,MIA,,SDG,W 37-0,*,1.0,1,0,0,0,0
41,2014,2014-11-09,9,24.033,MIA,@,DET,L 16-20,*,0.0,1,2,0,0,0
42,2014,2014-11-13,10,24.037,MIA,,BUF,W 22-9,*,1.0,1,0,0,0,0
43,2014,2014-11-23,11,24.047,MIA,@,DEN,L 36-39,*,0.0,5,0,0,0,0
44,2014,2014-12-01,12,24.055,MIA,@,NYJ,W 16-13,*,0.0,4,3,0,0,0
45,2014,2014-12-07,13,24.061,MIA,,BAL,L 13-28,*,1.0,2,0,0,0,0
46,2014,2014-12-14,14,24.068,MIA,@,NWE,L 13-41,*,0.0,1,1,0,0,0
47,2014,2014-12-21,15,24.075,MIA,,MIN,W 37-35,*,0.0,0,0,0,0,0
48,2014,2014-12-28,16,24.082,MIA,,NYJ,L 24-37,*,0.0,1,1,0,0,0
49,2015,2015-09-13,1,24.341,MIA,@,WAS,W 17-10,*,0.0,0,0,0,0,0
50,2015,2015-09-20,2,24.348,MIA,@,JAX,L 20-23,*,0.0,1,0,0,0,0
51,2015,2015-09-27,3,24.355,MIA,,BUF,L 14-41,*,0.0,1,0,0,0,0
52,2015,2015-10-04,4,24.362,MIA,,NYJ,L 14-27,*,0.0,2,0,0,0,0
53,2015,2015-10-18,5,25.011,MIA,@,TEN,W 38-10,*,1.0,3,1,0,0,0
54,2015,2015-10-25,6,25.018,MIA,,HOU,W 44-26,*,0.0,0,0,0,0,0
55,2015,2015-10-29,7,25.022,MIA,@,NWE,L 7-36,*,1.0,1,4,0,0,0
56,2015,2015-11-08,8,25.032,MIA,@,BUF,L 17-33,*,0.0,5,2,0,0,0
57,2015,2015-11-15,9,25.039,MIA,@,PHI,W 20-19,*,0.0,4,0,0,0,0
58,2015,2015-11-22,10,25.046,MIA,,DAL,L 14-24,*,1.0,3,2,0,0,0
59,2015,2015-11-29,11,25.053,MIA,@,NYJ,L 20-38,*,1.0,4,1,0,0,0
60,2015,2015-12-06,12,25.060,MIA,,BAL,W 15-13,*,2.5,4,2,0,0,0
61,2015,2015-12-14,13,25.068,MIA,,NYG,L 24-31,*,0.0,2,0,0,0,0
62,2015,2015-12-20,14,25.074,MIA,@,SDG,L 14-30,*,0.5,6,5,0,0,0
63,2015,2015-12-27,15,25.081,MIA,,IND,L 12-18,*,0.0,2,0,0,0,0
64,2015,2016-01-03,16,25.088,MIA,,NWE,W 20-10,*,0.5,3,3,0,0,0
65,2016,2016-09-11,1,25.340,NYG,@,DAL,W 20-19,*,0.0,3,1,0,0,0
66,2016,2016-09-18,2,25.347,NYG,,NOR,W 16-13,*,0.0,0,1,0,0,0
67,2016,2016-09-25,3,25.354,NYG,,WAS,L 27-29,*,1.0,2,0,0,0,0
68,2016,2016-10-03,4,25.362,NYG,@,MIN,L 10-24,*,0.0,3,1,0,0,0
69,2016,2016-10-09,5,26.002,NYG,@,GNB,L 16-23,*,0.0,4,2,0,0,0
70,2016,2016-10-16,6,26.009,NYG,,BAL,W 27-23,*,0.0,1,1,0,0,0
71,2016,2016-10-23,7,26.016,NYG,@,LAR,W 17-10,*,0.0,5,0,0,0,0
72,2016,2016-11-06,8,26.030,NYG,,PHI,W 28-23,*,1.0,4,1,0,0,0
73,2016,2016-11-14,9,26.038,NYG,,CIN,W 21-20,*,1.0,4,6,0,0,0
74,2016,2016-11-20,10,26.044,NYG,,CHI,W 22-16,*,1.0,2,1,0,0,0
75,2016,2016-11-27,11,26.051,NYG,@,CLE,W 27-13,*,2.0,4,0,0,0,0
76,2016,2016-12-04,12,26.058,NYG,@,PIT,L 14-24,*,2.0,4,0,0,0,0
77,2016,2016-12-11,13,26.065,NYG,,DAL,W 10-7,*,0.0,4,1,0,0,0
78,2016,2016-12-18,14,26.072,NYG,,DET,W 17-6,*,0.5,3,2,0,0,0
79,2016,2016-12-22,15,26.076,NYG,@,PHI,L 19-24,*,0.0,2,0,0,0,0
80,2016,2017-01-01,16,26.086,NYG,@,WAS,W 19-10,*,0.0,1,1,0,0,0
81,2017,2017-09-10,1,26.338,NYG,@,DAL,L 3-19,*,1.0,1,1,0,0,0
82,2017,2017-09-18,2,26.346,NYG,,DET,L 10-24,*,0.0,2,3,0,0,0
83,2017,2017-09-24,3,26.352,NYG,@,PHI,L 24-27,*,1.0,4,1,0,0,0
84,2017,2017-10-01,4,26.359,NYG,@,TAM,L 23-25,*,0.0,0,1,0,0,0
85,2017,2017-11-12,9,27.036,NYG,@,SFO,L 21-31,*,0.0,3,1,1,0,0
86,2017,2017-11-19,10,27.043,NYG,,KAN,W 12-9,*,0.0,3,0,0,0,0
87,2017,2017-11-23,11,27.047,NYG,@,WAS,L 10-20,*,1.5,3,2,0,0,0
88,2017,2017-12-03,12,27.057,NYG,@,OAK,L 17-24,*,0.0,2,2,0,0,0
89,2017,2017-12-10,13,27.064,NYG,,DAL,L 10-30,*,0.0,0,1,0,0,0
90,2017,2017-12-17,14,27.071,NYG,,PHI,L 29-34,*,1.0,2,0,0,0,0
91,2017,2017-12-24,15,27.078,NYG,@,ARI,L 0-23,*,1.0,2,1,0,0,0
92,2017,2017-12-31,16,27.085,NYG,,WAS,W 18-10,*,1.0,1,1,0,0,0
