ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,1994,1994-09-04,1,23.266,CLE,@,CIN,W 28-20,
2,1994,1994-09-11,2,23.273,CLE,,PIT,L 10-17,
3,1994,1994-10-02,5,23.294,CLE,,NYJ,W 27-7,
4,1994,1994-10-13,6,23.305,CLE,@,HOU,W 11-8,
5,1994,1994-10-23,7,23.315,CLE,,CIN,W 37-13,
6,1994,1994-10-30,8,23.322,CLE,@,DEN,L 14-26,
7,1994,1994-11-06,9,23.329,CLE,,NWE,W 13-6,
8,1994,1994-11-13,10,23.336,CLE,@,PHI,W 26-7,
9,1994,1994-11-20,11,23.343,CLE,@,KAN,L 13-20,
10,1994,1994-11-27,12,23.350,CLE,,HOU,W 34-10,
11,1994,1994-12-04,13,23.357,CLE,,NYG,L 13-16,
12,1994,1994-12-10,14,23.363,CLE,@,DAL,W 19-14,
13,1994,1994-12-18,15,24.006,CLE,@,PIT,L 7-17,
14,1994,1994-12-24,16,24.012,CLE,,SEA,W 35-9,
15,1995,1995-09-03,1,24.265,CLE,@,NWE,L 14-17,
16,1995,1995-09-10,2,24.272,CLE,,TAM,W 22-6,
17,1995,1995-09-17,3,24.279,CLE,@,HOU,W 14-7,
18,1995,1995-09-24,4,24.286,CLE,,KAN,W 35-17,
19,1995,1995-10-02,5,24.294,CLE,,BUF,L 19-22,
20,1995,1995-10-08,6,24.300,CLE,@,DET,L 20-38,
21,1995,1995-10-22,7,24.314,CLE,,JAX,L 15-23,
22,1995,1995-10-29,8,24.321,CLE,@,CIN,W 29-26,
23,1995,1995-11-05,9,24.328,CLE,,HOU,L 10-37,
24,1995,1995-11-13,10,24.336,CLE,@,PIT,L 3-20,
25,1995,1995-11-19,11,24.342,CLE,,GNB,L 20-31,
26,1995,1995-11-26,12,24.349,CLE,,PIT,L 17-20,
27,1995,1995-12-03,13,24.356,CLE,@,SDG,L 13-31,
28,1995,1995-12-09,14,24.362,CLE,@,MIN,L 11-27,
29,1995,1995-12-17,15,25.005,CLE,,CIN,W 26-10,
30,1995,1995-12-24,16,25.012,CLE,@,JAX,L 21-24,
31,1996,1996-09-01,1,25.264,BAL,,OAK,W 19-14,
32,1996,1996-09-08,2,25.271,BAL,@,PIT,L 17-31,
33,1996,1996-09-15,3,25.278,BAL,@,HOU,L 13-29,
34,1996,1996-09-29,4,25.292,BAL,,NOR,W 17-10,
35,1996,1996-10-06,5,25.299,BAL,,NWE,L 38-46,
36,1996,1996-10-13,6,25.306,BAL,@,IND,L 21-26,
37,1996,1996-10-20,7,25.313,BAL,@,DEN,L 34-45,
38,1996,1996-10-27,8,25.320,BAL,,STL,W 37-31,
39,1996,1996-11-03,9,25.327,BAL,,CIN,L 21-24,
40,1996,1996-11-10,10,25.334,BAL,@,JAX,L 27-30,
41,1996,1996-11-17,11,25.341,BAL,@,SFO,L 20-38,
42,1996,1996-11-24,12,25.348,BAL,,JAX,L 25-28,
43,1996,1996-12-01,13,25.355,BAL,,PIT,W 31-17,
44,1996,1996-12-08,14,25.362,BAL,@,CIN,L 14-21,
45,1996,1996-12-15,15,26.003,BAL,@,CAR,L 16-27,
46,1996,1996-12-22,16,26.010,BAL,,HOU,L 21-24,
47,1997,1997-08-31,1,26.262,BAL,,JAX,L 27-28,
48,1997,1997-09-07,2,26.269,BAL,,CIN,W 23-10,
49,1997,1997-09-14,3,26.276,BAL,@,NYG,W 24-23,
50,1997,1997-09-21,4,26.283,BAL,@,TEN,W 36-10,
51,1997,1997-09-28,5,26.290,BAL,@,SDG,L 17-21,
52,1997,1997-10-05,6,26.297,BAL,,PIT,L 34-42,
53,1997,1997-10-19,7,26.311,BAL,,MIA,L 13-24,
54,1997,1997-10-26,8,26.318,BAL,@,WAS,W 20-17,
55,1997,1997-11-02,9,26.325,BAL,@,NYJ,L 16-19,
56,1997,1997-11-09,10,26.332,BAL,@,PIT,L 0-37,
57,1997,1997-11-16,11,26.339,BAL,,PHI,T 10-10,
58,1997,1997-11-23,12,26.346,BAL,,ARI,L 13-16,
59,1997,1997-11-30,13,26.353,BAL,@,JAX,L 27-29,
60,1997,1997-12-07,14,26.360,BAL,,SEA,W 31-24,
61,1997,1997-12-14,15,27.002,BAL,,TEN,W 21-19,
62,1997,1997-12-21,16,27.009,BAL,@,CIN,L 14-16,
63,1998,1998-09-06,1,27.268,BAL,,PIT,L 13-20,
64,1998,1998-09-13,2,27.275,BAL,@,NYJ,W 24-10,
65,1998,1998-09-20,3,27.282,BAL,@,JAX,L 10-24,
66,1998,1998-09-27,4,27.289,BAL,,CIN,W 31-24,
67,1998,1998-10-11,5,27.303,BAL,,TEN,L 8-12,
68,1998,1998-10-18,6,27.310,BAL,@,PIT,L 6-16,
69,1998,1998-10-25,7,27.317,BAL,@,GNB,L 10-28,
70,1998,1998-11-01,8,27.324,BAL,,JAX,L 19-45,
71,1998,1998-11-08,9,27.331,BAL,,OAK,W 13-10,
72,1998,1998-11-15,10,27.338,BAL,@,SDG,L 13-14,
73,1998,1998-11-22,11,27.345,BAL,@,CIN,W 20-13,
74,1998,1998-11-29,12,27.352,BAL,,IND,W 38-31,
75,1998,1998-12-06,13,27.359,BAL,@,TEN,L 14-16,
