ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,24.286,GNB,,ATL,W 37-34,,,,,,,,,
2,2002,2002-09-15,2,24.293,GNB,@,NOR,L 20-35,,,,,,,,,
3,2002,2002-09-22,3,24.300,GNB,@,DET,W 37-31,,,,,,,,,
4,2002,2002-09-29,4,24.307,GNB,,CAR,W 17-14,,,,,,,,,
5,2002,2002-10-07,5,24.315,GNB,@,CHI,W 34-21,,,,,,,,,
6,2002,2002-10-13,6,24.321,GNB,@,NWE,W 28-10,,,,,,,,,
7,2002,2002-10-20,7,24.328,GNB,,WAS,W 30-9,,,,,,,,,
8,2002,2002-11-04,8,24.343,GNB,,MIA,W 24-10,,,,,,,,,
9,2002,2002-11-10,9,24.349,GNB,,DET,W 40-14,,,,,,,,,
10,2002,2002-11-17,10,24.356,GNB,@,MIN,L 21-31,,,,,,,,,
11,2002,2002-11-24,11,24.363,GNB,@,TAM,L 7-21,,,,,,,,,
12,2002,2002-12-01,12,25.005,GNB,,CHI,W 30-20,,,,,,,,,
13,2002,2002-12-08,13,25.012,GNB,,MIN,W 26-22,,,,,,,,,
14,2002,2002-12-15,14,25.019,GNB,@,SFO,W 20-14,,,,,,,,,
15,2002,2002-12-22,15,25.026,GNB,,BUF,W 10-0,,,,,,,,,
16,2002,2002-12-29,16,25.033,GNB,@,NYJ,L 17-42,,,,,,,,,
17,2003,2003-09-07,1,25.285,GNB,,MIN,L 25-30,,,,,,,,,
18,2003,2003-09-14,2,25.292,GNB,,DET,W 31-6,,,,,,,,,
19,2003,2003-09-21,3,25.299,GNB,@,ARI,L 13-20,,,,,,,,,
20,2003,2003-09-29,4,25.307,GNB,@,CHI,W 38-23,,,,,,,,,
21,2003,2003-10-05,5,25.313,GNB,,SEA,W 35-13,,,,,,,,,
22,2003,2003-10-12,6,25.320,GNB,,KAN,L 34-40,,,,,,,,,
23,2003,2003-10-19,7,25.327,GNB,@,STL,L 24-34,,,,,,,,,
24,2003,2003-11-02,8,25.341,GNB,@,MIN,W 30-27,,,,,,,,,
25,2003,2003-11-10,9,25.349,GNB,,PHI,L 14-17,,,,,,,,,
26,2003,2003-11-16,10,25.355,GNB,@,TAM,W 20-13,,,,,,,,,
27,2003,2003-11-23,11,25.362,GNB,,SFO,W 20-10,,,,,,,,,
28,2003,2003-11-27,12,26.001,GNB,@,DET,L 14-22,,,,,,,,,
29,2003,2003-12-07,13,26.011,GNB,,CHI,W 34-21,,,,,,,,,
30,2003,2003-12-14,14,26.018,GNB,@,SDG,W 38-21,,,,,,,,,
31,2003,2003-12-22,15,26.026,GNB,@,OAK,W 41-7,,,,,,,,,
32,2003,2003-12-28,16,26.032,GNB,,DEN,W 31-3,,,,,,,,,
33,2004,2004-09-13,1,26.292,GNB,@,CAR,W 24-14,*,,,,,,,,
34,2004,2004-09-19,2,26.298,GNB,,CHI,L 10-21,,,,,,,,,
35,2004,2004-09-26,3,26.305,GNB,@,IND,L 31-45,,,,,,,,,
36,2004,2004-10-03,4,26.312,GNB,,NYG,L 7-14,,,,,,,,,
37,2004,2004-10-11,5,26.320,GNB,,TEN,L 27-48,*,,,,,,,,
38,2004,2004-10-17,6,26.326,GNB,@,DET,W 38-10,,,,,,,,,
39,2004,2004-10-24,7,26.333,GNB,,DAL,W 41-20,,,,,,,,,
40,2004,2004-10-31,8,26.340,GNB,@,WAS,W 28-14,,,,,,,,,
41,2004,2004-11-14,9,26.354,GNB,,MIN,W 34-31,,,,,,,,,
42,2004,2004-11-21,10,26.361,GNB,@,HOU,W 16-13,,,,,,,,,
43,2004,2004-11-29,11,27.003,GNB,,STL,W 45-17,,,,,,,,,
44,2004,2004-12-05,12,27.009,GNB,@,PHI,L 17-47,,,,,,,,,
45,2004,2004-12-12,13,27.016,GNB,,DET,W 16-13,*,,,,,,,,
