ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1970,1970-09-20,1,21.354,WAS,@,SFO,L 17-26
2,1970,1970-09-27,2,21.361,WAS,@,STL,L 17-27
3,1970,1970-10-04,3,22.003,WAS,@,PHI,W 33-21
4,1970,1970-10-11,4,22.010,WAS,,DET,W 31-10
5,1970,1970-11-08,8,22.038,WAS,,MIN,L 10-19
6,1970,1970-11-15,9,22.045,WAS,@,NYG,L 33-35
7,1970,1970-11-22,10,22.052,WAS,,DAL,L 21-45
8,1970,1970-11-29,11,22.059,WAS,,NYG,L 24-27
9,1970,1970-12-06,12,22.066,WAS,@,DAL,L 0-34
10,1970,1970-12-13,13,22.073,WAS,,PHI,W 24-6
11,1970,1970-12-20,14,22.080,WAS,,STL,W 28-27
12,1971,1971-09-19,1,22.353,WAS,@,STL,W 24-17
13,1971,1971-09-26,2,22.360,WAS,@,NYG,W 30-3
14,1971,1971-10-03,3,23.002,WAS,@,DAL,W 20-16
15,1971,1971-10-10,4,23.009,WAS,,HOU,W 22-13
16,1971,1971-10-17,5,23.016,WAS,,STL,W 20-0
17,1971,1971-10-24,6,23.023,WAS,@,KAN,L 20-27
18,1971,1971-10-31,7,23.030,WAS,,NOR,W 24-14
19,1971,1971-11-07,8,23.037,WAS,,PHI,T 7-7
20,1971,1971-11-14,9,23.044,WAS,@,CHI,L 15-16
21,1971,1971-11-21,10,23.051,WAS,,DAL,L 0-13
22,1971,1971-11-28,11,23.058,WAS,@,PHI,W 20-13
23,1971,1971-12-05,12,23.065,WAS,,NYG,W 23-7
24,1971,1971-12-13,13,23.073,WAS,@,RAM,W 38-24
25,1971,1971-12-19,14,23.079,WAS,,CLE,L 13-20
26,1972,1972-09-18,1,23.353,WAS,@,MIN,W 24-21
27,1972,1972-09-24,2,23.359,WAS,,STL,W 24-10
28,1972,1972-10-01,3,24.000,WAS,@,NWE,L 23-24
29,1972,1972-10-08,4,24.007,WAS,,PHI,W 14-0
30,1972,1972-10-15,5,24.014,WAS,@,STL,W 33-3
31,1972,1972-10-22,6,24.021,WAS,,DAL,W 24-20
32,1972,1972-10-29,7,24.028,WAS,@,NYG,W 23-16
33,1972,1972-11-05,8,24.035,WAS,@,NYJ,W 35-17
34,1972,1972-11-12,9,24.042,WAS,,NYG,W 27-13
35,1972,1972-11-20,10,24.050,WAS,,ATL,W 24-13
36,1972,1972-11-26,11,24.056,WAS,,GNB,W 21-16
37,1972,1972-12-03,12,24.063,WAS,@,PHI,W 23-7
38,1972,1972-12-09,13,24.069,WAS,@,DAL,L 24-34
39,1972,1972-12-17,14,24.077,WAS,,BUF,L 17-24
40,1973,1973-09-16,1,24.350,WAS,,SDG,W 38-0
41,1973,1973-09-23,2,24.357,WAS,@,STL,L 27-34
42,1973,1973-09-30,3,24.364,WAS,@,PHI,W 28-7
43,1973,1973-10-08,4,25.007,WAS,,DAL,W 14-7
44,1973,1973-10-14,5,25.013,WAS,@,NYG,W 21-3
45,1973,1973-10-21,6,25.020,WAS,,STL,W 31-13
46,1973,1973-10-28,7,25.027,WAS,@,NOR,L 3-19
47,1973,1973-11-05,8,25.035,WAS,@,PIT,L 16-21
48,1973,1973-11-11,9,25.041,WAS,,SFO,W 33-9
49,1973,1973-11-18,10,25.048,WAS,,BAL,W 22-14
50,1973,1973-11-22,11,25.052,WAS,@,DET,W 20-0
51,1973,1973-12-02,12,25.062,WAS,,NYG,W 27-24
52,1973,1973-12-09,13,25.069,WAS,@,DAL,L 7-27
53,1973,1973-12-16,14,25.076,WAS,,PHI,W 38-20
54,1974,1974-09-15,1,25.349,WAS,@,NYG,W 13-10
55,1974,1974-09-22,2,25.356,WAS,,STL,L 10-17
56,1974,1974-09-30,3,25.364,WAS,,DEN,W 30-3
57,1974,1974-10-06,4,26.005,WAS,@,CIN,L 17-28
58,1974,1974-10-13,5,26.012,WAS,,MIA,W 20-17
59,1974,1974-10-20,6,26.019,WAS,,NYG,W 24-3
60,1974,1974-10-27,7,26.026,WAS,@,STL,L 20-23
61,1974,1974-11-03,8,26.033,WAS,@,GNB,W 17-6
62,1974,1974-11-10,9,26.040,WAS,@,PHI,W 27-20
63,1974,1974-11-17,10,26.047,WAS,,DAL,W 28-21
64,1974,1974-11-24,11,26.054,WAS,,PHI,W 26-7
65,1974,1974-11-28,12,26.058,WAS,@,DAL,L 23-24
66,1974,1974-12-09,13,26.069,WAS,@,RAM,W 23-17
67,1974,1974-12-15,14,26.075,WAS,,CHI,W 42-0
68,1975,1975-09-21,1,26.355,WAS,,NOR,W 41-3
69,1975,1975-09-28,2,26.362,WAS,,NYG,W 49-13
70,1975,1975-10-05,3,27.004,WAS,@,PHI,L 10-26
71,1975,1975-10-13,4,27.012,WAS,,STL,W 27-17
72,1975,1975-10-19,5,27.018,WAS,@,HOU,L 10-13
