ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,1999,1999-09-12,1,24.182,DAL,@,WAS,W 41-35,,
2,1999,1999-09-20,2,24.190,DAL,,ATL,W 24-7,,1.0
3,1999,1999-10-03,3,24.203,DAL,,ARI,W 35-7,,
4,1999,1999-10-24,6,24.224,DAL,,WAS,W 38-20,,
5,1999,1999-11-08,8,24.239,DAL,@,MIN,L 17-27,,
6,1999,1999-11-14,9,24.245,DAL,,GNB,W 27-13,,
7,1999,1999-11-21,10,24.252,DAL,@,ARI,L 9-13,,
8,1999,1999-11-25,11,24.256,DAL,,MIA,W 20-0,,
9,1999,1999-12-05,12,24.266,DAL,@,NWE,L 6-13,,
10,1999,1999-12-12,13,24.273,DAL,,PHI,W 20-10,,
11,1999,1999-12-19,14,24.280,DAL,,NYJ,L 21-22,,
12,1999,1999-12-24,15,24.285,DAL,@,NOR,L 24-31,,
13,1999,2000-01-02,16,24.294,DAL,,NYG,W 26-18,,
14,2000,2000-09-03,1,25.173,DAL,,PHI,L 14-41,,
15,2000,2000-09-10,2,25.180,DAL,@,ARI,L 31-32,,1.0
16,2000,2000-09-18,3,25.188,DAL,@,WAS,W 27-21,,
17,2000,2000-09-24,4,25.194,DAL,,SFO,L 24-41,,
18,2000,2000-10-01,5,25.201,DAL,@,CAR,W 16-13,,1.0
19,2000,2000-10-15,6,25.215,DAL,@,NYG,L 14-19,,
20,2000,2000-10-22,7,25.222,DAL,,ARI,W 48-7,,
21,2000,2000-10-29,8,25.229,DAL,,JAX,L 17-23,,
22,2000,2000-11-05,9,25.236,DAL,@,PHI,L 13-16,,
23,2000,2000-11-12,10,25.243,DAL,,CIN,W 23-6,,
24,2000,2000-11-19,11,25.250,DAL,@,BAL,L 0-27,,
25,2000,2000-11-23,12,25.254,DAL,,MIN,L 15-27,,
26,2001,2001-09-09,1,26.179,DAL,,TAM,L 6-10,,
27,2001,2001-09-23,2,26.193,DAL,,SDG,L 21-32,*,
28,2001,2001-09-30,3,26.200,DAL,@,PHI,L 18-40,*,1.0
29,2001,2001-10-07,4,26.207,DAL,@,OAK,L 21-28,*,
30,2001,2001-10-15,5,26.215,DAL,,WAS,W 9-7,*,1.0
31,2001,2001-10-28,6,26.228,DAL,,ARI,W 17-3,*,1.0
32,2001,2001-11-04,7,26.235,DAL,@,NYG,L 24-27,*,
33,2001,2001-11-11,8,26.242,DAL,@,ATL,L 13-20,*,
34,2001,2001-11-18,9,26.249,DAL,,PHI,L 3-36,*,
35,2001,2001-11-22,10,26.253,DAL,,DEN,L 24-26,*,
36,2001,2001-12-02,11,26.263,DAL,@,WAS,W 20-14,*,
37,2001,2001-12-09,12,26.270,DAL,,NYG,W 20-13,*,
38,2001,2001-12-16,13,26.277,DAL,@,SEA,L 3-29,*,
39,2001,2001-12-23,14,26.284,DAL,@,ARI,L 10-17,*,
40,2001,2001-12-30,15,26.291,DAL,,SFO,W 27-21,*,
41,2001,2002-01-06,16,26.298,DAL,@,DET,L 10-15,*,
42,2002,2002-09-08,1,27.178,DAL,@,HOU,L 10-19,,
43,2002,2002-09-15,2,27.185,DAL,,TEN,W 21-13,,
44,2002,2002-09-22,3,27.192,DAL,@,PHI,L 13-44,,
45,2002,2002-09-29,4,27.199,DAL,@,STL,W 13-10,,
46,2002,2002-10-06,5,27.206,DAL,,NYG,L 17-21,,
47,2002,2002-10-13,6,27.213,DAL,,CAR,W 14-13,,
48,2002,2002-10-20,7,27.220,DAL,@,ARI,L 6-9,,
49,2002,2002-10-27,8,27.227,DAL,,SEA,L 14-17,,
50,2002,2002-11-03,9,27.234,DAL,@,DET,L 7-9,*,
51,2002,2002-11-17,10,27.248,DAL,@,IND,L 3-20,*,
52,2002,2002-11-24,11,27.255,DAL,,JAX,W 21-19,,
53,2002,2002-11-28,12,27.259,DAL,,WAS,W 27-20,,
54,2002,2002-12-08,13,27.269,DAL,,SFO,L 27-31,,
55,2002,2002-12-15,14,27.276,DAL,@,NYG,L 7-37,,
56,2002,2002-12-21,15,27.282,DAL,,PHI,L 3-27,,
57,2002,2002-12-29,16,27.290,DAL,@,WAS,L 14-20,,
58,2003,2003-09-04,1,28.174,WAS,,NYJ,W 16-13,,
59,2003,2003-09-14,2,28.184,WAS,@,ATL,W 33-31,,1.0
60,2003,2003-09-21,3,28.191,WAS,,NYG,L 21-24,,
61,2003,2003-09-28,4,28.198,WAS,,NWE,W 20-17,,
62,2003,2003-10-05,5,28.205,WAS,@,PHI,L 25-27,,
63,2003,2003-10-12,6,28.212,WAS,,TAM,L 13-35,,
64,2003,2003-10-19,7,28.219,WAS,@,BUF,L 7-24,,
65,2003,2003-11-02,8,28.233,WAS,@,DAL,L 14-21,,
66,2003,2003-11-09,9,28.240,WAS,,SEA,W 27-20,,
67,2003,2003-11-16,10,28.247,WAS,@,CAR,L 17-20,,
68,2003,2003-11-23,11,28.254,WAS,@,MIA,L 23-24,,
69,2003,2003-11-30,12,28.261,WAS,,NOR,L 20-24,,
70,2003,2003-12-07,13,28.268,WAS,@,NYG,W 20-7,,
71,2003,2003-12-14,14,28.275,WAS,,DAL,L 0-27,,
72,2003,2003-12-21,15,28.282,WAS,@,CHI,L 24-27,,
73,2003,2003-12-27,16,28.288,WAS,,PHI,L 7-31,,
74,2004,2004-09-12,1,29.182,ARI,@,STL,L 10-17,*,
75,2004,2004-09-19,2,29.189,ARI,,NWE,L 12-23,*,
76,2004,2004-09-26,3,29.196,ARI,@,ATL,L 3-6,*,2.0
77,2004,2004-10-03,4,29.203,ARI,,NOR,W 34-10,*,
78,2004,2004-10-10,5,29.210,ARI,@,SFO,L 28-31,*,
79,2004,2004-10-24,6,29.224,ARI,,SEA,W 25-17,*,
80,2004,2004-10-31,7,29.231,ARI,@,BUF,L 14-38,*,
81,2004,2004-11-07,8,29.238,ARI,@,MIA,W 24-23,*,
82,2004,2004-11-14,9,29.245,ARI,,NYG,W 17-14,*,
83,2004,2004-11-21,10,29.252,ARI,@,CAR,L 10-35,*,
84,2004,2004-11-28,11,29.259,ARI,,NYJ,L 3-13,*,
85,2004,2004-12-05,12,29.266,ARI,@,DET,L 12-26,*,
86,2004,2004-12-12,13,29.273,ARI,,SFO,L 28-31,*,
87,2004,2004-12-19,14,29.280,ARI,,STL,W 31-7,,
88,2004,2004-12-26,15,29.287,ARI,@,SEA,L 21-24,,
89,2004,2005-01-02,16,29.294,ARI,,TAM,W 12-7,*,
