ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1971,1971-09-19,1,22.196,NWE,,OAK,W 20-6
2,1971,1971-09-26,2,22.203,NWE,,DET,L 7-34
3,1971,1971-10-03,3,22.210,NWE,,BAL,L 3-23
4,1971,1971-10-10,4,22.217,NWE,,NYJ,W 20-0
5,1971,1971-10-17,5,22.224,NWE,@,MIA,L 3-41
6,1971,1971-10-24,6,22.231,NWE,@,DAL,L 21-44
7,1971,1971-10-31,7,22.238,NWE,@,SFO,L 10-27
8,1971,1971-11-07,8,22.245,NWE,,HOU,W 28-20
9,1971,1971-11-14,9,22.252,NWE,,BUF,W 38-33
10,1971,1971-12-05,12,22.273,NWE,,MIA,W 34-13
11,1971,1971-12-19,14,22.287,NWE,@,BAL,W 21-17
