ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1984,1984-09-02,1,27.191,NYG,,PHI,W 28-27,0,0,,0,0,0,,0,1,10,10.00,0,0,0
2,1984,1984-09-09,2,27.198,NYG,,DAL,W 28-7,0,0,,0,0,0,,0,5,9,1.80,0,0,0
3,1984,1984-09-16,3,27.205,NYG,@,WAS,L 14-30,3,67,22.33,0,5,102,20.40,0,3,11,3.67,0,0,0
4,1984,1984-09-23,4,27.212,NYG,,TAM,W 17-14,0,0,,0,1,18,18.00,0,4,66,16.50,0,0,0
5,1984,1984-09-30,5,27.219,NYG,@,RAM,L 12-33,1,9,9.00,0,4,65,16.25,0,2,9,4.50,0,0,0
6,1984,1984-10-08,6,27.227,NYG,,SFO,L 10-31,0,0,,0,3,67,22.33,0,3,35,11.67,0,0,0
7,1984,1984-10-14,7,27.233,NYG,@,ATL,W 19-7,0,0,,0,2,27,13.50,0,5,22,4.40,0,0,0
8,1984,1984-10-21,8,27.240,NYG,@,PHI,L 10-24,0,0,,0,3,77,25.67,0,6,59,9.83,0,0,0
9,1984,1984-10-28,9,27.247,NYG,,WAS,W 37-13,2,62,31.00,0,2,38,19.00,0,5,23,4.60,0,0,0
10,1984,1984-11-04,10,27.254,NYG,@,DAL,W 19-7,0,0,,0,2,55,27.50,0,8,38,4.75,0,0,0
11,1984,1984-11-11,11,27.261,NYG,@,TAM,L 17-20,0,0,,0,4,55,13.75,0,1,1,1.00,0,0,0
12,1984,1984-11-18,12,27.268,NYG,,STL,W 16-10,2,16,8.00,0,2,37,18.50,0,2,12,6.00,0,0,0
13,1984,1984-11-25,13,27.275,NYG,,KAN,W 28-27,0,0,,0,0,0,,0,1,11,11.00,0,0,0
14,1985,1985-09-08,1,28.196,NYG,,PHI,W 21-0,0,0,,0,1,40,40.00,0,7,103,14.71,0,0,0
15,1985,1985-09-15,2,28.203,NYG,@,GNB,L 20-23,0,0,,0,2,27,13.50,0,1,7,7.00,0,0,0
16,1985,1985-09-22,3,28.210,NYG,,STL,W 27-17,2,34,17.00,1,1,20,20.00,0,3,23,7.67,0,1,6
17,1985,1985-09-29,4,28.217,NYG,@,PHI,W 16-10,1,14,14.00,0,1,9,9.00,0,2,3,1.50,0,0,0
18,1985,1985-10-06,5,28.224,NYG,,DAL,L 29-30,3,76,25.33,0,5,107,21.40,0,2,3,1.50,0,0,0
19,1985,1985-10-13,6,28.231,NYG,@,CIN,L 30-35,3,34,11.33,0,2,31,15.50,0,4,56,14.00,0,0,0
20,1985,1985-10-20,7,28.238,NYG,,WAS,W 17-3,1,10,10.00,0,0,0,,0,1,8,8.00,0,0,0
21,1985,1985-10-27,8,28.245,NYG,@,NOR,W 21-13,0,0,,0,0,0,,0,3,24,8.00,0,0,0
22,1985,1985-11-03,9,28.252,NYG,,TAM,W 22-20,3,33,11.00,0,0,0,,0,4,44,11.00,0,0,0
23,1985,1985-11-10,10,28.259,NYG,,RAM,W 24-19,1,7,7.00,0,0,0,,0,4,35,8.75,0,0,0
24,1985,1985-11-18,11,28.267,NYG,@,WAS,L 21-23,0,0,,0,0,0,,0,1,8,8.00,0,0,0
25,1985,1985-11-24,12,28.273,NYG,@,STL,W 34-3,1,18,18.00,0,0,0,,0,4,36,9.00,0,0,0
26,1985,1985-12-01,13,28.280,NYG,,CLE,L 33-35,3,39,13.00,0,0,0,,0,2,6,3.00,0,0,0
27,1985,1985-12-08,14,28.287,NYG,@,HOU,W 35-14,1,11,11.00,0,0,0,,0,4,22,5.50,0,0,0
28,1985,1985-12-15,15,28.294,NYG,@,DAL,L 21-28,6,128,21.33,0,0,0,,0,6,29,4.83,0,0,0
29,1985,1985-12-21,16,28.300,NYG,,PIT,W 28-10,0,0,,0,0,0,,0,5,35,7.00,0,0,0
30,1986,1986-09-07,1,29.195,GNB,,HOU,L 3-31,,,,,,,,,,,,,,
31,1986,1986-09-14,2,29.202,GNB,@,NOR,L 10-24,,,,,,,,,,,,,,
32,1986,1986-09-22,3,29.210,GNB,,CHI,L 12-25,,,,,,,,,,,,,,
33,1986,1986-09-28,4,29.216,GNB,@,MIN,L 7-42,,,,,,,,,,,,,,
34,1986,1986-10-05,5,29.223,NYG,@,STL,W 13-6,0,0,,0,2,43,21.50,0,7,85,12.14,0,0,0
35,1986,1986-10-12,6,29.230,NYG,,PHI,W 35-3,2,26,13.00,0,0,0,,0,5,38,7.60,0,0,0
36,1986,1986-10-19,7,29.237,NYG,@,SEA,L 12-17,3,49,16.33,0,0,0,,0,2,13,6.50,0,0,0
