ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1985,1985-09-15,2,22.219,WAS,,HOU,W 16-13,,,,,
2,1985,1985-09-22,3,22.226,WAS,,PHI,L 6-19,,,,,
3,1985,1985-10-13,6,22.247,WAS,,DET,W 24-3,,,,,
4,1985,1985-12-01,13,22.296,WAS,,SFO,L 8-35,,,,,
5,1985,1985-12-15,15,22.310,WAS,,CIN,W 27-24,,,,,
6,1985,1985-12-21,16,22.316,WAS,@,STL,W 27-16,,,,,
7,1986,1986-09-07,1,23.211,WAS,,PHI,W 41-14,,,,,
8,1986,1986-09-14,2,23.218,WAS,,RAI,W 10-6,,,,,
9,1986,1986-09-21,3,23.225,WAS,@,SDG,W 30-27,,,,,
10,1986,1986-09-28,4,23.232,WAS,,SEA,W 19-14,,,,,
11,1986,1986-10-05,5,23.239,WAS,@,NOR,W 14-6,,,,,
12,1986,1986-10-12,6,23.246,WAS,@,DAL,L 6-30,,,,,
13,1986,1986-10-19,7,23.253,WAS,,STL,W 28-21,,,,,
14,1986,1986-10-27,8,23.261,WAS,@,NYG,L 20-27,,,,,
15,1986,1986-11-02,9,23.267,WAS,,MIN,W 44-38,,,,,
16,1986,1986-11-09,10,23.274,WAS,@,GNB,W 16-7,,,,,
17,1986,1986-11-23,12,23.288,WAS,,DAL,W 41-14,,,,,
18,1986,1986-11-30,13,23.295,WAS,@,STL,W 20-17,,,,,
19,1986,1986-12-07,14,23.302,WAS,,NYG,L 14-24,,,,,
20,1986,1986-12-13,15,23.308,WAS,@,DEN,L 30-31,,,,,
21,1986,1986-12-21,16,23.316,WAS,@,PHI,W 21-14,,,,,
22,1987,1987-09-13,1,24.217,WAS,,PHI,W 34-24,,,,,
23,1987,1987-09-20,2,24.224,WAS,@,ATL,L 20-21,,,,,
24,1987,1987-10-25,6,24.259,WAS,,NYJ,W 17-16,,,,,
25,1987,1987-11-01,7,24.266,WAS,@,BUF,W 27-7,,,,,
26,1987,1987-11-08,8,24.273,WAS,@,PHI,L 27-31,,,,,
27,1987,1987-11-15,9,24.280,WAS,,DET,W 20-13,,,,,
28,1987,1987-11-23,10,24.288,WAS,,RAM,L 26-30,,,,,
29,1987,1987-11-29,11,24.294,WAS,,NYG,W 23-19,,,,,
30,1987,1987-12-06,12,24.301,WAS,@,STL,W 34-17,,,,,
31,1987,1987-12-13,13,24.308,WAS,,DAL,W 24-20,,,,,
32,1987,1987-12-20,14,24.315,WAS,@,MIA,L 21-23,,,,,
33,1987,1987-12-26,15,24.321,WAS,@,MIN,W 27-24,,,,,
34,1988,1988-09-05,1,25.210,WAS,@,NYG,L 20-27,,,,,
35,1988,1988-09-11,2,25.216,WAS,,PIT,W 30-29,,,,,
36,1988,1988-09-18,3,25.223,WAS,,PHI,W 17-10,,,,,
37,1988,1988-09-25,4,25.230,WAS,@,PHO,L 21-30,,,,,
38,1988,1988-10-02,5,25.237,WAS,,NYG,L 23-24,,,,,
39,1988,1988-10-09,6,25.244,WAS,@,DAL,W 35-17,,,,,
40,1988,1988-10-16,7,25.251,WAS,,PHO,W 33-17,,,,,
41,1988,1988-10-23,8,25.258,WAS,@,GNB,W 20-17,,,,,
42,1988,1988-10-30,9,25.265,WAS,@,HOU,L 17-41,,,,,
43,1988,1988-11-06,10,25.272,WAS,,NOR,W 27-24,,,,,
44,1988,1988-11-13,11,25.279,WAS,,CHI,L 14-34,,,,,
45,1988,1988-11-21,12,25.287,WAS,@,SFO,L 21-37,,,,,
46,1988,1988-11-27,13,25.293,WAS,,CLE,L 13-17,,,,,
47,1988,1988-12-04,14,25.300,WAS,@,PHI,W 20-19,,,,,
48,1988,1988-12-11,15,25.307,WAS,,DAL,L 17-24,,,,,
49,1988,1988-12-17,16,25.313,WAS,@,CIN,L 17-20,,,,,
50,1989,1989-09-11,1,26.215,WAS,,NYG,L 24-27,,,,,
51,1989,1989-09-17,2,26.221,WAS,,PHI,L 37-42,,,,,
52,1989,1989-09-24,3,26.228,WAS,@,DAL,W 30-7,,,,,
53,1989,1989-10-01,4,26.235,WAS,@,NOR,W 16-14,,,,,
54,1989,1989-10-08,5,26.242,WAS,,PHO,W 30-28,,,,,
55,1989,1989-10-15,6,26.249,WAS,@,NYG,L 17-20,,,,,
56,1989,1989-10-29,8,26.263,WAS,@,RAI,L 24-37,,,,,
57,1989,1989-11-05,9,26.270,WAS,,DAL,L 3-13,,,,,
58,1989,1989-11-12,10,26.277,WAS,@,PHI,W 10-3,,,,,
59,1989,1989-11-20,11,26.285,WAS,,DEN,L 10-14,,,,,
60,1989,1989-11-26,12,26.291,WAS,,CHI,W 38-14,,,,,
61,1989,1989-12-03,13,26.298,WAS,@,PHO,W 29-10,,,,,
62,1989,1989-12-10,14,26.305,WAS,,SDG,W 26-21,,,,,
63,1989,1989-12-17,15,26.312,WAS,@,ATL,W 31-30,,,,,
64,1989,1989-12-23,16,26.318,WAS,@,SEA,W 29-0,,,,,
65,1990,1990-09-09,1,27.213,WAS,,PHO,W 31-0,,,,,
66,1990,1990-09-16,2,27.220,WAS,@,SFO,L 13-26,,,,,
67,1990,1990-09-23,3,27.227,WAS,,DAL,W 19-15,,,,,
68,1990,1990-09-30,4,27.234,WAS,@,PHO,W 38-10,,,,,
69,1990,1990-10-14,5,27.248,WAS,,NYG,L 20-24,,,,,
70,1990,1990-10-21,6,27.255,WAS,,PHI,W 13-7,,,,,
71,1990,1990-10-28,7,27.262,WAS,@,NYG,L 10-21,,,,,
72,1990,1990-11-04,8,27.269,WAS,@,DET,W 41-38,,,,,
73,1990,1990-11-12,9,27.277,WAS,@,PHI,L 14-28,,,,,
74,1990,1990-11-18,10,27.283,WAS,,NOR,W 31-17,,,,,
75,1990,1990-11-22,11,27.287,WAS,@,DAL,L 17-27,,,,,
76,1990,1990-12-02,12,27.297,WAS,,MIA,W 42-20,,,,,
77,1990,1990-12-09,13,27.304,WAS,,CHI,W 10-9,,,,,
78,1990,1990-12-15,14,27.310,WAS,@,NWE,W 25-10,,,,,
79,1990,1990-12-22,15,27.317,WAS,@,IND,L 28-35,,,,,
80,1990,1990-12-30,16,27.325,WAS,,BUF,W 29-14,,,,,
81,1991,1991-09-01,1,28.205,WAS,,DET,W 45-0,,,,,
