ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1985,1985-09-08,1,22.223,SDG,@,BUF,W 14-9,0,0,,0,7,322,46.00,0
2,1985,1985-09-15,2,22.230,SDG,,SEA,L 35-49,1,0,0.00,0,5,228,45.60,0
3,1985,1985-09-22,3,22.237,SDG,@,CIN,W 44-41,0,0,,0,3,154,51.33,0
4,1985,1985-09-29,4,22.244,SDG,,CLE,L 7-21,0,0,,0,5,228,45.60,0
5,1985,1985-10-06,5,22.251,SDG,@,SEA,L 21-26,0,0,,0,7,321,45.86,0
6,1985,1985-10-13,6,22.258,SDG,,KAN,W 31-20,0,0,,0,6,252,42.00,0
7,1985,1985-10-20,7,22.265,SDG,@,MIN,L 17-21,0,0,,0,5,204,40.80,0
8,1985,1985-10-28,8,22.273,SDG,@,RAI,L 21-34,0,0,,0,8,286,35.75,0
9,1985,1985-11-03,9,22.279,SDG,,DEN,W 30-10,0,0,,0,2,84,42.00,0
10,1985,1985-11-10,10,22.286,SDG,,RAI,W 40-34,0,0,,0,2,87,43.50,0
11,1985,1985-11-17,11,22.293,SDG,@,DEN,L 24-30,0,0,,0,4,191,47.75,0
12,1985,1985-11-24,12,22.300,SDG,@,HOU,L 35-37,0,0,,0,1,37,37.00,0
13,1985,1985-12-01,13,22.307,SDG,,BUF,W 40-7,0,0,,0,3,83,27.67,0
14,1985,1985-12-08,14,22.314,SDG,,PIT,W 54-44,0,0,,0,2,94,47.00,0
15,1985,1985-12-15,15,22.321,SDG,,PHI,W 20-14,0,0,,0,5,199,39.80,0
16,1985,1985-12-22,16,22.328,SDG,@,KAN,L 34-38,0,0,,0,3,111,37.00,0
17,1986,1986-09-07,1,23.222,SDG,,MIA,W 50-28,0,0,,0,3,74,24.67,0
18,1986,1986-09-14,2,23.229,SDG,@,NYG,L 7-20,0,0,,0,4,190,47.50,0
19,1986,1986-09-21,3,23.236,SDG,,WAS,L 27-30,0,0,,0,5,227,45.40,0
20,1986,1986-09-28,4,23.243,SDG,@,RAI,L 13-17,0,0,,0,8,373,46.63,0
21,1986,1986-10-06,5,23.251,SDG,@,SEA,L 7-33,0,0,,0,3,134,44.67,0
22,1986,1986-10-12,6,23.257,SDG,,DEN,L 14-31,0,0,,0,4,170,42.50,0
23,1986,1986-10-19,7,23.264,SDG,@,KAN,L 41-42,0,0,,0,3,98,32.67,0
24,1986,1986-10-26,8,23.271,SDG,@,PHI,L 7-23,0,0,,0,9,346,38.44,0
25,1986,1986-11-02,9,23.278,SDG,,KAN,L 23-24,0,0,,0,6,273,45.50,0
26,1986,1986-11-09,10,23.285,SDG,@,DEN,W 9-3,0,0,,0,4,182,45.50,0
27,1986,1986-11-16,11,23.292,SDG,,DAL,L 21-24,0,0,,0,4,168,42.00,1
28,1986,1986-11-20,12,23.296,SDG,,RAI,L 31-37,0,0,,0,2,72,36.00,1
29,1986,1986-11-30,13,23.306,SDG,@,IND,W 17-3,0,0,,0,3,110,36.67,0
30,1986,1986-12-07,14,23.313,SDG,,HOU,W 27-0,0,0,,0,6,251,41.83,0
31,1986,1986-12-14,15,23.320,SDG,,SEA,L 24-34,0,0,,0,4,200,50.00,0
32,1986,1986-12-21,16,23.327,SDG,@,CLE,L 17-47,0,0,,0,4,158,39.50,0
33,1987,1987-09-13,1,24.228,SDG,@,KAN,L 13-20,0,0,,0,4,165,41.25,0
34,1987,1987-09-20,2,24.235,SDG,,STL,W 28-24,0,0,,0,6,270,45.00,0
35,1987,1987-10-25,6,24.270,SDG,,KAN,W 42-21,0,0,,0,5,216,43.20,0
36,1987,1987-11-01,7,24.277,SDG,,CLE,W 27-24,0,0,,0,5,232,46.40,0
37,1987,1987-11-08,8,24.284,SDG,@,IND,W 16-13,0,0,,0,4,172,43.00,0
38,1987,1987-11-15,9,24.291,SDG,,RAI,W 16-14,0,0,,0,8,322,40.25,0
39,1987,1987-11-22,10,24.298,SDG,@,SEA,L 3-34,0,0,,0,6,255,42.50,0
40,1987,1987-11-29,11,24.305,SDG,,DEN,L 17-31,0,0,,0,3,137,45.67,0
41,1987,1987-12-06,12,24.312,SDG,@,HOU,L 18-33,0,0,,0,8,352,44.00,0
42,1987,1987-12-13,13,24.319,SDG,,PIT,L 16-20,0,0,,0,3,122,40.67,0
43,1987,1987-12-20,14,24.326,SDG,,IND,L 7-20,0,0,,0,7,274,39.14,0
44,1987,1987-12-27,15,24.333,SDG,@,DEN,L 0-24,0,0,,0,8,358,44.75,0
45,1988,1988-09-04,1,25.220,SDG,@,RAI,L 13-24,0,0,,0,6,281,46.83,0
46,1988,1988-09-11,2,25.227,SDG,@,DEN,L 3-34,0,0,,0,6,262,43.67,0
47,1988,1988-09-18,3,25.234,SDG,,SEA,W 17-6,0,0,,0,4,202,50.50,0
48,1988,1988-09-25,4,25.241,SDG,@,KAN,W 24-23,0,0,,0,4,205,51.25,0
49,1988,1988-10-02,5,25.248,SDG,,DEN,L 0-12,0,0,,0,7,349,49.86,1
