ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1974,1974-11-03,8,22.222,MIN,@,CHI,W 17-0,,,
2,1974,1974-11-24,11,22.243,MIN,@,RAM,L 17-20,,,
3,1974,1974-12-01,12,22.250,MIN,,NOR,W 29-9,,,
4,1974,1974-12-07,13,22.256,MIN,,ATL,W 23-10,,,
5,1974,1974-12-14,14,22.263,MIN,@,KAN,W 35-15,,,
6,1975,1975-09-29,2,23.187,DEN,,GNB,W 23-13,,,
7,1975,1975-10-05,3,23.193,DEN,@,BUF,L 14-38,,,
8,1975,1975-10-12,4,23.200,DEN,@,PIT,L 9-20,,,
9,1975,1975-10-19,5,23.207,DEN,,CLE,W 16-15,,,
10,1975,1975-10-26,6,23.214,DEN,@,KAN,L 13-26,,,
11,1975,1975-11-02,7,23.221,DEN,,OAK,L 17-42,,,
12,1975,1975-11-09,8,23.228,DEN,,CIN,L 16-17,,,
13,1975,1975-11-16,9,23.235,DEN,@,SDG,W 27-17,,,
14,1975,1975-11-23,10,23.242,DEN,@,ATL,L 21-35,,,
15,1975,1975-11-30,11,23.249,DEN,,SDG,W 13-10,,,
16,1975,1975-12-08,12,23.257,DEN,@,OAK,L 10-17,,,
17,1975,1975-12-14,13,23.263,DEN,,PHI,W 25-10,,,
18,1975,1975-12-20,14,23.269,DEN,@,MIA,L 13-14,,,
19,1976,1976-09-12,1,24.170,DEN,@,CIN,L 7-17,,,
20,1976,1976-10-03,4,24.191,DEN,,SDG,W 26-0,,,
21,1976,1976-10-10,5,24.198,DEN,@,HOU,L 3-17,,,
22,1976,1976-10-17,6,24.205,DEN,,OAK,L 10-17,,,
23,1976,1976-10-24,7,24.212,DEN,@,KAN,W 35-26,,,
24,1976,1976-10-31,8,24.219,DEN,@,OAK,L 6-19,,,
25,1976,1976-11-07,9,24.226,DEN,,TAM,W 48-13,,,
26,1976,1976-11-14,10,24.233,DEN,@,SDG,W 17-0,,,
27,1976,1976-11-21,11,24.240,DEN,,NYG,W 14-13,,,
28,1976,1976-11-28,12,24.247,DEN,@,NWE,L 14-38,,,
29,1976,1976-12-05,13,24.254,DEN,,KAN,W 17-16,,,
30,1976,1976-12-12,14,24.261,DEN,@,CHI,W 28-14,1,0,0
31,1977,1977-09-18,1,25.176,DEN,,STL,W 7-0,,,
32,1977,1977-09-25,2,25.183,DEN,,BUF,W 26-6,,,
33,1977,1977-10-02,3,25.190,DEN,@,SEA,W 24-13,,,
34,1977,1977-10-09,4,25.197,DEN,,KAN,W 23-7,,,
35,1977,1977-10-16,5,25.204,DEN,@,OAK,W 30-7,,,
36,1977,1977-10-23,6,25.211,DEN,@,CIN,W 24-13,,,
37,1977,1977-10-30,7,25.218,DEN,,OAK,L 14-24,,,
38,1977,1977-11-06,8,25.225,DEN,,PIT,W 21-7,,,
39,1977,1977-11-13,9,25.232,DEN,@,SDG,W 17-14,,,
40,1977,1977-11-20,10,25.239,DEN,@,KAN,W 14-7,,,
41,1977,1977-11-27,11,25.246,DEN,,BAL,W 27-13,,,
42,1977,1977-12-04,12,25.253,DEN,@,HOU,W 24-14,,,
43,1977,1977-12-11,13,25.260,DEN,,SDG,W 17-9,,,
44,1977,1977-12-18,14,25.267,DEN,@,DAL,L 6-14,,,
