ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2003,2003-09-21,3,24.189,SEA,,STL,W 24-23,,
2,2003,2003-10-05,4,24.203,SEA,@,GNB,L 13-35,,
3,2003,2003-10-12,5,24.210,SEA,,SFO,W 20-19,,
4,2003,2003-10-19,6,24.217,SEA,,CHI,W 24-17,,
5,2003,2003-10-26,7,24.224,SEA,@,CIN,L 24-27,,1.0
6,2003,2003-11-02,8,24.231,SEA,,PIT,W 23-16,,
7,2003,2003-11-09,9,24.238,SEA,@,WAS,L 20-27,*,
8,2003,2003-11-16,10,24.245,SEA,,DET,W 35-14,*,
9,2003,2003-11-23,11,24.252,SEA,@,BAL,L 41-44,*,
10,2003,2003-11-30,12,24.259,SEA,,CLE,W 34-7,*,
11,2003,2003-12-07,13,24.266,SEA,@,MIN,L 7-34,,
12,2003,2003-12-14,14,24.273,SEA,@,STL,L 22-27,,
13,2003,2003-12-21,15,24.280,SEA,,ARI,W 28-10,*,
14,2003,2003-12-27,16,24.286,SEA,@,SFO,W 24-17,*,
15,2004,2004-09-12,1,25.180,SEA,@,NOR,W 21-7,*,
16,2004,2004-09-19,2,25.187,SEA,@,TAM,W 10-6,*,
17,2004,2004-09-26,3,25.194,SEA,,SFO,W 34-0,*,
18,2004,2004-10-10,4,25.208,SEA,,STL,L 27-33,*,
19,2004,2004-10-17,5,25.215,SEA,@,NWE,L 20-30,*,
20,2004,2004-10-24,6,25.222,SEA,@,ARI,L 17-25,,
21,2004,2004-10-31,7,25.229,SEA,,CAR,W 23-17,*,
22,2004,2004-11-07,8,25.236,SEA,@,SFO,W 42-27,*,1.0
23,2004,2004-11-14,9,25.243,SEA,@,STL,L 12-23,*,
24,2004,2004-11-21,10,25.250,SEA,,MIA,W 24-17,,
25,2004,2004-11-28,11,25.257,SEA,,BUF,L 9-38,,
26,2004,2004-12-06,12,25.265,SEA,,DAL,L 39-43,,1.0
27,2004,2004-12-12,13,25.271,SEA,@,MIN,W 27-23,*,
28,2004,2004-12-19,14,25.278,SEA,@,NYJ,L 14-37,*,
29,2004,2004-12-26,15,25.285,SEA,,ARI,W 24-21,*,
30,2004,2005-01-02,16,25.292,SEA,,ATL,W 28-26,*,
31,2006,2006-09-10,1,27.178,NYJ,@,TEN,W 23-16,,
32,2006,2006-09-17,2,27.185,NYJ,,NWE,L 17-24,,
33,2006,2006-09-24,3,27.192,NYJ,@,BUF,W 28-20,,
34,2006,2006-10-01,4,27.199,NYJ,,IND,L 28-31,,
35,2006,2006-10-08,5,27.206,NYJ,@,JAX,L 0-41,,
36,2006,2006-10-15,6,27.213,NYJ,,MIA,W 20-17,,
37,2006,2006-10-22,7,27.220,NYJ,,DET,W 31-24,,
38,2006,2006-10-29,8,27.227,NYJ,@,CLE,L 13-20,,
39,2006,2006-11-12,9,27.241,NYJ,@,NWE,W 17-14,,
40,2006,2006-11-19,10,27.248,NYJ,,CHI,L 0-10,,
41,2006,2006-11-26,11,27.255,NYJ,,HOU,W 26-11,,
42,2006,2006-12-03,12,27.262,NYJ,@,GNB,W 38-10,,
43,2006,2006-12-31,16,27.290,NYJ,,OAK,W 23-3,,
44,2007,2007-12-23,15,28.282,NWE,,MIA,W 28-7,,
