ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2000,2000-09-03,1,22.069,CLE,,JAX,L 7-27,,,,,
2,2000,2000-09-10,2,22.076,CLE,@,CIN,W 24-7,,,,,
3,2000,2000-09-17,3,22.083,CLE,,PIT,W 23-20,,,,,
4,2000,2000-09-24,4,22.090,CLE,@,OAK,L 10-36,,,,,
5,2000,2000-10-01,5,22.097,CLE,,BAL,L 0-12,,,,,
6,2000,2000-10-08,6,22.104,CLE,@,ARI,L 21-29,,,,,
7,2000,2000-10-15,7,22.111,CLE,@,DEN,L 10-44,,,,,
8,2000,2000-10-22,8,22.118,CLE,@,PIT,L 0-22,,,,,
9,2000,2000-10-29,9,22.125,CLE,,CIN,L 3-12,,,,,
10,2000,2000-11-05,10,22.132,CLE,,NYG,L 3-24,,,,,
11,2000,2000-11-12,11,22.139,CLE,,NWE,W 19-11,,,,,
12,2000,2000-11-19,12,22.146,CLE,@,TEN,L 10-24,,,,,
13,2000,2000-11-26,13,22.153,CLE,@,BAL,L 7-44,,,,,
14,2000,2000-12-03,14,22.160,CLE,@,JAX,L 0-48,,1,0,0.00,0
