ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1955,1955-10-01,2,22.216,BAL,,DET,W 28-13,1,19,19.00,0,0,
2,1955,1955-10-16,4,22.231,BAL,@,CHI,L 10-38,1,15,15.00,0,0,
3,1955,1955-11-05,7,22.251,BAL,@,DET,L 14-24,3,36,12.00,0,0,
4,1955,1955-11-13,8,22.259,BAL,@,NYG,L 7-17,4,78,19.50,0,0,
5,1955,1955-11-20,9,22.266,BAL,,RAM,T 17-17,1,12,12.00,0,0,
6,1955,1955-11-27,10,22.273,BAL,,SFO,W 26-14,1,18,18.00,0,0,
7,1955,1955-12-04,11,22.280,BAL,@,RAM,L 14-20,1,14,14.00,0,0,
8,1955,1955-12-11,12,22.287,BAL,@,SFO,L 24-35,1,13,13.00,0,0,
9,1956,1956-09-30,1,23.216,BAL,,CHI,W 28-21,2,20,10.00,0,0,
10,1956,1956-10-06,2,23.222,BAL,,DET,L 14-31,3,69,23.00,0,0,
11,1956,1956-10-14,3,23.230,BAL,@,GNB,L 33-38,3,37,12.33,0,0,
12,1956,1956-10-21,4,23.237,BAL,@,CHI,L 27-58,3,24,8.00,0,0,
13,1956,1956-10-28,5,23.244,BAL,,GNB,W 28-21,3,70,23.33,1,1,
14,1956,1956-11-18,7,23.265,BAL,@,DET,L 3-27,6,155,25.83,0,0,
15,1956,1956-11-25,8,23.272,BAL,,RAM,W 56-21,6,73,12.17,0,0,
16,1956,1956-12-02,9,23.279,BAL,,SFO,L 17-20,6,83,13.83,0,0,
17,1956,1956-12-16,11,23.293,BAL,@,SFO,L 17-30,2,40,20.00,1,1,
18,1956,1956-12-23,12,23.300,BAL,,WAS,W 19-17,3,30,10.00,0,0,
19,1957,1957-09-29,1,24.214,BAL,,DET,W 34-14,1,35,35.00,1,1,
20,1957,1957-10-05,2,24.220,BAL,,CHI,W 21-10,4,55,13.75,0,0,
21,1957,1957-10-13,3,24.228,BAL,@,GNB,W 45-17,1,2,2.00,0,0,
22,1957,1957-10-20,4,24.235,BAL,@,DET,L 27-31,1,13,13.00,0,0,
23,1957,1957-10-27,5,24.242,BAL,,GNB,L 21-24,4,98,24.50,1,1,
24,1957,1957-11-03,6,24.249,BAL,,PIT,L 13-19,3,56,18.67,1,1,
25,1957,1957-11-10,7,24.256,BAL,@,WAS,W 21-17,12,224,18.67,2,2,
26,1957,1957-11-17,8,24.263,BAL,@,CHI,W 29-14,2,25,12.50,0,0,
27,1957,1957-11-24,9,24.270,BAL,,SFO,W 27-21,3,62,20.67,0,0,
28,1957,1957-12-01,10,24.277,BAL,,RAM,W 31-14,6,57,9.50,1,1,
29,1957,1957-12-08,11,24.284,BAL,@,SFO,L 13-17,3,27,9.00,0,0,
30,1957,1957-12-15,12,24.291,BAL,@,RAM,L 21-37,7,146,20.86,0,0,
31,1958,1958-09-28,1,25.213,BAL,,DET,W 28-15,10,149,14.90,2,2,
32,1958,1958-10-04,2,25.219,BAL,,CHI,W 51-38,4,63,15.75,1,1,
33,1958,1958-10-12,3,25.227,BAL,@,GNB,W 24-17,5,54,10.80,0,0,
34,1958,1958-10-19,4,25.234,BAL,@,DET,W 40-14,4,95,23.75,0,0,
35,1958,1958-10-26,5,25.241,BAL,,WAS,W 35-10,4,92,23.00,2,2,
36,1958,1958-11-02,6,25.248,BAL,,GNB,W 56-0,2,25,12.50,0,0,
37,1958,1958-11-09,7,25.255,BAL,@,NYG,L 21-24,4,49,12.25,1,1,
38,1958,1958-11-16,8,25.262,BAL,@,CHI,W 17-0,3,38,12.67,1,1,
39,1958,1958-11-23,9,25.269,BAL,,RAM,W 34-7,3,37,12.33,0,0,
40,1958,1958-11-30,10,25.276,BAL,,SFO,W 35-27,9,114,12.67,1,1,
41,1958,1958-12-06,11,25.282,BAL,@,RAM,L 28-30,8,78,9.75,1,1,
42,1959,1959-09-27,1,26.212,BAL,,DET,W 21-9,2,44,22.00,1,1,
43,1959,1959-10-03,2,26.218,BAL,,CHI,L 21-26,8,123,15.38,1,1,
44,1959,1959-10-11,3,26.226,BAL,@,DET,W 31-24,6,96,16.00,1,1,
45,1959,1959-10-18,4,26.233,BAL,@,CHI,W 21-7,3,48,16.00,0,0,
46,1959,1959-10-25,5,26.240,BAL,,GNB,W 38-21,10,117,11.70,2,2,
47,1959,1959-11-01,6,26.247,BAL,,CLE,L 31-38,11,156,14.18,1,1,
48,1959,1959-11-08,7,26.254,BAL,@,WAS,L 24-27,4,59,14.75,0,0,
49,1959,1959-11-15,8,26.261,BAL,@,GNB,W 28-24,4,36,9.00,2,2,
50,1959,1959-11-22,9,26.268,BAL,,SFO,W 45-14,3,48,16.00,1,1,
51,1959,1959-11-29,10,26.275,BAL,,RAM,W 35-21,7,168,24.00,1,1,
52,1959,1959-12-05,11,26.281,BAL,@,SFO,W 34-14,5,41,8.20,2,2,
53,1959,1959-12-12,12,26.288,BAL,@,RAM,W 45-26,3,23,7.67,2,2,
54,1960,1960-09-25,1,27.211,BAL,,WAS,W 20-0,4,60,15.00,1,1,6
55,1960,1960-10-02,2,27.218,BAL,,CHI,W 42-7,7,113,16.14,1,1,6
56,1960,1960-10-09,3,27.225,BAL,@,GNB,L 21-35,5,85,17.00,0,0,0
57,1960,1960-10-16,4,27.232,BAL,,RAM,W 31-17,5,86,17.20,0,0,0
58,1960,1960-10-23,5,27.239,BAL,@,DET,L 17-30,11,186,16.91,1,1,6
59,1960,1960-10-30,6,27.246,BAL,@,DAL,W 45-7,4,195,48.75,3,3,18
60,1960,1960-11-06,7,27.253,BAL,,GNB,W 38-24,10,137,13.70,3,3,18
61,1960,1960-11-13,8,27.260,BAL,@,CHI,W 24-20,6,104,17.33,0,0,0
62,1960,1960-11-27,9,27.274,BAL,,SFO,L 22-30,9,181,20.11,1,1,6
63,1960,1960-12-04,10,27.281,BAL,,DET,L 15-20,10,117,11.70,0,0,0
64,1960,1960-12-11,11,27.288,BAL,@,RAM,L 3-10,1,11,11.00,0,0,0
65,1960,1960-12-18,12,27.295,BAL,@,SFO,L 10-34,2,23,11.50,0,0,0
66,1961,1961-10-01,3,28.216,BAL,,MIN,W 34-33,6,96,16.00,0,0,0
67,1961,1961-10-08,4,28.223,BAL,@,GNB,L 7-45,4,71,17.75,0,0,0
68,1961,1961-10-15,5,28.230,BAL,@,CHI,L 10-24,6,80,13.33,0,0,0
69,1961,1961-10-22,6,28.237,BAL,@,DET,W 17-14,8,94,11.75,0,0,0
70,1961,1961-10-29,7,28.244,BAL,,CHI,L 20-21,5,50,10.00,0,0,0
71,1961,1961-11-05,8,28.251,BAL,,GNB,W 45-21,8,72,9.00,0,0,0
72,1961,1961-11-12,9,28.258,BAL,@,MIN,L 20-28,8,86,10.75,0,0,0
73,1961,1961-11-19,10,28.265,BAL,,STL,W 16-0,5,48,9.60,0,0,0
74,1961,1961-11-26,11,28.272,BAL,@,WAS,W 27-6,7,89,12.71,0,0,0
75,1961,1961-12-03,12,28.279,BAL,,SFO,W 20-17,8,71,8.88,0,0,0
76,1961,1961-12-09,13,28.285,BAL,@,RAM,L 17-34,6,48,8.00,0,0,0
77,1961,1961-12-16,14,28.292,BAL,@,SFO,W 27-24,4,68,17.00,0,0,0
78,1962,1962-09-16,1,29.201,BAL,,RAM,W 30-27,5,93,18.60,1,1,6
79,1962,1962-09-23,2,29.208,BAL,@,MIN,W 34-7,5,36,7.20,0,0,0
80,1962,1962-09-30,3,29.215,BAL,,DET,L 20-29,4,91,22.75,0,0,0
81,1962,1962-10-07,4,29.222,BAL,,SFO,L 13-21,1,8,8.00,0,0,0
82,1962,1962-10-14,5,29.229,BAL,@,CLE,W 36-14,1,7,7.00,0,0,0
83,1962,1962-10-21,6,29.236,BAL,@,CHI,L 15-35,5,55,11.00,0,0,0
84,1962,1962-10-28,7,29.243,BAL,,GNB,L 6-17,3,36,12.00,0,0,0
85,1962,1962-11-11,9,29.257,BAL,@,RAM,W 14-2,2,26,13.00,0,0,0
86,1962,1962-12-02,12,29.278,BAL,@,DET,L 14-21,6,82,13.67,1,1,6
87,1962,1962-12-08,13,29.284,BAL,,WAS,W 34-21,11,122,11.09,0,0,0
88,1962,1962-12-16,14,29.292,BAL,,MIN,W 42-17,8,131,16.38,1,1,6
89,1963,1963-09-15,1,30.200,BAL,,NYG,L 28-37,4,33,8.25,0,0,0
90,1963,1963-09-22,2,30.207,BAL,@,SFO,W 20-14,1,11,11.00,0,0,0
91,1963,1963-11-03,8,30.249,BAL,,CHI,L 7-17,4,42,10.50,0,0,0
92,1963,1963-11-10,9,30.256,BAL,,DET,W 24-21,5,148,29.60,1,1,6
93,1963,1963-11-17,10,30.263,BAL,@,MIN,W 37-34,3,74,24.67,0,0,0
94,1963,1963-11-24,11,30.270,BAL,@,RAM,L 16-17,7,95,13.57,0,0,0
95,1963,1963-12-01,12,30.277,BAL,@,WAS,W 36-20,5,43,8.60,1,1,6
96,1963,1963-12-08,13,30.284,BAL,,MIN,W 41-10,8,127,15.88,1,1,6
97,1963,1963-12-15,14,30.291,BAL,,RAM,W 19-16,7,130,18.57,0,0,0
98,1964,1964-09-13,1,31.199,BAL,@,MIN,L 24-34,1,8,8.00,0,0,0
99,1964,1964-09-20,2,31.206,BAL,@,GNB,W 21-20,2,16,8.00,0,0,0
100,1964,1964-09-27,3,31.213,BAL,,CHI,W 52-0,4,98,24.50,1,1,6
101,1964,1964-10-04,4,31.220,BAL,,RAM,W 35-20,2,19,9.50,0,0,0
102,1964,1964-10-12,5,31.228,BAL,,STL,W 47-27,5,78,15.60,1,1,6
103,1964,1964-10-18,6,31.234,BAL,,GNB,W 24-21,7,78,11.14,0,0,0
104,1964,1964-10-25,7,31.241,BAL,@,DET,W 34-0,4,25,6.25,1,1,6
105,1964,1964-11-01,8,31.248,BAL,,SFO,W 37-7,5,96,19.20,1,1,6
106,1964,1964-11-22,11,31.269,BAL,@,RAM,W 24-7,2,52,26.00,0,0,0
107,1964,1964-11-29,12,31.276,BAL,@,SFO,W 14-3,2,48,24.00,1,1,6
108,1964,1964-12-06,13,31.283,BAL,,DET,L 14-31,4,56,14.00,0,0,0
