ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1978,1978-09-04,1,22.080,BAL,@,DAL,L 0-38,3,53,17.67,0,0,0,,0,0,0
2,1978,1978-09-10,2,22.086,BAL,,MIA,L 0-42,2,25,12.50,0,0,0,,0,0,0
3,1978,1978-09-18,3,22.094,BAL,@,NWE,W 34-27,,,,,,,,,,
4,1978,1978-09-24,4,22.100,BAL,@,BUF,L 17-24,,,,,,,,,,
5,1978,1978-10-01,5,22.107,BAL,,PHI,L 14-17,,,,,,,,,,
6,1978,1978-10-08,6,22.114,BAL,@,STL,W 30-17,0,0,,0,1,37,37.00,0,0,0
7,1978,1978-10-15,7,22.121,BAL,,NYJ,L 10-33,,,,,,,,,,
8,1978,1978-10-22,8,22.128,BAL,,DEN,W 7-6,,,,,,,,,,
9,1978,1978-10-29,9,22.135,BAL,@,MIA,L 8-26,,,,,,,,,,
10,1978,1978-11-06,10,22.143,BAL,,WAS,W 21-17,1,19,19.00,1,0,0,,0,1,6
11,1978,1978-11-12,11,22.149,BAL,@,SEA,W 17-14,,,,,,,,,,
12,1978,1978-11-19,12,22.156,BAL,,CLE,L 24-45,1,19,19.00,0,0,0,,0,0,0
13,1978,1978-11-26,13,22.163,BAL,,NWE,L 14-35,,,,,,,,,,
14,1978,1978-12-03,14,22.170,BAL,@,NYJ,L 16-24,3,27,9.00,0,0,0,,0,0,0
15,1978,1978-12-09,15,22.176,BAL,@,PIT,L 13-35,1,17,17.00,0,0,0,,0,0,0
16,1978,1978-12-17,16,22.184,BAL,,BUF,L 14-21,,,,,,,,,,
17,1979,1979-09-02,1,23.078,BAL,@,KAN,L 0-14,,,,,,,,,,
18,1979,1979-09-09,2,23.085,BAL,,TAM,L 26-29,1,3,3.00,0,0,0,,0,0,0
19,1979,1979-09-16,3,23.092,BAL,@,CLE,L 10-13,,,,,,,,,,
20,1979,1979-09-23,4,23.099,BAL,@,PIT,L 13-17,2,25,12.50,0,0,0,,0,0,0
21,1979,1979-09-30,5,23.106,BAL,,BUF,L 13-31,5,80,16.00,1,0,0,,0,1,6
22,1979,1979-10-07,6,23.113,BAL,,NYJ,W 10-8,5,44,8.80,1,0,0,,0,1,6
23,1979,1979-10-14,7,23.120,BAL,,HOU,L 16-28,3,27,9.00,0,0,0,,0,0,0
24,1979,1979-11-04,10,23.141,BAL,,CIN,W 38-28,5,85,17.00,2,0,0,,0,2,12
25,1979,1979-11-11,11,23.148,BAL,@,MIA,L 0-19,3,39,13.00,0,0,0,,0,0,0
26,1979,1979-11-18,12,23.155,BAL,@,NWE,L 21-50,2,29,14.50,0,0,0,,0,0,0
27,1979,1979-11-25,13,23.162,BAL,,MIA,L 24-28,3,53,17.67,0,0,0,,0,0,0
28,1979,1979-12-02,14,23.169,BAL,@,NYJ,L 17-30,3,34,11.33,0,0,0,,0,0,0
29,1979,1979-12-09,15,23.176,BAL,,KAN,L 7-10,3,61,20.33,0,0,0,,0,0,0
30,1979,1979-12-16,16,23.183,BAL,@,NYG,W 31-7,2,56,28.00,0,0,0,,0,0,0
31,1980,1980-09-07,1,24.083,BAL,@,NYJ,W 17-14,4,56,14.00,0,0,0,,0,0,0
32,1980,1980-09-14,2,24.090,BAL,,PIT,L 17-20,,,,,,,,,,
33,1980,1980-09-21,3,24.097,BAL,@,HOU,L 16-21,,,,,,,,,,
34,1980,1980-09-28,4,24.104,BAL,,NYJ,W 35-21,1,21,21.00,0,0,0,,0,0,0
35,1980,1980-10-05,5,24.111,BAL,@,MIA,W 30-17,1,21,21.00,0,0,0,,0,0,0
36,1980,1980-10-12,6,24.118,BAL,@,BUF,W 17-12,,,,,,,,,,
37,1980,1980-10-19,7,24.125,BAL,,NWE,L 21-37,3,46,15.33,1,0,0,,0,1,6
38,1980,1980-10-26,8,24.132,BAL,,STL,L 10-17,,,,,,,,,,
