ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1983,1983-09-04,1,22.036,MIA,@,BUF,W 12-0,0,0,,0,0,0,,0,0,0,,,,,,7,301,43.00,0
2,1983,1983-09-11,2,22.043,MIA,,NWE,W 34-24,0,0,,0,0,0,,0,0,0,,,,,,3,130,43.33,0
3,1983,1983-09-19,3,22.051,MIA,@,RAI,L 14-27,0,0,,0,0,0,,0,0,0,,,,,,5,229,45.80,0
4,1983,1983-09-25,4,22.057,MIA,,KAN,W 14-6,0,0,,0,0,0,,0,0,0,,,,,,3,92,30.67,0
5,1983,1983-10-02,5,22.064,MIA,@,NOR,L 7-17,0,0,,0,0,0,,0,0,0,,,,,,4,196,49.00,0
6,1983,1983-10-09,6,22.071,MIA,,BUF,L 35-38,0,0,,0,0,0,,0,0,0,,,,,,4,169,42.25,0
7,1983,1983-10-16,7,22.078,MIA,@,NYJ,W 32-14,0,0,,0,0,0,,0,0,0,,,,,,6,257,42.83,1
8,1983,1983-10-23,8,22.085,MIA,@,BAL,W 21-7,0,0,,0,0,0,,0,0,0,,,,,,8,318,39.75,0
9,1983,1983-10-30,9,22.092,MIA,,RAM,W 30-14,0,0,,0,0,0,,0,0,0,,,,,,5,248,49.60,0
10,1983,1983-11-06,10,22.099,MIA,@,SFO,W 20-17,0,0,,0,0,0,,0,0,0,,,,,,5,180,36.00,0
11,1983,1983-11-13,11,22.106,MIA,@,NWE,L 6-17,0,0,,0,0,0,,0,0,0,,,,,,5,226,45.20,0
12,1983,1983-11-20,12,22.113,MIA,,BAL,W 37-0,0,0,,0,0,0,,0,0,0,,,,,,4,187,46.75,0
13,1983,1983-11-28,13,22.121,MIA,,CIN,W 38-14,0,0,,0,0,0,,0,0,0,,,,,,5,219,43.80,0
14,1983,1983-12-04,14,22.127,MIA,@,HOU,W 24-17,0,0,,0,0,0,,0,0,0,,,,,,3,115,38.33,0
15,1983,1983-12-10,15,22.133,MIA,,ATL,W 31-24,0,0,,0,0,0,,0,0,0,,,,,,2,92,46.00,0
16,1983,1983-12-16,16,22.139,MIA,,NYJ,W 34-14,0,0,,0,0,0,,0,0,0,,,,,,5,230,46.00,0
17,1984,1984-09-02,1,23.034,MIA,@,WAS,W 35-17,0,0,,0,0,0,,0,0,0,,,,,,5,229,45.80,0
18,1984,1984-09-09,2,23.041,MIA,,NWE,W 28-7,0,0,,0,0,0,,0,0,0,,,,,,5,208,41.60,0
19,1984,1984-09-17,3,23.049,MIA,@,BUF,W 21-17,0,0,,0,0,0,,0,0,0,,,,,,2,77,38.50,0
20,1984,1984-09-23,4,23.055,MIA,,IND,W 44-7,0,0,,0,0,0,,0,0,0,,,,,,3,159,53.00,0
21,1984,1984-09-30,5,23.062,MIA,@,STL,W 36-28,0,0,,0,0,0,,0,0,0,,,,,,1,44,44.00,0
22,1984,1984-10-07,6,23.069,MIA,@,PIT,W 31-7,0,0,,0,0,0,,0,0,0,,,,,,5,192,38.40,0
23,1984,1984-10-14,7,23.076,MIA,,HOU,W 28-10,0,0,,0,0,0,,0,0,0,,,,,,1,53,53.00,0
24,1984,1984-10-21,8,23.083,MIA,@,NWE,W 44-24,0,0,,0,0,0,,0,0,0,,,,,,1,38,38.00,0
25,1984,1984-10-28,9,23.090,MIA,,BUF,W 38-7,0,0,,0,0,0,,0,0,0,,,,,,2,79,39.50,0
26,1984,1984-11-04,10,23.097,MIA,@,NYJ,W 31-17,0,0,,0,0,0,,0,0,0,,,,,,3,145,48.33,0
27,1984,1984-11-11,11,23.104,MIA,,PHI,W 24-23,0,0,,0,0,0,,0,0,0,,,,,,3,139,46.33,0
28,1984,1984-11-18,12,23.111,MIA,@,SDG,L 28-34,0,0,,0,0,0,,0,0,0,,,,,,2,84,42.00,0
29,1984,1984-11-26,13,23.119,MIA,,NYJ,W 28-17,0,0,,0,0,0,,0,0,0,,,,,,5,253,50.60,0
30,1984,1984-12-02,14,23.125,MIA,,RAI,L 34-45,0,0,,0,0,0,,0,0,0,,,,,,6,276,46.00,0
31,1984,1984-12-09,15,23.132,MIA,@,IND,W 35-17,0,0,,0,0,0,,0,0,0,,,,,,2,78,39.00,0
32,1984,1984-12-17,16,23.140,MIA,,DAL,W 28-21,0,0,,0,0,0,,0,0,0,,,,,,5,227,45.40,0
33,1985,1985-09-08,1,24.040,MIA,@,HOU,L 23-26,0,0,,0,0,0,,0,0,0,,,,,,2,87,43.50,0
34,1985,1985-09-15,2,24.047,MIA,,IND,W 30-13,0,0,,0,0,0,,0,0,0,,,,,,1,62,62.00,0
35,1985,1985-09-22,3,24.054,MIA,,KAN,W 31-0,0,0,,0,0,0,,0,0,0,,,,,,3,121,40.33,0
36,1985,1985-09-29,4,24.061,MIA,@,DEN,W 30-26,0,0,,0,0,0,,0,0,0,,,,,,7,315,45.00,0
37,1985,1985-10-06,5,24.068,MIA,,PIT,W 24-20,0,0,,0,0,0,,0,0,0,,,,,,4,179,44.75,0
38,1985,1985-10-14,6,24.076,MIA,@,NYJ,L 7-23,0,0,,0,0,0,,0,0,0,,,,,,6,289,48.17,0
39,1985,1985-10-20,7,24.082,MIA,,TAM,W 41-38,0,0,,0,0,0,,0,0,0,,,,,,2,86,43.00,0
40,1985,1985-10-27,8,24.089,MIA,@,DET,L 21-31,0,0,,0,0,0,,0,0,0,,,,,,4,182,45.50,0
41,1985,1985-11-03,9,24.096,MIA,@,NWE,L 13-17,0,0,,0,0,0,,0,0,0,,,,,,5,207,41.40,0
42,1985,1985-11-10,10,24.103,MIA,,NYJ,W 21-17,0,0,,0,0,0,,0,0,0,,,,,,5,186,37.20,0
43,1985,1985-11-17,11,24.110,MIA,@,IND,W 34-20,0,0,,0,0,0,,0,0,0,,,,,,4,202,50.50,0
44,1985,1985-11-24,12,24.117,MIA,@,BUF,W 23-14,0,0,,0,0,0,,0,0,0,,,,,,3,90,30.00,0
45,1985,1985-12-02,13,24.125,MIA,,CHI,W 38-24,0,0,,0,0,0,,0,0,0,,,,,,3,134,44.67,0
46,1985,1985-12-08,14,24.131,MIA,@,GNB,W 34-24,0,0,,0,0,0,,0,0,0,,,,,,3,122,40.67,0
47,1985,1985-12-16,15,24.139,MIA,,NWE,W 30-27,0,0,,0,0,0,,0,0,0,,,,,,2,106,53.00,0
48,1985,1985-12-22,16,24.145,MIA,,BUF,W 28-0,0,0,,0,0,0,,0,0,0,,,,,,5,208,41.60,0
49,1986,1986-09-07,1,25.039,MIA,@,SDG,L 28-50,0,0,,0,0,0,,0,0,0,,,,,,4,175,43.75,0
50,1986,1986-09-14,2,25.046,MIA,,IND,W 30-10,0,0,,0,0,0,,0,0,0,,,,,,3,131,43.67,0
51,1986,1986-09-21,3,25.053,MIA,@,NYJ,L 45-51,0,0,,0,0,0,,0,0,0,,,,,,6,220,36.67,0
52,1986,1986-09-28,4,25.060,MIA,,SFO,L 16-31,0,0,,0,0,0,,0,0,0,,,,,,4,234,58.50,0
53,1986,1986-10-05,5,25.067,MIA,@,NWE,L 7-34,0,0,,0,0,0,,0,0,0,,,,,,5,213,42.60,0
54,1986,1986-10-19,7,25.081,MIA,,RAI,L 28-30,0,0,,0,0,0,,0,0,0,,,,,,4,163,40.75,0
55,1986,1986-10-26,8,25.088,MIA,@,IND,W 17-13,1,0,0.00,0,0,0,,0,0,0,,,,,,3,145,48.33,0
56,1986,1986-11-02,9,25.095,MIA,,HOU,W 28-7,0,0,,0,0,0,,0,0,0,,,,,,4,203,50.75,0
57,1986,1986-11-10,10,25.103,MIA,@,CLE,L 16-26,0,0,,0,0,0,,0,0,0,,,,,,4,155,38.75,0
58,1986,1986-11-16,11,25.109,MIA,@,BUF,W 34-24,0,0,,0,0,0,,0,0,0,,,,,,4,172,43.00,0
59,1986,1986-11-24,12,25.117,MIA,,NYJ,W 45-3,0,0,,0,0,0,,0,0,0,,,,,,1,50,50.00,0
60,1986,1986-11-30,13,25.123,MIA,,ATL,L 14-20,0,0,,0,0,0,,0,0,0,,,,,,3,140,46.67,0
61,1986,1986-12-07,14,25.130,MIA,@,NOR,W 31-27,0,0,,0,0,0,,0,0,0,,,,,,4,200,50.00,0
62,1986,1986-12-14,15,25.137,MIA,@,RAM,W 37-31,0,0,,0,0,0,,0,0,0,,,,,,4,159,39.75,0
63,1986,1986-12-22,16,25.145,MIA,,NWE,L 27-34,1,-8,-8.00,0,0,0,,0,0,0,,,,,,3,116,38.67,0
64,1987,1987-09-13,1,26.045,MIA,@,NWE,L 21-28,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0
65,1987,1987-11-01,7,26.094,MIA,,PIT,W 35-24,0,0,,0,0,0,,0,0,0,,,,,,1,34,34.00,0
66,1987,1987-11-08,8,26.101,MIA,@,CIN,W 20-14,0,0,,0,0,0,,0,0,0,,,,,,4,167,41.75,0
67,1987,1987-11-15,9,26.108,MIA,,IND,L 21-40,0,0,,0,0,0,,0,0,0,,,,,,2,98,49.00,0
68,1987,1987-11-22,10,26.115,MIA,@,DAL,W 20-14,0,0,,0,0,0,,0,0,0,,,,,,4,187,46.75,0
69,1987,1987-11-29,11,26.122,MIA,@,BUF,L 0-27,0,0,,0,0,0,,0,0,0,,,,,,5,241,48.20,0
70,1987,1987-12-07,12,26.130,MIA,,NYJ,W 37-28,0,0,,0,0,0,,0,0,0,,,,,,3,105,35.00,0
71,1987,1987-12-13,13,26.136,MIA,@,PHI,W 28-10,0,0,,0,0,0,,0,0,0,,,,,,5,200,40.00,0
72,1987,1987-12-20,14,26.143,MIA,,WAS,W 23-21,0,0,,0,0,0,,0,0,0,,,,,,5,214,42.80,0
73,1987,1987-12-28,15,26.151,MIA,,NWE,L 10-24,0,0,,0,0,0,,0,0,0,,,,,,3,125,41.67,0
74,1988,1988-09-04,1,27.036,MIA,@,CHI,L 7-34,0,0,,0,0,0,,0,0,0,,,,,,7,277,39.57,0
75,1988,1988-09-11,2,27.043,MIA,@,BUF,L 6-9,0,0,,0,0,0,,0,0,0,,,,,,4,125,31.25,0
76,1988,1988-09-18,3,27.050,MIA,,GNB,W 24-17,0,0,,0,0,0,,0,0,0,,,,,,2,82,41.00,0
77,1988,1988-09-25,4,27.057,MIA,@,IND,L 13-15,0,0,,0,0,0,,0,0,0,,,,,,4,208,52.00,0
78,1988,1988-10-02,5,27.064,MIA,,MIN,W 24-7,0,0,,0,0,0,,0,0,0,,,,,,6,254,42.33,0
79,1988,1988-10-09,6,27.071,MIA,@,RAI,W 24-14,0,0,,0,0,0,,0,0,0,,,,,,8,364,45.50,0
80,1988,1988-10-16,7,27.078,MIA,,SDG,W 31-28,0,0,,0,0,0,,0,0,0,,,,,,5,208,41.60,0
81,1988,1988-10-23,8,27.085,MIA,,NYJ,L 30-44,0,0,,0,0,0,,0,0,0,,,,,,3,134,44.67,0
82,1988,1988-10-30,9,27.092,MIA,@,TAM,W 17-14,0,0,,0,0,0,,0,0,0,,,,,,6,278,46.33,0
83,1988,1988-11-06,10,27.099,MIA,@,NWE,L 10-21,0,0,,0,0,0,,0,0,0,,,,,,4,195,48.75,0
84,1988,1988-11-14,11,27.107,MIA,,BUF,L 6-31,0,0,,0,0,0,,0,0,0,,,,,,3,145,48.33,0
85,1988,1988-11-20,12,27.113,MIA,,NWE,L 3-6,0,0,,0,0,0,,0,0,0,,,,,,4,195,48.75,0
86,1988,1988-11-27,13,27.120,MIA,@,NYJ,L 34-38,0,0,,0,0,0,,0,0,0,,,,,,3,114,38.00,0
87,1988,1988-12-04,14,27.127,MIA,,IND,L 28-31,0,0,,0,0,0,,0,0,0,,,,,,1,35,35.00,0
88,1988,1988-12-18,16,27.141,MIA,@,PIT,L 24-40,0,0,,0,0,0,,0,0,0,,,,,,4,140,35.00,0
89,1989,1989-09-10,1,28.042,MIA,,BUF,L 24-27,0,0,,0,0,0,,0,0,0,,,,,,4,156,39.00,0
90,1989,1989-09-17,2,28.049,MIA,@,NWE,W 24-10,0,0,,0,0,0,,0,0,0,,,,,,3,140,46.67,0
91,1989,1989-09-24,3,28.056,MIA,,NYJ,L 33-40,1,0,0.00,0,0,0,,0,0,0,,,,,,1,52,52.00,0
92,1989,1989-10-01,4,28.063,MIA,@,HOU,L 7-39,0,0,,0,0,0,,0,0,0,,,,,,5,188,37.60,0
93,1989,1989-10-08,5,28.070,MIA,,CLE,W 13-10,0,0,,0,0,0,,0,0,0,,,,,,4,183,45.75,0
94,1989,1989-10-15,6,28.077,MIA,@,CIN,W 20-13,0,0,,0,0,0,,0,0,0,,,,,,5,197,39.40,0
95,1989,1989-10-22,7,28.084,MIA,,GNB,W 23-20,0,0,,0,0,0,,0,0,0,,,,,,2,83,41.50,0
96,1989,1989-10-29,8,28.091,MIA,@,BUF,L 17-31,0,0,,0,0,0,,0,0,0,,,,,,4,181,45.25,0
97,1989,1989-11-05,9,28.098,MIA,,IND,W 19-13,0,0,,0,0,0,,0,0,0,,,,,,4,181,45.25,0
98,1989,1989-11-12,10,28.105,MIA,@,NYJ,W 31-23,0,0,,0,0,0,,0,0,0,,,,,,3,132,44.00,0
99,1989,1989-11-19,11,28.112,MIA,@,DAL,W 17-14,0,0,,0,0,0,,0,0,0,,,,,,5,210,42.00,0
100,1989,1989-11-26,12,28.119,MIA,,PIT,L 14-34,1,0,0.00,0,0,0,,0,0,0,,,,,,5,199,39.80,0
101,1989,1989-12-03,13,28.126,MIA,@,KAN,L 21-26,0,0,,0,0,0,,0,0,0,,,,,,4,169,42.25,0
102,1989,1989-12-10,14,28.133,MIA,,NWE,W 31-10,0,0,,0,0,0,,0,0,0,,,,,,4,155,38.75,0
103,1989,1989-12-17,15,28.140,MIA,@,IND,L 13-42,0,0,,0,0,0,,0,0,0,,,,,,3,152,50.67,1
104,1989,1989-12-24,16,28.147,MIA,,KAN,L 24-27,0,0,,0,0,0,,0,0,0,,,,,,2,80,40.00,0
105,1990,1990-09-09,1,29.041,MIA,@,NWE,W 27-24,0,0,,0,0,0,,0,0,0,,,,,,3,127,42.33,0
106,1990,1990-09-16,2,29.048,MIA,,BUF,W 30-7,0,0,,0,0,0,,0,0,0,,,,,,4,173,43.25,0
107,1990,1990-09-23,3,29.055,MIA,@,NYG,L 3-20,0,0,,0,0,0,,0,0,0,,,,,,6,209,34.83,0
108,1990,1990-09-30,4,29.062,MIA,@,PIT,W 28-6,0,0,,0,0,0,,0,0,0,,,,,,5,179,35.80,0
109,1990,1990-10-07,5,29.069,MIA,,NYJ,W 20-16,0,0,,0,0,0,,0,0,0,,,,,,4,166,41.50,0
110,1990,1990-10-18,6,29.080,MIA,,NWE,W 17-10,0,0,,0,0,0,,0,0,0,,,,,,5,232,46.40,0
111,1990,1990-10-28,7,29.090,MIA,@,IND,W 27-7,0,0,,0,0,0,,0,0,0,,,,,,4,184,46.00,0
112,1990,1990-11-04,8,29.097,MIA,,PHO,W 23-3,0,0,,0,0,0,,0,0,0,,,,,,3,127,42.33,0
113,1990,1990-11-11,9,29.104,MIA,@,NYJ,W 17-3,0,0,,0,0,0,,0,0,0,,,,,,4,173,43.25,0
