ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks
1,1986,1986-09-07,1,22.233,PHI,@,WAS,L 14-41,,,,,
2,1986,1986-09-14,2,22.240,PHI,@,CHI,L 10-13,,,,,
3,1986,1986-09-21,3,22.247,PHI,,DEN,L 7-33,,,,,
4,1986,1986-09-28,4,22.254,PHI,,RAM,W 34-20,,,,,
5,1986,1986-10-05,5,22.261,PHI,@,ATL,W 16-0,,,,,
6,1986,1986-10-12,6,22.268,PHI,@,NYG,L 3-35,,,,,
7,1986,1986-10-19,7,22.275,PHI,,DAL,L 14-17,,,,,
8,1986,1986-10-26,8,22.282,PHI,,SDG,W 23-7,,,,,
9,1986,1986-11-02,9,22.289,PHI,@,STL,L 10-13,,,,,
10,1986,1986-11-09,10,22.296,PHI,,NYG,L 14-17,,,,,
11,1986,1986-11-16,11,22.303,PHI,,DET,L 11-13,,,,,
12,1986,1986-11-23,12,22.310,PHI,@,SEA,L 20-24,0,0,,0,1.0
13,1986,1986-11-30,13,22.317,PHI,@,RAI,W 33-27,,,,,
14,1986,1986-12-07,14,22.324,PHI,,STL,T 10-10,,,,,
15,1986,1986-12-14,15,22.331,PHI,@,DAL,W 23-21,,,,,
16,1986,1986-12-21,16,22.338,PHI,,WAS,L 14-21,,,,,
17,1987,1987-09-13,1,23.239,PHI,@,WAS,L 24-34,0,0,,0,
18,1987,1987-09-20,2,23.246,PHI,,NOR,W 27-17,0,0,,0,
19,1987,1987-10-25,6,23.281,PHI,,DAL,W 37-20,0,0,,0,
20,1987,1987-11-01,7,23.288,PHI,@,STL,W 28-23,0,0,,0,
21,1987,1987-11-08,8,23.295,PHI,,WAS,W 31-27,0,0,,0,
22,1987,1987-11-15,9,23.302,PHI,,NYG,L 17-20,0,0,,0,
23,1987,1987-11-22,10,23.309,PHI,,STL,L 19-31,0,0,,0,
24,1987,1987-11-29,11,23.316,PHI,@,NWE,W 34-31,0,0,,0,
25,1987,1987-12-06,12,23.323,PHI,@,NYG,L 20-23,0,0,,0,
26,1987,1987-12-13,13,23.330,PHI,,MIA,L 10-28,1,-11,-11.00,0,0.0
27,1987,1987-12-20,14,23.337,PHI,@,NYJ,W 38-27,0,0,,0,
28,1987,1987-12-27,15,23.344,PHI,,BUF,W 17-7,0,0,,0,
29,1988,1988-09-04,1,24.231,PHI,@,TAM,W 41-14,,,,,
30,1988,1988-09-11,2,24.238,PHI,,CIN,L 24-28,,,,,
31,1988,1988-09-18,3,24.245,PHI,@,WAS,L 10-17,,,,,
32,1988,1988-09-25,4,24.252,PHI,@,MIN,L 21-23,,,,,
33,1988,1988-10-02,5,24.259,PHI,,HOU,W 32-23,,,,,
34,1988,1988-10-10,6,24.267,PHI,,NYG,W 24-13,,,,,
35,1988,1988-10-16,7,24.273,PHI,@,CLE,L 3-19,,,,,
36,1988,1988-10-23,8,24.280,PHI,,DAL,W 24-23,,,,,
37,1988,1988-10-30,9,24.287,PHI,,ATL,L 24-27,,,,,
38,1988,1988-11-06,10,24.294,PHI,,RAM,W 30-24,,,,,
39,1988,1988-11-13,11,24.301,PHI,@,PIT,W 27-26,,,,,
40,1988,1988-11-20,12,24.308,PHI,@,NYG,W 23-17,,,,,
41,1988,1988-11-27,13,24.315,PHI,,PHO,W 31-21,,,,,
42,1988,1988-12-04,14,24.322,PHI,,WAS,L 19-20,,,,,
43,1988,1988-12-10,15,24.328,PHI,@,PHO,W 23-17,,,,,
44,1988,1988-12-18,16,24.336,PHI,@,DAL,W 23-7,,,,,
45,1989,1989-12-24,16,25.341,PHI,,PHO,W 31-14,,,,,
46,1990,1990-09-09,1,26.235,PHI,@,NYG,L 20-27,,,,,
47,1990,1990-09-16,2,26.242,PHI,,PHO,L 21-23,,,,,
48,1990,1990-09-23,3,26.249,PHI,@,RAM,W 27-21,,,,,
49,1990,1990-09-30,4,26.256,PHI,,IND,L 23-24,,,,,
50,1990,1990-10-15,5,26.271,PHI,,MIN,W 32-24,,,,,
51,1990,1990-10-21,6,26.277,PHI,@,WAS,L 7-13,,,,,
52,1990,1990-10-28,7,26.284,PHI,@,DAL,W 21-20,,,,,
53,1990,1990-11-04,8,26.291,PHI,,NWE,W 48-20,,,,,
54,1990,1990-11-12,9,26.299,PHI,,WAS,W 28-14,,,,,
55,1990,1990-11-18,10,26.305,PHI,@,ATL,W 24-23,,,,,
56,1990,1990-11-25,11,26.312,PHI,,NYG,W 31-13,,,,,
57,1990,1990-12-02,12,26.319,PHI,@,BUF,L 23-30,,,,,
58,1990,1990-12-09,13,26.326,PHI,@,MIA,L 20-23,,,,,
59,1990,1990-12-16,14,26.333,PHI,,GNB,W 31-0,,,,,
60,1990,1990-12-23,15,26.340,PHI,,DAL,W 17-3,,,,,
61,1990,1990-12-29,16,26.346,PHI,@,PHO,W 23-21,,,,,
