ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1992,1992-09-06,1,22.168,SDG,,KAN,L 10-24,
2,1992,1992-10-18,6,22.210,SDG,@,IND,W 34-14,1.0
3,1992,1992-10-25,7,22.217,SDG,,DEN,W 24-21,
4,1993,1993-10-03,4,23.195,SDG,@,SEA,L 14-31,
5,1993,1993-11-21,10,23.244,SDG,,RAI,L 7-12,
6,1993,1993-11-29,11,23.252,SDG,@,IND,W 31-0,
7,1993,1993-12-05,12,23.258,SDG,,DEN,W 13-10,
8,1993,1993-12-12,13,23.265,SDG,,GNB,L 13-20,
9,1993,1993-12-19,14,23.272,SDG,@,KAN,L 24-28,
10,1993,1993-12-27,15,23.280,SDG,,MIA,W 45-20,
11,1993,1994-01-02,16,23.286,SDG,@,TAM,W 32-17,
12,1994,1994-09-11,2,24.173,SDG,,CIN,W 27-10,
13,1994,1994-09-18,3,24.180,SDG,@,SEA,W 24-10,
14,1994,1994-09-25,4,24.187,SDG,@,RAI,W 26-24,
15,1994,1994-10-09,5,24.201,SDG,,KAN,W 20-6,
16,1994,1994-10-16,6,24.208,SDG,@,NOR,W 36-22,
17,1994,1994-10-23,7,24.215,SDG,,DEN,L 15-20,
18,1994,1994-10-30,8,24.222,SDG,,SEA,W 35-15,
19,1994,1994-11-06,9,24.229,SDG,@,ATL,L 9-10,
20,1994,1994-11-27,12,24.250,SDG,,RAM,W 31-17,
21,1994,1994-12-18,15,24.271,SDG,@,NYJ,W 21-6,2.0
22,1994,1994-12-24,16,24.277,SDG,,PIT,W 37-34,
23,1995,1995-09-03,1,25.165,NWE,,CLE,W 17-14,0.5
24,1995,1995-09-10,2,25.172,NWE,,MIA,L 3-20,
25,1995,1995-09-17,3,25.179,NWE,@,SFO,L 3-28,
26,1995,1995-10-01,4,25.193,NWE,@,ATL,L 17-30,
27,1995,1995-10-08,5,25.200,NWE,,DEN,L 3-37,
28,1995,1995-10-15,6,25.207,NWE,@,KAN,L 26-31,
29,1995,1995-10-23,7,25.215,NWE,,BUF,W 27-14,
30,1995,1995-10-29,8,25.221,NWE,,CAR,L 17-20,
31,1995,1995-11-05,9,25.228,NWE,@,NYJ,W 20-7,1.0
32,1995,1995-11-12,10,25.235,NWE,@,MIA,W 34-17,
33,1995,1995-11-19,11,25.242,NWE,,IND,L 10-24,
34,1995,1995-11-26,12,25.249,NWE,@,BUF,W 35-25,
35,1995,1995-12-03,13,25.256,NWE,,NOR,L 17-31,
36,1995,1995-12-10,14,25.263,NWE,,NYJ,W 31-28,
37,1995,1995-12-16,15,25.269,NWE,@,PIT,L 27-41,
38,1995,1995-12-23,16,25.276,NWE,@,IND,L 7-10,
