ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1975,1975-10-12,4,27.219,NOR,,GNB,W 20-19,2,2,100.0,2,4,50.0,0,8
2,1975,1975-10-19,5,27.226,NOR,@,SFO,L 21-35,3,3,100.0,,,,0,3
3,1975,1975-10-26,6,27.233,NOR,@,RAM,L 14-38,2,2,100.0,,1,0.0,0,2
4,1975,1975-11-02,7,27.240,NOR,,ATL,W 23-7,2,2,100.0,3,4,75.0,0,11
5,1975,1975-11-09,8,27.247,NOR,@,OAK,L 10-48,1,1,100.0,1,1,100.0,0,4
6,1975,1975-11-16,9,27.254,NOR,,MIN,L 7-20,1,1,100.0,,,,0,1
7,1975,1975-11-23,10,27.261,NOR,,SFO,L 6-16,,,,2,3,66.7,0,6
8,1975,1975-11-30,11,27.268,NOR,@,CLE,L 16-17,1,1,100.0,1,1,100.0,0,4
9,1975,1975-12-07,12,27.275,NOR,,RAM,L 7-14,1,1,100.0,,,,0,1
10,1975,1975-12-14,13,27.282,NOR,@,NYG,L 14-28,2,2,100.0,,,,0,2
11,1975,1975-12-21,14,27.289,NOR,,CHI,L 17-42,2,2,100.0,1,2,50.0,0,5
12,1976,1976-09-12,1,28.189,NOR,,MIN,L 9-40,,1,0.0,1,1,100.0,0,3
13,1976,1976-09-19,2,28.196,NOR,,DAL,L 6-24,,1,0.0,,1,0.0,0,0
14,1976,1976-09-26,3,28.203,NOR,@,KAN,W 27-17,3,3,100.0,2,3,66.7,0,9
15,1976,1976-10-03,4,28.210,NOR,,HOU,L 26-31,2,2,100.0,4,4,100.0,0,14
16,1976,1976-10-10,5,28.217,NOR,,ATL,W 30-0,3,4,75.0,1,1,100.0,0,6
17,1976,1976-10-17,6,28.224,NOR,@,SFO,L 3-33,,,,1,1,100.0,0,3
18,1976,1976-10-24,7,28.231,NOR,,RAM,L 10-16,1,1,100.0,1,1,100.0,0,4
19,1976,1976-10-31,8,28.238,NOR,@,ATL,L 20-23,2,3,66.7,,,,0,2
20,1976,1976-11-07,9,28.245,NOR,@,GNB,L 27-32,3,3,100.0,2,2,100.0,0,9
21,1976,1976-11-14,10,28.252,NOR,,DET,W 17-16,2,2,100.0,1,2,50.0,0,5
22,1976,1976-11-21,11,28.259,NOR,@,SEA,W 51-27,6,6,100.0,3,3,100.0,0,15
23,1976,1976-11-28,12,28.266,NOR,@,RAM,L 14-33,2,2,100.0,,,,0,2
24,1976,1976-12-05,13,28.273,NOR,@,NWE,L 6-27,,,,2,3,66.7,0,6
25,1976,1976-12-12,14,28.280,NOR,,SFO,L 7-27,1,1,100.0,,1,0.0,0,1
26,1977,1977-09-18,1,29.195,NOR,,GNB,L 20-24,2,3,66.7,,,,0,2
27,1977,1977-09-25,2,29.202,NOR,@,DET,L 19-23,2,2,100.0,1,1,100.0,0,5
28,1977,1977-10-02,3,29.209,NOR,@,CHI,W 42-24,6,6,100.0,,1,0.0,0,6
29,1977,1977-10-16,5,29.223,NOR,@,RAM,L 7-14,1,1,100.0,,1,0.0,0,1
30,1977,1977-10-23,6,29.230,NOR,@,STL,L 31-49,4,4,100.0,1,2,50.0,0,7
31,1977,1977-10-30,7,29.237,NOR,,RAM,W 27-26,3,3,100.0,2,4,50.0,0,9
32,1977,1977-11-06,8,29.244,NOR,@,PHI,L 7-28,1,1,100.0,,,,0,1
33,1977,1977-11-13,9,29.251,NOR,,SFO,L 7-10,1,1,100.0,,1,0.0,0,1
34,1977,1977-11-20,10,29.258,NOR,,ATL,W 21-20,3,3,100.0,,,,0,3
35,1977,1977-11-27,11,29.265,NOR,@,SFO,L 17-20,2,2,100.0,1,1,100.0,0,5
36,1977,1977-12-04,12,29.272,NOR,,NYJ,L 13-16,1,2,50.0,,,,0,1
37,1977,1977-12-11,13,29.279,NOR,,TAM,L 14-33,2,2,100.0,,,,0,2
38,1977,1977-12-18,14,29.286,NOR,@,ATL,L 7-35,1,1,100.0,,1,0.0,0,1
39,1978,1978-09-03,1,30.180,NOR,,MIN,W 31-24,4,4,100.0,1,2,50.0,0,7
40,1978,1978-09-10,2,30.187,NOR,@,GNB,L 17-28,2,2,100.0,1,2,50.0,0,5
41,1978,1978-09-17,3,30.194,NOR,,PHI,L 17-24,2,2,100.0,1,1,100.0,0,5
42,1978,1978-10-08,6,30.215,NOR,,CLE,L 16-24,1,1,100.0,1,1,100.0,0,4
43,1979,1979-10-15,7,31.222,NYJ,,MIN,W 14-7,2,2,100.0,,2,0.0,0,2
