ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2003,2003-09-14,2,23.032,STL,,SFO,W 27-24,,,,,,,0.0%,,,
2,2003,2003-09-28,4,23.046,STL,,ARI,W 37-13,,,,,,,0.0%,,,
3,2003,2003-10-13,5,23.061,STL,,ATL,W 36-0,,,,,,,0.0%,,,
4,2003,2003-10-19,6,23.067,STL,,GNB,W 34-24,,,,,,,0.0%,,,
5,2003,2003-10-26,7,23.074,STL,@,PIT,W 33-21,,1,,,,,0.0%,,,
6,2005,2005-12-25,15,25.134,MIN,@,BAL,L 23-30,,1,1,11,11.00,0,100.0%,11.00,0,0
7,2005,2006-01-01,16,25.141,MIN,,CHI,W 34-10,,,0,0,,0,0.0%,,0,0
8,2007,2007-12-02,12,27.111,JAX,@,IND,L 25-28,,2,2,11,5.50,0,100.0%,5.50,0,0
9,2007,2007-12-09,13,27.118,JAX,,CAR,W 37-6,,1,1,8,8.00,0,100.0%,8.00,0,0
10,2007,2007-12-16,14,27.125,JAX,@,PIT,W 29-22,,,0,0,,0,0.0%,,0,0
11,2007,2007-12-23,15,27.132,JAX,,OAK,W 49-11,,2,2,29,14.50,1,100.0%,14.50,1,6
12,2007,2007-12-30,16,27.139,JAX,@,HOU,L 28-42,,4,3,33,11.00,0,75.0%,8.25,0,0
13,2008,2008-09-07,1,28.025,JAX,@,TEN,L 10-17,,,,,,,0.0%,,,
14,2008,2008-09-14,2,28.032,JAX,,BUF,L 16-20,,,,,,,0.0%,,,
15,2008,2008-09-21,3,28.039,JAX,@,IND,W 23-21,,,,,,,0.0%,,,
16,2008,2008-09-28,4,28.046,JAX,,HOU,W 30-27,,2,1,1,1.00,0,50.0%,0.50,0,0
17,2008,2008-10-05,5,28.053,JAX,,PIT,L 21-26,,,,,,,0.0%,,,
18,2008,2008-10-12,6,28.060,JAX,@,DEN,W 24-17,,0,,,,,0.0%,,,
19,2008,2008-10-26,7,28.074,JAX,,CLE,L 17-23,*,1,1,5,5.00,0,100.0%,5.00,0,0
20,2008,2008-11-02,8,28.081,JAX,@,CIN,L 19-21,,,,,,,0.0%,,,
21,2008,2008-11-09,9,28.088,JAX,@,DET,W 38-14,*,1,,,,,0.0%,,,
22,2008,2008-11-16,10,28.095,JAX,,TEN,L 14-24,*,1,1,14,14.00,0,100.0%,14.00,0,0
23,2008,2008-11-23,11,28.102,JAX,,MIN,L 12-30,,,,,,,0.0%,,,
24,2008,2008-12-07,13,28.116,JAX,@,CHI,L 10-23,*,,,,,,0.0%,,,
25,2008,2008-12-14,14,28.123,JAX,,GNB,W 20-16,*,3,2,15,7.50,0,66.7%,5.00,0,0
26,2008,2008-12-18,15,28.127,JAX,,IND,L 24-31,*,2,2,24,12.00,0,100.0%,12.00,0,0
27,2008,2008-12-28,16,28.137,JAX,@,BAL,L 7-27,,1,1,4,4.00,0,100.0%,4.00,0,0
