ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1989,1989-11-13,10,21.191,CIN,@,HOU,L 24-26,0,0,,0,0,0,,0,,,
2,1989,1989-11-19,11,21.197,CIN,,DET,W 42-7,0,0,,0,0,0,,0,1,5,0
3,1989,1989-11-26,12,21.204,CIN,@,BUF,L 7-24,0,0,,0,0,0,,0,,,
4,1989,1989-12-03,13,21.211,CIN,@,CLE,W 21-0,0,0,,0,0,0,,0,,,
5,1989,1989-12-10,14,21.218,CIN,,SEA,L 17-24,0,0,,0,0,0,,0,,,
6,1989,1989-12-17,15,21.225,CIN,,HOU,W 61-7,1,23,23.00,0,3,29,9.67,0,0,0,0
7,1989,1989-12-25,16,21.233,CIN,@,MIN,L 21-29,5,81,16.20,0,0,0,,0,0,0,0
8,1990,1990-11-18,10,22.196,BUF,,NWE,W 14-0,,,,,,,,,,,
9,1990,1990-11-26,11,22.204,BUF,@,HOU,L 24-27,,,,,,,,,,,
10,1990,1990-12-02,12,22.210,BUF,,PHI,W 30-23,,,,,,,,,,,
