ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1987,1987-10-04,3,27.261,DEN,,HOU,L 10-40,3,55,18.33,1,1,6
2,1987,1987-10-12,4,27.269,DEN,,RAI,W 30-14,2,20,10.00,1,1,6
3,1987,1987-10-18,5,27.275,DEN,@,KAN,W 26-17,1,19,19.00,0,0,0
4,1987,1987-10-26,6,27.283,DEN,@,MIN,L 27-34,1,19,19.00,0,0,0
5,1987,1987-11-01,7,27.289,DEN,,DET,W 34-0,0,0,,0,,
6,1987,1987-11-16,9,27.304,DEN,,CHI,W 31-29,0,0,,0,,
7,1987,1987-11-29,11,27.317,DEN,@,SDG,W 31-17,1,13,13.00,0,0,0
8,1987,1987-12-06,12,27.324,DEN,,NWE,W 31-20,2,36,18.00,1,1,6
9,1987,1987-12-13,13,27.331,DEN,@,SEA,L 21-28,3,82,27.33,1,1,6
10,1988,1988-09-11,2,28.239,DEN,,SDG,W 34-3,1,12,12.00,0,0,0
11,1988,1988-09-18,3,28.246,DEN,@,KAN,L 13-20,1,6,6.00,0,0,0
12,1988,1988-09-26,4,28.254,DEN,,RAI,L 27-30,1,21,21.00,0,0,0
13,1988,1988-10-02,5,28.260,DEN,@,SDG,W 12-0,0,0,,0,,
