ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,22.291,NOR,,SFO,L 13-17,,,,,,,
2,1974,1974-09-22,2,22.298,NOR,@,RAM,L 0-24,,,,,,,
3,1974,1974-09-29,3,22.305,NOR,,ATL,W 14-13,,,,,,,
4,1974,1974-10-06,4,22.312,NOR,@,CHI,L 10-24,,,,,,,
5,1974,1974-10-13,5,22.319,NOR,@,DEN,L 17-33,,,,,,,
6,1974,1974-10-20,6,22.326,NOR,@,ATL,W 13-3,,,,,,,
7,1974,1974-10-27,7,22.333,NOR,,PHI,W 14-10,,,,,,,
8,1974,1974-11-03,8,22.340,NOR,@,DET,L 14-19,,,,,,,
9,1974,1974-11-10,9,22.347,NOR,,MIA,L 0-21,,,,,,,
10,1974,1974-11-17,10,22.354,NOR,,RAM,W 20-7,,,,,,,
11,1974,1974-11-25,11,22.362,NOR,,PIT,L 7-28,,,,,,,
12,1974,1974-12-01,12,23.003,NOR,@,MIN,L 9-29,2,18,9.00,0,0,0,0
13,1974,1974-12-08,13,23.010,NOR,,STL,W 14-0,,,,,,,
14,1974,1974-12-15,14,23.017,NOR,@,SFO,L 21-35,,,,,,,
15,1975,1975-09-21,1,23.297,NOR,@,WAS,L 3-41,,,,,,,
16,1975,1975-09-28,2,23.304,NOR,,CIN,L 0-21,,,,,,,
17,1975,1975-10-05,3,23.311,NOR,@,ATL,L 7-14,,,,,,,
18,1975,1975-10-12,4,23.318,NOR,,GNB,W 20-19,,,,,,,
19,1975,1975-10-19,5,23.325,NOR,@,SFO,L 21-35,,,,,,,
20,1975,1975-10-26,6,23.332,NOR,@,RAM,L 14-38,,,,,,,
21,1975,1975-11-02,7,23.339,NOR,,ATL,W 23-7,,,,,,,
22,1975,1975-11-09,8,23.346,NOR,@,OAK,L 10-48,,,,,,,
23,1975,1975-11-16,9,23.353,NOR,,MIN,L 7-20,,,,,,,
24,1975,1975-11-23,10,23.360,NOR,,SFO,L 6-16,,,,,,,
25,1975,1975-11-30,11,24.002,NOR,@,CLE,L 16-17,,,,,,,
26,1975,1975-12-07,12,24.009,NOR,,RAM,L 7-14,0,0,,0,1,0,0
27,1975,1975-12-14,13,24.016,NOR,@,NYG,L 14-28,,,,,,,
28,1975,1975-12-21,14,24.023,NOR,,CHI,L 17-42,,,,,,,
29,1976,1976-09-12,1,24.289,SDG,@,KAN,W 30-16,,,,,,,
30,1976,1976-09-19,2,24.296,SDG,@,TAM,W 23-0,,,,,,,
31,1976,1976-09-26,3,24.303,SDG,,STL,W 43-24,,,,,,,
32,1976,1976-10-03,4,24.310,SDG,@,DEN,L 0-26,,,,,,,
33,1976,1976-10-10,5,24.317,SDG,,OAK,L 17-27,,,,,,,
34,1976,1976-10-17,6,24.324,SDG,,HOU,W 30-27,,,,,,,
35,1976,1976-10-24,7,24.331,SDG,@,CLE,L 17-21,1,21,21.00,0,0,0,0
36,1976,1976-10-31,8,24.338,SDG,@,PIT,L 0-23,,,,,,,
37,1976,1976-11-07,9,24.345,SDG,,BAL,L 21-37,,,,,,,
38,1976,1976-12-12,14,25.014,SDG,@,OAK,L 0-24,,,,,,,
39,1977,1977-09-18,1,25.294,SDG,@,OAK,L 0-24,,,,,,,
40,1977,1977-09-25,2,25.301,SDG,@,KAN,W 23-7,,,,,,,
41,1977,1977-10-02,3,25.308,SDG,,CIN,W 24-3,,,,,,,
42,1977,1977-10-09,4,25.315,SDG,@,NOR,W 14-0,,,,,,,
43,1977,1977-10-16,5,25.322,SDG,,NWE,L 20-24,,,,,,,
44,1977,1977-10-23,6,25.329,SDG,,KAN,L 16-21,,,,,,,
45,1977,1977-10-30,7,25.336,SDG,@,MIA,W 14-13,,,,,,,
46,1977,1977-11-06,8,25.343,SDG,@,DET,L 0-20,,,,,,,
47,1977,1977-11-13,9,25.350,SDG,,DEN,L 14-17,,,,,,,
48,1977,1977-11-20,10,25.357,SDG,,OAK,W 12-7,1,20,20.00,0,0,0,0
49,1977,1977-11-27,11,25.364,SDG,@,SEA,W 30-28,,,,,,,
50,1977,1977-12-04,12,26.006,SDG,,CLE,W 37-14,,,,,,,
51,1977,1977-12-11,13,26.013,SDG,@,DEN,L 9-17,,,,,,,
52,1977,1977-12-18,14,26.020,SDG,,PIT,L 9-10,,,,,,,
53,1978,1978-09-03,1,26.279,SDG,@,SEA,W 24-20,,,,,,,
54,1978,1978-09-10,2,26.286,SDG,,OAK,L 20-21,,,,,,,
55,1978,1978-09-17,3,26.293,SDG,@,DEN,L 14-27,,,,,,,
56,1978,1978-09-24,4,26.300,SDG,,GNB,L 3-24,,,,,,,
57,1978,1978-10-01,5,26.307,SDG,@,NWE,L 23-28,,,,,,,
58,1978,1978-10-08,6,26.314,SDG,,DEN,W 23-0,,,,,,,
59,1978,1978-10-15,7,26.321,SDG,,MIA,L 21-28,,,,,,,
60,1978,1978-10-22,8,26.328,SDG,@,DET,L 14-31,1,5,5.00,0,0,0,0
61,1978,1978-10-29,9,26.335,SDG,@,OAK,W 27-23,,,,,,,
62,1978,1978-11-05,10,26.342,SDG,,CIN,W 22-13,,,,,,,
63,1978,1978-11-26,13,26.363,SDG,@,KAN,L 0-23,,,,,,,
64,1978,1978-12-04,14,27.006,SDG,,CHI,W 40-7,0,0,,0,1,2,0
