ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1984,1984-09-03,1,22.361,CLE,@,SEA,L 0-33,0,0,,0,,
2,1984,1984-09-09,2,23.001,CLE,@,RAM,L 17-20,0,0,,0,,
3,1984,1984-09-16,3,23.008,CLE,,DEN,L 14-24,0,0,,0,,
4,1984,1984-09-23,4,23.015,CLE,,PIT,W 20-10,0,0,,0,,
5,1984,1984-09-30,5,23.022,CLE,@,KAN,L 6-10,0,0,,0,,
6,1984,1984-10-07,6,23.029,CLE,,NWE,L 16-17,0,0,,0,,
7,1984,1984-10-14,7,23.036,CLE,,NYJ,L 20-24,0,0,,0,,
8,1984,1984-10-21,8,23.043,CLE,@,CIN,L 9-12,1,19,19.00,0,0,0
9,1984,1984-10-28,9,23.050,CLE,,NOR,L 14-16,0,0,,0,,
10,1984,1984-11-04,10,23.057,CLE,@,BUF,W 13-10,0,0,,0,,
11,1984,1984-11-11,11,23.064,CLE,,SFO,L 7-41,0,0,,0,,
12,1984,1984-11-18,12,23.071,CLE,@,ATL,W 23-7,0,0,,0,,
13,1985,1985-09-08,1,24.000,CLE,,STL,L 24-27,,,,,,
14,1985,1985-09-16,2,24.008,CLE,,PIT,W 17-7,,,,,,
15,1985,1985-09-22,3,24.014,CLE,@,DAL,L 7-20,,,,,,
16,1985,1985-09-29,4,24.021,CLE,@,SDG,W 21-7,,,,,,
17,1985,1985-10-06,5,24.028,CLE,,NWE,W 24-20,,,,,,
18,1985,1985-10-13,6,24.035,CLE,@,HOU,W 21-6,,,,,,
19,1985,1985-10-20,7,24.042,CLE,,RAI,L 20-21,,,,,,
20,1985,1985-10-27,8,24.049,CLE,,WAS,L 7-14,,,,,,
21,1985,1985-11-03,9,24.056,CLE,@,PIT,L 9-10,,,,,,
22,1985,1985-11-10,10,24.063,CLE,@,CIN,L 10-27,,,,,,
23,1985,1985-11-17,11,24.070,CLE,,BUF,W 17-7,,,,,,
24,1985,1985-11-24,12,24.077,CLE,,CIN,W 24-6,,,,,,
25,1985,1985-12-01,13,24.084,CLE,@,NYG,W 35-33,,,,,,
26,1985,1985-12-08,14,24.091,CLE,@,SEA,L 13-31,,,,,,
27,1985,1985-12-15,15,24.098,CLE,,HOU,W 28-21,,,,,,
28,1985,1985-12-22,16,24.105,CLE,@,NYJ,L 10-37,,,,,,
29,1986,1986-09-07,1,24.364,CLE,@,CHI,L 31-41,,,,,,
30,1986,1986-09-14,2,25.006,CLE,@,HOU,W 23-20,,,,,,
31,1986,1986-09-18,3,25.010,CLE,,CIN,L 13-30,,,,,,
32,1986,1986-09-28,4,25.020,CLE,,DET,W 24-21,,,,,,
33,1986,1986-10-05,5,25.027,CLE,@,PIT,W 27-24,,,,,,
34,1986,1986-12-14,15,25.097,CLE,@,CIN,W 34-3,,,,,,
35,1986,1986-12-21,16,25.104,CLE,,SDG,W 47-17,,,,,,
36,1987,1987-09-13,1,26.005,CLE,@,NOR,L 21-28,,,,,,
37,1987,1987-09-20,2,26.012,CLE,,PIT,W 34-10,,,,,,
38,1987,1987-10-18,5,26.040,CLE,@,CIN,W 34-0,,,,,,
39,1987,1987-10-26,6,26.048,CLE,,RAM,W 30-17,,,,,,
40,1987,1987-11-01,7,26.054,CLE,@,SDG,L 24-27,,,,,,
41,1988,1988-09-04,1,26.362,CLE,@,KAN,W 6-3,0,0,,0,,
42,1988,1988-09-11,2,27.003,CLE,,NYJ,L 3-23,0,0,,0,,
43,1988,1988-09-19,3,27.011,CLE,,IND,W 23-17,0,0,,0,,
44,1988,1988-09-25,4,27.017,CLE,@,CIN,L 17-24,0,0,,0,,
45,1988,1988-10-02,5,27.024,CLE,@,PIT,W 23-9,0,0,,0,,
46,1988,1988-10-09,6,27.031,CLE,,SEA,L 10-16,0,0,,0,,
47,1988,1988-10-16,7,27.038,CLE,,PHI,W 19-3,0,0,,0,,
48,1988,1988-10-23,8,27.045,CLE,@,PHO,W 29-21,1,3,3.00,1,1,6
49,1988,1988-10-30,9,27.052,CLE,,CIN,W 23-16,0,0,,0,,
50,1988,1988-11-07,10,27.060,CLE,@,HOU,L 17-24,0,0,,0,,
51,1988,1988-11-13,11,27.066,CLE,@,DEN,L 7-30,0,0,,0,,
52,1988,1988-11-20,12,27.073,CLE,,PIT,W 27-7,0,0,,0,,
53,1988,1988-11-27,13,27.080,CLE,@,WAS,W 17-13,0,0,,0,,
54,1988,1988-12-04,14,27.087,CLE,,DAL,W 24-21,0,0,,0,,
55,1988,1988-12-12,15,27.095,CLE,@,MIA,L 31-38,0,0,,0,,
56,1988,1988-12-18,16,27.101,CLE,,HOU,W 28-23,0,0,,0,,
57,1989,1989-09-10,1,28.002,CLE,@,PIT,W 51-0,,,,,,
58,1989,1989-09-17,2,28.009,CLE,,NYJ,W 38-24,,,,,,
59,1989,1989-09-25,3,28.017,CLE,@,CIN,L 14-21,,,,,,
60,1989,1989-12-10,14,28.093,CLE,@,IND,L 17-23,,,,,,
61,1989,1989-12-17,15,28.100,CLE,,MIN,W 23-17,,,,,,
62,1989,1989-12-23,16,28.106,CLE,@,HOU,W 24-20,,,,,,
