ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2015,2015-09-13,1,23.123,STL,,SEA,W 34-31,*
2,2015,2015-09-20,2,23.130,STL,@,WAS,L 10-24,*
3,2015,2015-09-27,3,23.137,STL,,PIT,L 6-12,*
4,2015,2015-10-04,4,23.144,STL,@,ARI,W 24-22,*
5,2015,2015-10-11,5,23.151,STL,@,GNB,L 10-24,*
6,2015,2015-10-25,6,23.165,STL,,CLE,W 24-6,*
7,2015,2015-11-01,7,23.172,STL,,SFO,W 27-6,*
8,2015,2015-11-15,9,23.186,STL,,CHI,L 13-37,*
9,2015,2015-12-06,12,23.207,STL,,ARI,L 3-27,*
10,2015,2015-12-13,13,23.214,STL,,DET,W 21-14,*
11,2015,2015-12-17,14,23.218,STL,,TAM,W 31-23,*
12,2015,2015-12-27,15,23.228,STL,@,SEA,W 23-17,*
13,2015,2016-01-03,16,23.235,STL,@,SFO,L 16-19,*
14,2016,2016-09-12,1,24.122,LAR,@,SFO,L 0-28,*
15,2016,2016-09-18,2,24.128,LAR,,SEA,W 9-3,*
16,2016,2016-09-25,3,24.135,LAR,@,TAM,W 37-32,*
17,2016,2016-10-02,4,24.142,LAR,@,ARI,W 17-13,*
18,2016,2016-10-09,5,24.149,LAR,,BUF,L 19-30,*
19,2016,2016-10-16,6,24.156,LAR,@,DET,L 28-31,*
20,2016,2016-10-23,7,24.163,LAR,,NYG,L 10-17,*
21,2016,2016-11-06,8,24.177,LAR,,CAR,L 10-13,*
22,2016,2016-11-13,9,24.184,LAR,@,NYJ,W 9-6,*
23,2016,2016-11-20,10,24.191,LAR,,MIA,L 10-14,*
24,2016,2016-11-27,11,24.198,LAR,@,NOR,L 21-49,*
25,2016,2016-12-04,12,24.205,LAR,@,NWE,L 10-26,*
26,2016,2016-12-11,13,24.212,LAR,,ATL,L 14-42,*
27,2016,2016-12-15,14,24.216,LAR,@,SEA,L 3-24,*
28,2016,2016-12-24,15,24.225,LAR,,SFO,L 21-22,*
29,2017,2017-09-10,1,25.120,LAR,,IND,W 46-9,*
30,2017,2017-09-17,2,25.127,LAR,,WAS,L 20-27,*
31,2017,2017-09-21,3,25.131,LAR,@,SFO,W 41-39,*
32,2017,2017-10-01,4,25.141,LAR,@,DAL,W 35-30,*
33,2017,2017-10-08,5,25.148,LAR,,SEA,L 10-16,*
34,2017,2017-10-15,6,25.155,LAR,@,JAX,W 27-17,*
35,2017,2017-10-22,7,25.162,LAR,,ARI,W 33-0,*
36,2017,2017-11-05,8,25.176,LAR,@,NYG,W 51-17,*
37,2017,2017-11-12,9,25.183,LAR,,HOU,W 33-7,*
38,2017,2017-11-19,10,25.190,LAR,@,MIN,L 7-24,*
39,2017,2017-11-26,11,25.197,LAR,,NOR,W 26-20,*
40,2017,2017-12-03,12,25.204,LAR,@,ARI,W 32-16,*
41,2017,2017-12-10,13,25.211,LAR,,PHI,L 35-43,*
42,2017,2017-12-17,14,25.218,LAR,@,SEA,W 42-7,*
43,2017,2017-12-24,15,25.225,LAR,@,TEN,W 27-23,*
44,2018,2018-09-10,1,26.120,LAR,@,OAK,W 33-13,*
45,2018,2018-09-16,2,26.126,LAR,,ARI,W 34-0,*
46,2018,2018-09-23,3,26.133,LAR,,LAC,W 35-23,*
47,2018,2018-09-27,4,26.137,LAR,,MIN,W 38-31,*
