ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-09-06,1,22.075,GNB,,MIN,L 20-23,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,23,23.00,0,3,29,9.67,0,0,0
2,1992,1992-09-13,2,22.082,GNB,@,TAM,L 3-31,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,2,42,21.00,0,1,5,5.00,0,0,0
3,1992,1992-09-20,3,22.089,GNB,,CIN,W 24-23,,1,0,0,,0,0.0%,0.00,0,0,,0,5,97,19.40,0,0,0,,0,0,0
4,1992,1992-09-27,4,22.096,GNB,,PIT,W 17-3,,1,1,8,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,1,6
5,1992,1992-10-04,5,22.103,GNB,@,ATL,L 10-24,,1,0,0,,0,0.0%,0.00,0,0,,0,3,53,17.67,0,0,0,,0,0,0
6,1992,1992-10-18,6,22.117,GNB,@,CLE,L 6-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,3,58,19.33,0,0,0,,0,0,0
7,1992,1992-10-25,7,22.124,GNB,,CHI,L 10-30,,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,0
8,1992,1992-11-01,8,22.131,GNB,@,DET,W 27-13,,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,0
9,1992,1992-11-08,9,22.138,GNB,@,NYG,L 7-27,,1,0,0,,0,0.0%,0.00,1,6,6.00,0,0,0,,0,0,0,,0,0,0
10,1992,1992-11-15,10,22.145,GNB,,PHI,W 27-24,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0
11,1992,1992-11-22,11,22.152,GNB,@,CHI,W 17-3,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,0
12,1992,1992-11-29,12,22.159,GNB,,TAM,W 19-14,,,0,0,,0,0.0%,,1,8,8.00,0,1,15,15.00,0,0,0,,0,0,0
13,1992,1992-12-06,13,22.166,GNB,,DET,W 38-10,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,1,22,22.00,0,0,0
14,1992,1992-12-13,14,22.173,GNB,@,HOU,W 16-14,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,1,17,17.00,0,1,2,2.00,0,0,0
15,1992,1992-12-20,15,22.180,GNB,,RAM,W 28-13,,,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,3,18,6.00,0,0,0
16,1992,1992-12-27,16,22.187,GNB,@,MIN,L 7-27,,,0,0,,0,0.0%,,0,0,,0,1,15,15.00,0,2,26,13.00,0,0,0
17,1993,1993-09-05,1,23.074,GNB,,RAM,W 36-6,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,
18,1993,1993-09-12,2,23.081,GNB,,PHI,L 17-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,
19,1993,1993-09-26,3,23.095,GNB,@,MIN,L 13-15,,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,0,,0,0,0
20,1993,1993-10-03,4,23.102,GNB,@,DAL,L 14-36,,3,1,25,25.00,0,33.3%,8.33,0,0,,0,4,155,38.75,1,0,0,,0,1,6
21,1993,1993-10-10,5,23.109,GNB,,DEN,W 30-27,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,2,89,44.50,0,1,8,8.00,0,0,0
22,1993,1993-10-24,6,23.123,GNB,@,TAM,W 37-14,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,2,29,14.50,0,0,0,,0,0,0
23,1993,1993-10-31,7,23.130,GNB,,CHI,W 17-3,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,1,14,14.00,0,0,0,,0,0,0
24,1993,1993-11-08,8,23.138,GNB,@,KAN,L 16-23,,,0,0,,0,0.0%,,0,0,,0,4,100,25.00,0,3,24,8.00,0,0,0
25,1993,1993-11-14,9,23.144,GNB,@,NOR,W 19-17,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,2,61,30.50,0,2,48,24.00,0,0,0
26,1993,1993-11-21,10,23.151,GNB,,DET,W 26-17,,5,2,24,12.00,0,40.0%,4.80,1,21,21.00,0,2,31,15.50,0,2,16,8.00,0,0,0
27,1993,1993-11-28,11,23.158,GNB,,TAM,W 13-10,,4,3,17,5.67,0,75.0%,4.25,0,0,,0,2,36,18.00,0,6,39,6.50,0,0,0
28,1993,1993-12-05,12,23.165,GNB,@,CHI,L 17-30,,5,4,56,14.00,0,80.0%,11.20,1,-6,-6.00,0,4,96,24.00,0,2,0,0.00,0,0,0
29,1993,1993-12-26,15,23.186,GNB,,RAI,W 28-0,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,
30,1993,1994-01-02,16,23.193,GNB,@,DET,L 20-30,,2,1,7,7.00,0,50.0%,3.50,1,2,2.00,0,0,0,,0,0,0,,0,0,0
31,1994,1994-09-04,1,24.073,GNB,,MIN,W 16-10,,6,4,35,8.75,0,66.7%,5.83,0,0,,0,0,0,,0,4,20,5.00,0,0,0
32,1994,1994-09-11,2,24.080,GNB,,MIA,L 14-24,,9,2,31,15.50,0,22.2%,3.44,0,0,,0,0,0,,0,3,12,4.00,0,0,0
33,1994,1994-09-18,3,24.087,GNB,@,PHI,L 7-13,,4,4,22,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,5,50,10.00,0,0,0
34,1994,1994-09-25,4,24.094,GNB,,TAM,W 30-3,,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,2,8,4.00,0,0,0
35,1994,1994-10-02,5,24.101,GNB,@,NWE,L 16-17,,7,3,35,11.67,0,42.9%,5.00,0,0,,0,0,0,,0,7,34,4.86,0,0,0
36,1994,1994-10-09,6,24.108,GNB,,RAM,W 24-17,,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,4,122,30.50,1,1,6
37,1994,1994-10-20,7,24.119,GNB,@,MIN,L 10-13,,7,4,25,6.25,0,57.1%,3.57,1,0,0.00,0,0,0,,0,4,17,4.25,0,0,0
38,1994,1994-10-31,8,24.130,GNB,@,CHI,W 33-6,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0
39,1994,1994-11-06,9,24.136,GNB,,DET,W 38-30,,5,3,45,15.00,2,60.0%,9.00,0,0,,0,1,17,17.00,0,1,8,8.00,0,2,12
40,1994,1994-11-13,10,24.143,GNB,,NYJ,W 17-10,,3,3,32,10.67,1,100.0%,10.67,0,0,,0,0,0,,0,3,20,6.67,0,1,6
41,1994,1994-11-20,11,24.150,GNB,@,BUF,L 20-29,,10,5,40,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,2,11,5.50,0,0,0
42,1994,1994-11-24,12,24.154,GNB,@,DAL,L 31-42,,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,2,20,10.00,0,0,0
43,1994,1994-12-04,13,24.164,GNB,@,DET,L 31-34,,4,4,79,19.75,0,100.0%,19.75,0,0,,0,2,113,56.50,1,0,0,,0,1,6
44,1994,1994-12-11,14,24.171,GNB,,CHI,W 40-3,,6,6,105,17.50,1,100.0%,17.50,0,0,,0,2,41,20.50,0,2,27,13.50,0,1,6
45,1994,1994-12-18,15,24.178,GNB,,ATL,W 21-17,,10,8,74,9.25,0,80.0%,7.40,0,0,,0,1,20,20.00,0,1,3,3.00,0,0,0
46,1994,1994-12-24,16,24.184,GNB,@,TAM,W 34-19,,5,2,18,9.00,0,40.0%,3.60,0,0,,0,3,69,23.00,0,0,0,,0,0,0
47,1995,1995-09-03,1,25.072,GNB,,STL,L 14-17,,15,8,70,8.75,0,53.3%,4.67,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0
48,1995,1995-09-11,2,25.080,GNB,@,CHI,W 27-24,,12,8,161,20.13,2,66.7%,13.42,0,0,,0,1,28,28.00,0,0,0,,0,2,12
49,1995,1995-09-17,3,25.086,GNB,,NYG,W 14-6,,9,5,47,9.40,1,55.6%,5.22,0,0,,0,0,0,,0,0,0,,0,1,6
50,1995,1995-09-24,4,25.093,GNB,@,JAX,W 24-14,,6,4,30,7.50,1,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,1,6
51,1995,1995-10-08,5,25.107,GNB,@,DAL,L 24-34,,16,10,124,12.40,0,62.5%,7.75,0,0,,0,0,0,,0,0,0,,0,0,0
52,1995,1995-10-15,6,25.114,GNB,,DET,W 30-21,,5,4,66,16.50,1,80.0%,13.20,1,21,21.00,0,0,0,,0,0,0,,0,1,6
53,1995,1995-10-22,7,25.121,GNB,,MIN,W 38-21,,12,2,41,20.50,0,16.7%,3.42,0,0,,0,0,0,,0,0,0,,0,0,0
54,1995,1995-10-29,8,25.128,GNB,@,DET,L 16-24,,11,6,127,21.17,1,54.5%,11.55,1,5,5.00,0,0,0,,0,0,0,,0,1,6
55,1995,1995-11-05,9,25.135,GNB,@,MIN,L 24-27,,15,9,120,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0
56,1995,1995-11-12,10,25.142,GNB,,CHI,W 35-28,,10,6,138,23.00,2,60.0%,13.80,1,0,0.00,0,0,0,,0,0,0,,0,2,12
57,1995,1995-11-19,11,25.149,GNB,@,CLE,W 31-20,,7,5,48,9.60,0,71.4%,6.86,0,0,,0,0,0,,0,0,0,,0,0,0
58,1995,1995-11-26,12,25.156,GNB,,TAM,W 35-13,,7,6,114,19.00,2,85.7%,16.29,0,0,,0,0,0,,0,0,0,,0,2,12
59,1995,1995-12-03,13,25.163,GNB,,CIN,W 24-10,,8,4,34,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,0,0
60,1995,1995-12-10,14,25.170,GNB,@,TAM,L 10-13,,12,9,122,13.56,0,75.0%,10.17,0,0,,0,0,0,,0,0,0,,0,0,0
61,1995,1995-12-16,15,25.176,GNB,@,NOR,W 34-23,,8,5,118,23.60,2,62.5%,14.75,0,0,,0,0,0,,0,0,0,,0,2,12
62,1995,1995-12-24,16,25.184,GNB,,PIT,W 24-19,,14,11,137,12.45,1,78.6%,9.79,0,0,,0,0,0,,0,0,0,,0,1,6
63,1996,1996-09-01,1,26.070,GNB,@,TAM,W 34-3,,4,3,25,8.33,0,75.0%,6.25,1,2,2.00,0,0,0,,0,0,0,,0,0,0
64,1996,1996-09-09,2,26.078,GNB,,PHI,W 39-13,,9,5,130,26.00,2,55.6%,14.44,0,0,,0,0,0,,0,0,0,,0,2,12
65,1996,1996-09-15,3,26.084,GNB,,SDG,W 42-10,,10,8,108,13.50,0,80.0%,10.80,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0
66,1996,1996-09-22,4,26.091,GNB,@,MIN,L 21-30,,9,1,13,13.00,1,11.1%,1.44,0,0,,0,0,0,,0,0,0,,0,1,6
67,1996,1996-09-29,5,26.098,GNB,@,SEA,W 31-10,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,0,
68,1996,1996-10-06,6,26.105,GNB,@,CHI,W 37-6,,8,6,68,11.33,1,75.0%,8.50,1,1,1.00,0,0,0,,0,0,0,,0,1,6
69,1996,1996-10-14,7,26.113,GNB,,SFO,W 23-20,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,0,
70,1997,1997-09-01,1,27.070,GNB,,CHI,W 38-24,,5,3,71,23.67,1,60.0%,14.20,0,0,,0,0,0,,0,0,0,,0,1,6
71,1997,1997-09-07,2,27.076,GNB,@,PHI,L 9-10,,11,6,90,15.00,0,54.5%,8.18,0,0,,0,0,0,,0,0,0,,0,0,0
72,1997,1997-09-14,3,27.083,GNB,,MIA,W 23-18,,8,4,72,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0
73,1997,1997-09-21,4,27.090,GNB,,MIN,W 38-32,,9,5,92,18.40,1,55.6%,10.22,0,0,,0,0,0,,0,0,0,,0,1,6
74,1997,1997-09-28,5,27.097,GNB,@,DET,L 15-26,,14,9,164,18.22,0,64.3%,11.71,0,0,,0,0,0,,0,0,0,,0,0,0
75,1997,1997-10-05,6,27.104,GNB,,TAM,W 21-16,,6,4,29,7.25,0,66.7%,4.83,0,0,,0,0,0,,0,0,0,,0,0,0
76,1997,1997-10-12,7,27.111,GNB,@,CHI,W 24-23,,8,2,24,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,0
77,1997,1997-10-27,8,27.126,GNB,@,NWE,W 28-10,,10,6,67,11.17,1,60.0%,6.70,0,0,,0,0,0,,0,0,0,,0,1,6
78,1997,1997-11-02,9,27.132,GNB,,DET,W 20-10,,6,5,77,15.40,1,83.3%,12.83,0,0,,0,0,0,,0,0,0,,0,1,6
79,1997,1997-11-09,10,27.139,GNB,,STL,W 17-7,,7,4,48,12.00,0,57.1%,6.86,0,0,,0,0,0,,0,0,0,,0,0,0
80,1997,1997-11-23,12,27.153,GNB,,DAL,W 45-17,,2,1,36,36.00,0,50.0%,18.00,0,0,,0,0,0,,0,0,0,,0,0,0
81,1997,1997-12-01,13,27.161,GNB,@,MIN,W 27-11,,10,2,43,21.50,1,20.0%,4.30,0,0,,0,0,0,,0,0,0,,0,1,6
82,1997,1997-12-07,14,27.167,GNB,@,TAM,W 17-6,,6,3,71,23.67,1,50.0%,11.83,1,4,4.00,0,0,0,,0,0,0,,0,1,6
83,1997,1997-12-14,15,27.174,GNB,@,CAR,W 31-10,,9,2,43,21.50,1,22.2%,4.78,1,15,15.00,0,0,0,,0,0,0,,0,1,6
84,1997,1997-12-20,16,27.180,GNB,,BUF,W 31-21,,7,4,83,20.75,0,57.1%,11.86,0,0,,0,0,0,,0,0,0,,0,0,0
85,1998,1998-09-06,1,28.075,GNB,,DET,W 38-19,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,0
86,1998,1998-09-13,2,28.082,GNB,,TAM,W 23-15,,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,0,0
87,1998,1998-09-20,3,28.089,GNB,@,CIN,W 13-6,,7,5,67,13.40,1,71.4%,9.57,0,0,,0,0,0,,0,0,0,,0,1,6
88,1998,1998-09-27,4,28.096,GNB,@,CAR,W 37-30,,7,3,48,16.00,0,42.9%,6.86,0,0,,0,0,0,,0,0,0,,0,0,0
89,1998,1998-10-05,5,28.104,GNB,,MIN,L 24-37,,5,2,29,14.50,0,40.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,0
90,1998,1998-10-15,6,28.114,GNB,@,DET,L 20-27,,6,1,14,14.00,0,16.7%,2.33,0,0,,0,0,0,,0,0,0,,0,0,0
91,1998,1998-10-25,7,28.124,GNB,,BAL,W 28-10,,11,3,54,18.00,1,27.3%,4.91,1,2,2.00,0,0,0,,0,0,0,,0,1,6
92,1998,1998-11-01,8,28.131,GNB,,SFO,W 36-22,,4,3,48,16.00,1,75.0%,12.00,0,0,,0,0,0,,0,0,0,,0,1,6
93,1998,1998-11-09,9,28.139,GNB,@,PIT,L 20-27,,8,3,39,13.00,0,37.5%,4.88,0,0,,0,0,0,,0,0,0,,0,0,0
94,1998,1998-11-15,10,28.145,GNB,@,NYG,W 37-3,,6,6,60,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0
95,1998,1998-11-22,11,28.152,GNB,@,MIN,L 14-28,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,0
96,1998,1998-12-07,13,28.167,GNB,@,TAM,L 22-24,,1,,,,,0.0%,,,,,,,,,,,,,,,
97,2000,2000-09-04,1,30.073,DEN,@,STL,L 36-41,,,,,,,0.0%,,,,,,,,,,,,,,,
98,2000,2000-09-10,2,30.079,DEN,,ATL,W 42-14,,3,2,46,23.00,0,66.7%,15.33,0,0,,0,0,0,,0,0,0,,0,0,0
99,2000,2000-09-17,3,30.086,DEN,@,OAK,W 33-24,,,,,,,0.0%,,,,,,,,,,,,,,,
100,2000,2000-11-05,9,30.135,DEN,@,NYJ,W 30-23,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0
