ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-10-03,4,23.319,RAI,@,KAN,L 9-24,,4,4,75,18.75,1,100.0%,18.75,0,0,,0,0,0,,0,0,0,,0,1,6
2,1993,1993-10-10,5,23.326,RAI,,NYJ,W 24-20,,3,3,35,11.67,0,100.0%,11.67,0,0,,0,3,69,23.00,0,0,0,,0,0,0
3,1993,1993-10-18,6,23.334,RAI,@,DEN,W 23-20,,3,3,24,8.00,0,100.0%,8.00,0,0,,0,1,17,17.00,0,0,0,,0,0,0
4,1993,1993-10-31,7,23.347,RAI,,SDG,L 23-30,,4,3,39,13.00,0,75.0%,9.75,1,0,0.00,0,3,83,27.67,0,0,0,,0,0,0
5,1993,1993-11-07,8,23.354,RAI,@,CHI,W 16-14,,1,0,0,,0,0.0%,0.00,0,0,,0,2,39,19.50,0,0,0,,0,0,0
6,1993,1993-11-14,9,23.361,RAI,,KAN,L 20-31,,3,1,18,18.00,0,33.3%,6.00,0,0,,0,3,83,27.67,0,0,0,,0,0,0
7,1993,1993-11-21,10,24.003,RAI,@,SDG,W 12-7,,2,1,12,12.00,0,50.0%,6.00,1,10,10.00,0,0,0,,0,0,0,,0,0,0
8,1993,1993-11-28,11,24.010,RAI,@,CIN,L 10-16,,7,2,17,8.50,0,28.6%,2.43,0,0,,0,3,110,36.67,0,0,0,,0,0,0
9,1993,1993-12-05,12,24.017,RAI,@,BUF,W 25-24,,2,0,0,,0,0.0%,0.00,1,-13,-13.00,0,3,86,28.67,0,0,0,,0,0,0
10,1993,1993-12-12,13,24.024,RAI,,SEA,W 27-23,,7,4,71,17.75,0,57.1%,10.14,1,-2,-2.00,0,3,29,9.67,0,0,0,,0,0,0
11,1993,1993-12-19,14,24.031,RAI,,TAM,W 27-20,,4,3,49,16.33,0,75.0%,12.25,0,0,,0,1,0,0.00,0,0,0,,0,0,0
12,1993,1993-12-26,15,24.038,RAI,@,GNB,L 0-28,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,2,67,33.50,0,0,0,,0,0,0
13,1993,1994-01-02,16,24.045,RAI,,DEN,W 33-30,,,0,0,,0,0.0%,,0,0,,0,1,22,22.00,0,0,0,,0,0,0
14,1994,1994-09-05,1,24.291,RAI,@,SFO,L 14-44,,8,4,70,17.50,0,50.0%,8.75,0,0,,0,3,84,28.00,0,0,0,,0,0,0
15,1994,1994-09-11,2,24.297,RAI,,SEA,L 9-38,,10,6,77,12.83,0,60.0%,7.70,1,2,2.00,0,4,83,20.75,0,0,0,,0,0,0
16,1994,1994-09-18,3,24.304,RAI,@,DEN,W 48-16,,4,1,6,6.00,0,25.0%,1.50,0,0,,0,1,24,24.00,0,0,0,,0,0,0
17,1994,1994-09-25,4,24.311,RAI,,SDG,L 24-26,,2,2,43,21.50,1,100.0%,21.50,1,11,11.00,0,3,59,19.67,0,0,0,,0,1,6
18,1994,1994-10-09,5,24.325,RAI,@,NWE,W 21-17,,6,1,38,38.00,0,16.7%,6.33,0,0,,0,2,36,18.00,0,0,0,,0,0,0
19,1994,1994-10-16,6,24.332,RAI,@,MIA,L 17-20,,1,0,0,,0,0.0%,0.00,0,0,,0,2,38,19.00,0,0,0,,0,0,0
20,1994,1994-10-23,7,24.339,RAI,,ATL,W 30-17,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,3,81,27.00,0,0,0,,0,0,0
21,1994,1994-10-30,8,24.346,RAI,,HOU,W 17-14,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,2,54,27.00,0,0,0,,0,0,0
22,1994,1994-11-06,9,24.353,RAI,@,KAN,L 3-13,,2,0,0,,0,0.0%,0.00,0,0,,0,4,97,24.25,0,0,0,,0,0,0
23,1994,1994-11-13,10,24.360,RAI,@,RAM,W 20-17,,2,2,17,8.50,1,100.0%,8.50,0,0,,0,2,40,20.00,0,0,0,,0,1,6
24,1994,1994-11-20,11,25.002,RAI,,NOR,W 24-19,,6,4,68,17.00,1,66.7%,11.33,0,0,,0,2,41,20.50,0,0,0,,0,1,6
25,1994,1994-11-27,12,25.009,RAI,,PIT,L 3-21,,3,0,0,,0,0.0%,0.00,0,0,,0,4,75,18.75,0,0,0,,0,0,0
26,1994,1994-12-05,13,25.017,RAI,@,SDG,W 24-17,,4,4,31,7.75,2,100.0%,7.75,1,13,13.00,0,3,46,15.33,0,0,0,,0,2,12
27,1994,1994-12-11,14,25.023,RAI,,DEN,W 23-13,,4,2,65,32.50,0,50.0%,16.25,0,0,,0,1,23,23.00,0,0,0,,0,0,0
28,1994,1994-12-18,15,25.030,RAI,@,SEA,W 17-16,,6,4,65,16.25,0,66.7%,10.83,0,0,,0,4,82,20.50,0,0,0,,0,0,0
29,1994,1994-12-24,16,25.036,RAI,,KAN,L 9-19,,3,2,19,9.50,0,66.7%,6.33,1,5,5.00,0,3,60,20.00,0,0,0,,0,0,0
30,1995,1995-09-03,1,25.289,OAK,,SDG,W 17-7,,4,1,4,4.00,0,25.0%,1.00,0,0,,0,1,17,17.00,0,0,0,,0,0,0
31,1995,1995-09-10,2,25.296,OAK,@,WAS,W 20-8,,7,5,71,14.20,0,71.4%,10.14,1,8,8.00,0,1,15,15.00,0,0,0,,0,0,0
32,1995,1995-09-17,3,25.303,OAK,@,KAN,L 17-23,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,1,20,20.00,0,0,0,,0,0,0
33,1995,1995-09-24,4,25.310,OAK,,PHI,W 48-17,,2,1,5,5.00,0,50.0%,2.50,1,2,2.00,0,3,75,25.00,0,0,0,,0,0,0
