ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1967,1967-09-24,2,24.029,DAL,,NYG,W 38-24,1,0,0.00,0
2,1970,1970-09-20,1,27.025,DAL,@,PHI,W 17-7,,,,
3,1970,1970-09-27,2,27.032,DAL,,NYG,W 28-10,,,,
4,1970,1970-10-04,3,27.039,DAL,@,STL,L 7-20,,,,
5,1970,1970-10-11,4,27.046,DAL,,ATL,W 13-0,,,,
6,1970,1970-10-18,5,27.053,DAL,@,MIN,L 13-54,,,,
7,1970,1970-10-25,6,27.060,DAL,@,KAN,W 27-16,,,,
8,1970,1970-11-01,7,27.067,DAL,,PHI,W 21-17,,,,
9,1970,1970-11-08,8,27.074,DAL,@,NYG,L 20-23,,,,
10,1970,1970-11-16,9,27.082,DAL,,STL,L 0-38,,,,
11,1970,1970-11-22,10,27.088,DAL,@,WAS,W 45-21,,,,
12,1970,1970-11-26,11,27.092,DAL,,GNB,W 16-3,,,,
13,1970,1970-12-06,12,27.102,DAL,,WAS,W 34-0,,,,
14,1970,1970-12-12,13,27.108,DAL,@,CLE,W 6-2,,,,
15,1970,1970-12-20,14,27.116,DAL,,HOU,W 52-10,,,,
16,1971,1971-09-19,1,28.024,SDG,,KAN,W 21-14,,,,
17,1971,1971-09-26,2,28.031,SDG,,OAK,L 0-34,,,,
18,1971,1971-10-03,3,28.038,SDG,@,PIT,L 17-21,,,,
19,1971,1971-10-10,4,28.045,SDG,@,KAN,L 10-31,,,,
20,1971,1971-10-17,5,28.052,SDG,@,DEN,L 16-20,,,,
21,1971,1971-10-23,6,28.058,SDG,,BUF,W 20-3,,,,
22,1971,1971-10-31,7,28.066,SDG,,NYJ,W 49-21,,,,
23,1971,1971-11-07,8,28.073,SDG,@,NYG,L 17-35,,,,
24,1971,1971-11-15,9,28.081,SDG,,STL,W 20-17,,,,
25,1971,1971-11-21,10,28.087,SDG,@,OAK,L 33-34,,,,
26,1971,1971-11-28,11,28.094,SDG,@,CIN,L 0-31,,,,
27,1971,1971-12-05,12,28.101,SDG,,MIN,W 30-14,,,,
28,1971,1971-12-12,13,28.108,SDG,,DEN,W 45-17,,,,
