ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1985,1985-09-08,1,22.013,TAM,@,CHI,L 28-38,
2,1985,1985-09-15,2,22.020,TAM,,MIN,L 16-31,
3,1985,1985-09-22,3,22.027,TAM,@,NOR,L 13-20,
4,1985,1985-09-29,4,22.034,TAM,@,DET,L 9-30,
5,1985,1985-10-06,5,22.041,TAM,,CHI,L 19-27,
6,1985,1985-10-13,6,22.048,TAM,,RAM,L 27-31,2.0
7,1985,1985-10-20,7,22.055,TAM,@,MIA,L 38-41,
8,1985,1985-10-27,8,22.062,TAM,,NWE,L 14-32,
9,1985,1985-11-03,9,22.069,TAM,@,NYG,L 20-22,
10,1985,1985-11-10,10,22.076,TAM,,STL,W 16-0,
11,1985,1985-11-17,11,22.083,TAM,@,NYJ,L 28-62,1.0
12,1985,1985-11-24,12,22.090,TAM,,DET,W 19-16,
13,1985,1985-12-01,13,22.097,TAM,@,GNB,L 0-21,0.5
14,1985,1985-12-08,14,22.104,TAM,@,MIN,L 7-26,
15,1985,1985-12-15,15,22.111,TAM,,IND,L 23-31,
16,1985,1985-12-22,16,22.118,TAM,,GNB,L 17-20,1.0
17,1986,1986-09-07,1,23.012,TAM,,SFO,L 7-31,0.5
18,1986,1986-09-14,2,23.019,TAM,,MIN,L 10-23,1.0
19,1986,1986-09-21,3,23.026,TAM,@,DET,W 24-20,
20,1986,1986-09-28,4,23.033,TAM,,ATL,L 20-23,
21,1986,1986-10-19,7,23.054,TAM,@,NOR,L 7-38,
22,1986,1986-10-26,8,23.061,TAM,@,KAN,L 20-27,
23,1986,1986-11-02,9,23.068,TAM,,BUF,W 34-28,
24,1986,1986-11-09,10,23.075,TAM,,CHI,L 3-23,
25,1986,1986-11-16,11,23.082,TAM,@,GNB,L 7-31,
26,1986,1986-11-23,12,23.089,TAM,,DET,L 17-38,
27,1986,1986-11-30,13,23.096,TAM,@,MIN,L 13-45,
28,1986,1986-12-07,14,23.103,TAM,@,CHI,L 14-48,
29,1986,1986-12-14,15,23.110,TAM,,GNB,L 7-21,1.0
30,1986,1986-12-21,16,23.117,TAM,@,STL,L 17-21,
31,1987,1987-09-13,1,24.018,TAM,,ATL,W 48-10,1.5
32,1987,1987-09-20,2,24.025,TAM,@,CHI,L 3-20,
33,1987,1987-10-25,6,24.060,TAM,,CHI,L 26-27,2.5
34,1987,1987-11-01,7,24.067,TAM,@,GNB,W 23-17,
35,1987,1987-11-08,8,24.074,TAM,@,STL,L 28-31,1.0
36,1987,1987-11-15,9,24.081,TAM,@,MIN,L 17-23,
37,1987,1987-11-22,10,24.088,TAM,,SFO,L 10-24,
38,1987,1987-12-13,13,24.109,TAM,,DET,L 10-20,
39,1987,1987-12-20,14,24.116,TAM,,STL,L 14-31,3.0
40,1987,1987-12-27,15,24.123,TAM,@,IND,L 6-24,
41,1988,1988-09-04,1,25.009,TAM,,PHI,L 14-41,
42,1988,1988-09-11,2,25.016,TAM,@,GNB,W 13-10,
43,1988,1988-09-18,3,25.023,TAM,,PHO,L 24-30,1.0
44,1988,1988-09-25,4,25.030,TAM,@,NOR,L 9-13,
45,1988,1988-10-02,5,25.037,TAM,,GNB,W 27-24,1.0
46,1988,1988-10-09,6,25.044,TAM,@,MIN,L 13-14,
47,1988,1988-10-16,7,25.051,TAM,@,IND,L 31-35,
48,1988,1988-10-23,8,25.058,TAM,,MIN,L 20-49,2.0
49,1988,1988-11-06,10,25.072,TAM,@,CHI,L 10-28,
50,1988,1988-11-13,11,25.079,TAM,@,DET,W 23-20,
51,1989,1989-09-18,2,26.023,DEN,@,BUF,W 28-14,
52,1989,1989-09-24,3,26.029,DEN,,RAI,W 31-21,
53,1989,1989-10-01,4,26.036,DEN,@,CLE,L 13-16,
54,1989,1989-10-08,5,26.043,DEN,,SDG,W 16-10,
55,1989,1989-10-15,6,26.050,DEN,,IND,W 14-3,
56,1989,1989-10-22,7,26.057,DEN,@,SEA,W 24-21,1.0
57,1989,1989-10-29,8,26.064,DEN,,PHI,L 24-28,2.0
58,1989,1989-11-05,9,26.071,DEN,,PIT,W 34-7,1.0
59,1989,1989-11-12,10,26.078,DEN,@,KAN,W 16-13,
60,1989,1989-11-20,11,26.086,DEN,@,WAS,W 14-10,
61,1989,1989-11-26,12,26.092,DEN,,SEA,W 41-14,2.0
62,1989,1989-12-03,13,26.099,DEN,@,RAI,L 13-16,1.0
63,1989,1989-12-10,14,26.106,DEN,,NYG,L 7-14,1.0
64,1989,1989-12-16,15,26.112,DEN,@,PHO,W 37-0,1.0
65,1989,1989-12-24,16,26.120,DEN,@,SDG,L 16-19,
66,1990,1990-09-09,1,27.014,DEN,@,RAI,L 9-14,1.0
67,1990,1990-09-17,2,27.022,DEN,,KAN,W 24-23,
68,1990,1990-09-23,3,27.028,DEN,,SEA,W 34-31,
69,1990,1990-10-14,6,27.049,DEN,,PIT,L 17-34,
70,1990,1990-10-21,7,27.056,DEN,@,IND,W 27-17,
71,1990,1990-11-04,8,27.070,DEN,@,MIN,L 22-27,
72,1990,1990-11-11,9,27.077,DEN,@,SDG,L 7-19,
73,1990,1990-11-18,10,27.084,DEN,,CHI,L 13-16,
74,1990,1990-11-22,11,27.088,DEN,@,DET,L 27-40,
75,1990,1990-12-02,12,27.098,DEN,,RAI,L 20-23,
76,1990,1990-12-09,13,27.105,DEN,@,KAN,L 20-31,
77,1990,1990-12-16,14,27.112,DEN,,SDG,W 20-10,
78,1990,1990-12-23,15,27.119,DEN,@,SEA,L 12-17,1.0
79,1990,1990-12-30,16,27.126,DEN,,GNB,W 22-13,1.0
80,1991,1991-09-01,1,28.006,DEN,,CIN,W 45-14,
81,1991,1991-09-08,2,28.013,DEN,@,RAI,L 13-16,2.0
82,1991,1991-09-15,3,28.020,DEN,,SEA,W 16-10,0.5
83,1991,1991-09-22,4,28.027,DEN,,SDG,W 27-19,
84,1991,1991-09-29,5,28.034,DEN,@,MIN,W 13-6,0.5
85,1991,1991-10-06,6,28.041,DEN,@,HOU,L 14-42,
86,1991,1991-10-20,7,28.055,DEN,,KAN,W 19-16,
87,1991,1991-11-03,9,28.069,DEN,,PIT,W 20-13,1.0
88,1991,1991-11-10,10,28.076,DEN,,RAI,L 16-17,1.0
89,1991,1991-11-17,11,28.083,DEN,@,KAN,W 24-20,
90,1991,1991-11-24,12,28.090,DEN,@,SEA,L 10-13,
91,1991,1991-12-01,13,28.097,DEN,,NWE,W 20-3,
92,1991,1991-12-08,14,28.104,DEN,@,CLE,W 17-7,
93,1991,1991-12-15,15,28.111,DEN,,PHO,W 24-19,
94,1991,1991-12-22,16,28.118,DEN,@,SDG,W 17-14,
95,1992,1992-09-06,1,29.011,DEN,,RAI,W 17-13,
96,1992,1992-09-13,2,29.018,DEN,,SDG,W 21-13,0.5
97,1992,1992-09-20,3,29.025,DEN,@,PHI,L 0-30,
98,1992,1992-09-27,4,29.032,DEN,@,CLE,W 12-0,
99,1992,1992-10-04,5,29.039,DEN,,KAN,W 20-19,
100,1992,1992-10-12,6,29.047,DEN,@,WAS,L 3-34,
101,1992,1992-10-18,7,29.053,DEN,,HOU,W 27-21,
102,1992,1992-10-25,8,29.060,DEN,@,SDG,L 21-24,
