ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1977,1977-09-18,1,23.060,ATL,,RAM,W 17-6
2,1977,1977-09-25,2,23.067,ATL,@,WAS,L 6-10
3,1977,1977-10-02,3,23.074,ATL,,NYG,W 17-3
4,1977,1977-10-09,4,23.081,ATL,@,SFO,W 7-0
5,1977,1977-10-16,5,23.088,ATL,@,BUF,L 0-3
6,1977,1977-10-23,6,23.095,ATL,@,CHI,W 16-10
7,1977,1977-10-30,7,23.102,ATL,,MIN,L 7-14
8,1977,1977-11-06,8,23.109,ATL,,SFO,L 3-10
9,1977,1977-11-13,9,23.116,ATL,,DET,W 17-6
10,1977,1977-11-20,10,23.123,ATL,@,NOR,L 20-21
11,1977,1977-11-27,11,23.130,ATL,@,TAM,W 17-0
12,1977,1977-12-04,12,23.137,ATL,,NWE,L 10-16
13,1977,1977-12-11,13,23.144,ATL,@,RAM,L 7-23
14,1977,1977-12-18,14,23.151,ATL,,NOR,W 35-7
15,1978,1978-09-10,2,24.052,ATL,@,RAM,L 0-10
16,1978,1978-09-17,3,24.059,ATL,,CLE,L 16-24
17,1978,1978-09-24,4,24.066,ATL,@,TAM,L 9-14
18,1978,1978-10-01,5,24.073,ATL,,NYG,W 23-20
19,1978,1978-10-08,6,24.080,ATL,@,PIT,L 7-31
20,1978,1978-10-15,7,24.087,ATL,,DET,W 14-0
21,1978,1978-10-22,8,24.094,ATL,@,SFO,W 20-17
22,1978,1978-10-30,9,24.102,ATL,,RAM,W 15-7
23,1978,1978-11-05,10,24.108,ATL,,SFO,W 21-10
24,1978,1978-11-12,11,24.115,ATL,@,NOR,W 20-17
25,1978,1978-11-19,12,24.122,ATL,@,CHI,L 7-13
26,1978,1978-11-26,13,24.129,ATL,,NOR,W 20-17
27,1978,1978-12-03,14,24.136,ATL,@,CIN,L 7-37
28,1978,1978-12-10,15,24.143,ATL,,WAS,W 20-17
29,1978,1978-12-17,16,24.150,ATL,@,STL,L 21-42
30,1979,1979-09-02,1,25.044,ATL,@,NOR,W 40-34
31,1979,1979-09-10,2,25.052,ATL,@,PHI,W 14-10
32,1979,1979-09-16,3,25.058,ATL,,DEN,L 17-20
33,1979,1979-09-23,4,25.065,ATL,@,DET,L 23-24
34,1979,1979-09-30,5,25.072,ATL,,WAS,L 7-16
35,1979,1979-10-07,6,25.079,ATL,,GNB,W 25-7
36,1979,1979-10-14,7,25.086,ATL,@,OAK,L 19-50
37,1979,1979-10-21,8,25.093,ATL,@,SFO,L 15-20
38,1979,1979-10-29,9,25.101,ATL,,SEA,L 28-31
39,1979,1979-11-04,10,25.107,ATL,,TAM,W 17-14
40,1979,1979-11-11,11,25.114,ATL,@,NYG,L 3-24
41,1979,1979-11-19,12,25.122,ATL,@,RAM,L 14-20
42,1979,1979-11-25,13,25.128,ATL,,NOR,L 6-37
43,1979,1979-12-02,14,25.135,ATL,@,SDG,W 28-26
44,1979,1979-12-09,15,25.142,ATL,,RAM,L 13-34
45,1979,1979-12-16,16,25.149,ATL,,SFO,W 31-21
