ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1986,1986-09-07,1,23.127,STL,,RAM,L 10-16
2,1986,1986-09-14,2,23.134,STL,@,ATL,L 13-33
3,1986,1986-09-21,3,23.141,STL,@,BUF,L 10-17
4,1986,1986-09-29,4,23.149,STL,,DAL,L 7-31
5,1986,1986-10-05,5,23.155,STL,,NYG,L 6-13
6,1986,1986-10-19,7,23.169,STL,@,WAS,L 21-28
7,1986,1986-10-26,8,23.176,STL,@,DAL,L 6-37
8,1986,1986-11-02,9,23.183,STL,,PHI,W 13-10
9,1986,1986-11-09,10,23.190,STL,@,SFO,L 17-43
10,1986,1986-11-16,11,23.197,STL,,NOR,L 7-16
11,1986,1986-11-23,12,23.204,STL,,KAN,W 23-14
12,1986,1986-11-30,13,23.211,STL,,WAS,L 17-20
13,1986,1986-12-07,14,23.218,STL,@,PHI,T 10-10
14,1986,1986-12-14,15,23.225,STL,@,NYG,L 7-27
15,1986,1986-12-21,16,23.232,STL,,TAM,W 21-17
16,1987,1987-10-04,3,24.154,GNB,@,MIN,W 23-16
17,1987,1987-10-11,4,24.161,GNB,,DET,L 16-19
