ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1975,1975-09-21,1,21.257,NYG,@,PHI,W 23-14,,,,,,,,,,
2,1975,1975-09-28,2,21.264,NYG,@,WAS,L 13-49,,,,,,,,,,
3,1975,1975-10-05,3,21.271,NYG,@,STL,L 14-26,,,,,,,,,,
4,1975,1975-10-12,4,21.278,NYG,,DAL,L 7-13,0,0,,0,1,10,10.00,0,0,0
5,1975,1975-10-20,5,21.286,NYG,@,BUF,W 17-14,,,,,,,,,,
6,1975,1975-10-25,6,21.291,NYG,,STL,L 13-20,1,32,32.00,0,3,35,11.67,0,0,0
7,1975,1975-11-01,7,21.298,NYG,,SDG,W 35-24,4,89,22.25,0,2,26,13.00,0,0,0
8,1975,1975-11-09,8,21.306,NYG,,WAS,L 13-21,2,75,37.50,0,3,11,3.67,0,0,0
9,1975,1975-11-16,9,21.313,NYG,,PHI,L 10-13,2,56,28.00,0,1,15,15.00,0,0,0
10,1975,1975-11-23,10,21.320,NYG,@,GNB,L 14-40,4,79,19.75,0,2,1,0.50,0,0,0
11,1975,1975-11-30,11,21.327,NYG,@,DAL,L 3-14,,,,,,,,,,
12,1975,1975-12-07,12,21.334,NYG,,BAL,L 0-21,1,15,15.00,0,6,20,3.33,0,0,0
13,1975,1975-12-14,13,21.341,NYG,,NOR,W 28-14,1,19,19.00,0,7,103,14.71,1,1,6
14,1975,1975-12-21,14,21.348,NYG,@,SFO,W 26-23,2,43,21.50,0,2,17,8.50,0,0,0
15,1976,1976-09-12,1,22.249,NYG,@,WAS,L 17-19,0,0,,0,2,5,2.50,0,0,0
16,1976,1976-09-19,2,22.256,NYG,@,PHI,L 7-20,,,,,,,,,,
17,1976,1976-09-26,3,22.263,NYG,@,RAM,L 10-24,,,,,,,,,,
18,1976,1976-10-03,4,22.270,NYG,@,STL,L 21-27,,,,,,,,,,
19,1976,1976-10-10,5,22.277,NYG,,DAL,L 14-24,,,,,,,,,,
20,1976,1976-10-17,6,22.284,NYG,@,MIN,L 7-24,0,0,,0,2,22,11.00,0,0,0
21,1976,1976-10-24,7,22.291,NYG,,PIT,L 0-27,,,,,,,,,,
22,1976,1976-10-31,8,22.298,NYG,,PHI,L 0-10,,,,,,,,,,
23,1976,1976-11-07,9,22.305,NYG,@,DAL,L 3-9,0,0,,0,1,6,6.00,0,0,0
24,1976,1976-11-14,10,22.312,NYG,,WAS,W 12-9,2,42,21.00,0,2,23,11.50,0,0,0
25,1976,1976-11-21,11,22.319,NYG,@,DEN,L 13-14,0,0,,0,5,16,3.20,0,0,0
26,1976,1976-11-28,12,22.326,NYG,,SEA,W 28-16,0,0,,0,1,0,0.00,0,0,0
27,1976,1976-12-05,13,22.333,NYG,,DET,W 24-10,,,,,,,,,,
28,1976,1976-12-12,14,22.340,NYG,,STL,L 14-17,,,,,,,,,,
29,1977,1977-11-24,11,23.321,STL,,MIA,L 14-55,,,,,,,,,,
30,1977,1977-12-04,12,23.331,STL,@,NYG,L 7-27,,,,,,,,,,
31,1977,1977-12-10,13,23.337,STL,,WAS,L 20-26,,,,,,,,,,
32,1977,1977-12-18,14,23.345,STL,@,TAM,L 7-17,,,,,,,,,,
