ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1962,1962-09-16,1,22.226,CHI,@,SFO,W 30-14,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,0,0
2,1962,1962-09-23,2,22.233,CHI,@,RAM,W 27-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,93,31.00,0,0,0
3,1962,1962-09-30,3,22.240,CHI,@,GNB,L 0-49,8,31,3.88,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0
4,1962,1962-10-07,4,22.247,CHI,@,MIN,W 13-0,11,56,5.09,1,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
5,1962,1962-10-14,5,22.254,CHI,,SFO,L 27-34,4,31,7.75,0,3,58,19.33,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0
6,1962,1962-10-21,6,22.261,CHI,,BAL,W 35-15,4,12,3.00,0,1,49,49.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
7,1962,1962-10-28,7,22.268,CHI,@,DET,L 3-11,13,49,3.77,0,1,-9,-9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
8,1962,1962-11-04,8,22.275,CHI,,GNB,L 7-38,8,10,1.25,0,2,9,4.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
9,1962,1962-11-11,9,22.282,CHI,,MIN,W 31-30,10,23,2.30,0,5,11,2.20,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0
10,1962,1962-11-18,10,22.289,CHI,@,DAL,W 34-33,11,39,3.55,0,6,90,15.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
11,1962,1962-11-25,11,22.296,CHI,@,BAL,W 57-0,8,36,4.50,0,5,84,16.80,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
12,1962,1962-12-02,12,22.303,CHI,,NYG,L 24-26,7,18,2.57,0,2,18,9.00,0,0,0,,0,0,0,,0,0,,,1,34,34.00,0,0,0
13,1962,1962-12-09,13,22.310,CHI,,RAM,W 30-14,18,72,4.00,0,3,8,2.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
