ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1979,1979-09-02,1,22.252,MIA,@,BUF,W 9-7,,,,,,,,,
2,1979,1979-09-09,2,22.259,MIA,,SEA,W 19-10,,,,,,,,,
3,1979,1979-09-16,3,22.266,MIA,@,MIN,W 27-12,,,,,,,,,
4,1979,1979-09-23,4,22.273,MIA,,CHI,W 31-16,,,,,,,,,
5,1979,1979-09-30,5,22.280,MIA,@,NYJ,L 27-33,,,,,,,,,
6,1979,1979-10-08,6,22.288,MIA,@,OAK,L 3-13,,,,,,,,,
7,1979,1979-10-14,7,22.294,MIA,,BUF,W 17-7,,,,,,,,,
8,1979,1979-10-21,8,22.301,MIA,@,NWE,L 13-28,,,,,,,,,
9,1979,1979-10-28,9,22.308,MIA,,GNB,W 27-7,,,,,,,,,
10,1979,1979-11-05,10,22.316,MIA,,HOU,L 6-9,,,,,,,,,
11,1979,1979-11-11,11,22.322,MIA,,BAL,W 19-0,,,,,,,,,
12,1979,1979-11-18,12,22.329,MIA,@,CLE,L 24-30,,,,,,,,,
13,1979,1979-11-25,13,22.336,MIA,@,BAL,W 28-24,,,,,,,,,
14,1979,1979-11-29,14,22.340,MIA,,NWE,W 39-24,,,,,,,,,
15,1979,1979-12-09,15,22.350,MIA,@,DET,W 28-10,,2,14,7.00,0,,,0,0
16,1979,1979-12-15,16,22.356,MIA,,NYJ,L 24-27,,,,,,,,,
17,1980,1980-09-07,1,23.258,MIA,@,BUF,L 7-17,,,,,,,,,
18,1980,1980-09-14,2,23.265,MIA,,CIN,W 17-16,,,,,,,,,
19,1980,1980-09-21,3,23.272,MIA,@,ATL,W 20-17,,1,4,4.00,1,,,1,6
20,1980,1980-09-28,4,23.279,MIA,,NOR,W 21-16,,1,5,5.00,1,,,1,6
21,1980,1980-10-05,5,23.286,MIA,,BAL,L 17-30,,,,,,,,,
22,1980,1980-10-12,6,23.293,MIA,@,NWE,L 0-34,,,,,,,,,
23,1980,1980-10-19,7,23.300,MIA,,BUF,W 17-14,,,,,,,,,
24,1980,1980-10-27,8,23.308,MIA,@,NYJ,L 14-17,,,,,,,,,
25,1980,1980-11-02,9,23.314,MIA,@,OAK,L 10-16,,,,,,,,,
26,1980,1980-11-09,10,23.321,MIA,@,RAM,W 35-14,,1,11,11.00,0,,,0,0
27,1980,1980-11-16,11,23.328,MIA,,SFO,W 17-13,,,,,,,,,
28,1980,1980-11-20,12,23.332,MIA,,SDG,L 24-27,,,,,,,,,
29,1980,1980-11-30,13,23.342,MIA,@,PIT,L 10-23,,,,,,,,,
30,1980,1980-12-08,14,23.350,MIA,,NWE,W 16-13,,2,11,5.50,0,,,0,0
31,1980,1980-12-14,15,23.356,MIA,@,BAL,W 24-14,,,,,,,,,
32,1980,1980-12-20,16,23.362,MIA,,NYJ,L 17-24,,2,52,26.00,0,,,0,0
33,1981,1981-09-06,1,24.256,MIA,@,STL,W 20-7,,1,5,5.00,0,,,0,0
34,1981,1981-09-10,2,24.260,MIA,,PIT,W 30-10,,0,0,,0,,,,
35,1981,1981-09-20,3,24.270,MIA,@,HOU,W 16-10,,1,3,3.00,0,,,0,0
36,1981,1981-09-27,4,24.277,MIA,@,BAL,W 31-28,,0,0,,0,,,,
37,1981,1981-10-04,5,24.284,MIA,,NYJ,T 28-28,,0,0,,0,,,,
38,1981,1981-10-12,6,24.292,MIA,@,BUF,L 21-31,,2,20,10.00,0,,,0,0
39,1981,1981-10-18,7,24.298,MIA,,WAS,W 13-10,,1,4,4.00,0,,,0,0
40,1981,1981-10-25,8,24.305,MIA,@,DAL,L 27-28,,0,0,,0,,,,
41,1981,1981-11-01,9,24.312,MIA,,BAL,W 27-10,,1,7,7.00,1,,,1,6
42,1981,1981-11-08,10,24.319,MIA,@,NWE,W 30-27,,3,7,2.33,0,,,0,0
43,1981,1981-11-15,11,24.326,MIA,,OAK,L 17-33,,1,7,7.00,0,,,0,0
44,1981,1981-11-22,12,24.333,MIA,@,NYJ,L 15-16,,2,-3,-1.50,0,,,0,0
45,1981,1981-11-30,13,24.341,MIA,,PHI,W 13-10,,2,14,7.00,0,,,0,0
46,1981,1981-12-06,14,24.347,MIA,,NWE,W 24-14,,0,0,,0,,,,
47,1981,1981-12-13,15,24.354,MIA,@,KAN,W 17-7,,0,0,,0,,,,
48,1981,1981-12-19,16,24.360,MIA,,BUF,W 16-6,,0,0,,0,,,,
49,1982,1982-09-12,1,25.262,MIA,@,NYJ,W 45-28,,1,1,1.00,0,,,0,0
50,1982,1982-09-19,2,25.269,MIA,,BAL,W 24-20,,0,0,,0,,,,
51,1982,1982-11-21,3,25.332,MIA,@,BUF,W 9-7,,1,5,5.00,0,,,0,0
52,1982,1982-11-29,4,25.340,MIA,@,TAM,L 17-23,,0,0,,0,,,,
53,1982,1982-12-05,5,25.346,MIA,,MIN,W 22-14,,0,0,,0,,,,
54,1982,1982-12-12,6,25.353,MIA,@,NWE,L 0-3,,0,0,,0,,,,
55,1982,1982-12-18,7,25.359,MIA,,NYJ,W 20-19,,0,0,,0,,,,
56,1982,1982-12-27,8,26.003,MIA,,BUF,W 27-10,,0,0,,0,,,,
57,1982,1983-01-02,9,26.009,MIA,@,BAL,W 34-7,,0,0,,0,,,,
58,1983,1983-09-18,3,26.268,ATL,@,DET,W 30-14,,,,,,,,,
59,1983,1983-09-25,4,26.275,ATL,@,SFO,L 20-24,,,,,,,,,
60,1983,1983-10-02,5,26.282,ATL,,PHI,L 24-28,,,,,,,,,
61,1983,1983-10-09,6,26.289,ATL,,NOR,L 17-19,,,,,,,,,
62,1983,1983-10-16,7,26.296,ATL,@,RAM,L 21-27,,,,,,,,,
63,1983,1983-10-23,8,26.303,ATL,@,NYJ,W 27-21,,,,,,,,,
64,1983,1983-10-30,9,26.310,ATL,,NWE,W 24-13,,,,,,,,,
65,1983,1983-11-06,10,26.317,ATL,@,NOR,L 10-27,,,,,,,,,
66,1983,1983-11-14,11,26.325,ATL,,RAM,L 13-36,,,,,,,,,
67,1983,1983-11-20,12,26.331,ATL,,SFO,W 28-24,,,,,,,,,
68,1983,1983-11-27,13,26.338,ATL,,GNB,W 47-41,,,,,,,,,
69,1983,1983-12-04,14,26.345,ATL,@,WAS,L 21-37,,,,,,,,,
70,1983,1983-12-10,15,26.351,ATL,@,MIA,L 24-31,,,,,,,,,
71,1983,1983-12-18,16,26.359,ATL,,BUF,W 31-14,,,,,,,,,
72,1984,1984-09-02,1,27.253,MIA,@,WAS,W 35-17,,,,,,,,,
73,1984,1984-09-09,2,27.260,MIA,,NWE,W 28-7,,,,,,,,,
74,1984,1984-09-17,3,27.268,MIA,@,BUF,W 21-17,,,,,,,,,
75,1984,1984-09-23,4,27.274,MIA,,IND,W 44-7,,,,,,,,,
76,1984,1984-09-30,5,27.281,MIA,@,STL,W 36-28,,,,,,,,,
77,1984,1984-10-07,6,27.288,MIA,@,PIT,W 31-7,,,,,,,,,
78,1984,1984-10-14,7,27.295,MIA,,HOU,W 28-10,,,,,,,,,
79,1984,1984-10-21,8,27.302,MIA,@,NWE,W 44-24,,,,,,,,,
80,1984,1984-10-28,9,27.309,MIA,,BUF,W 38-7,,,,,,,,,
81,1984,1984-11-04,10,27.316,MIA,@,NYJ,W 31-17,,,,,,,,,
82,1984,1984-11-11,11,27.323,MIA,,PHI,W 24-23,,,,,,,,,
83,1984,1984-11-18,12,27.330,MIA,@,SDG,L 28-34,,,,,,,,,
84,1984,1984-11-26,13,27.338,MIA,,NYJ,W 28-17,,,,,,,,,
85,1984,1984-12-02,14,27.344,MIA,,RAI,L 34-45,,,,,,,,,
86,1984,1984-12-09,15,27.351,MIA,@,IND,W 35-17,,,,,,,,,
87,1984,1984-12-17,16,27.359,MIA,,DAL,W 28-21,,,,,,,,,
88,1985,1985-09-08,1,28.258,MIA,@,HOU,L 23-26,,,,,,,,,
89,1985,1985-09-15,2,28.265,MIA,,IND,W 30-13,,,,,,,,,
90,1985,1985-09-22,3,28.272,MIA,,KAN,W 31-0,,,,,,,,,
91,1985,1985-09-29,4,28.279,MIA,@,DEN,W 30-26,,,,,,,,,
92,1985,1985-10-06,5,28.286,MIA,,PIT,W 24-20,,,,,,,,,
93,1985,1985-10-14,6,28.294,MIA,@,NYJ,L 7-23,,,,,,,,,
94,1985,1985-10-20,7,28.300,MIA,,TAM,W 41-38,,,,,,,,,
95,1985,1985-10-27,8,28.307,MIA,@,DET,L 21-31,,,,,,,,,
96,1985,1985-11-03,9,28.314,MIA,@,NWE,L 13-17,,,,,,,,,
97,1985,1985-11-17,11,28.328,MIA,@,IND,W 34-20,,,,,,,,,
98,1985,1985-11-24,12,28.335,MIA,@,BUF,W 23-14,,,,,,,,,
99,1985,1985-12-02,13,28.343,MIA,,CHI,W 38-24,,,,,,,,,
100,1985,1985-12-08,14,28.349,MIA,@,GNB,W 34-24,,,,,,,,,
101,1985,1985-12-16,15,28.357,MIA,,NWE,W 30-27,,,,,,,,,
102,1985,1985-12-22,16,28.363,MIA,,BUF,W 28-0,,,,,,,,,
103,1986,1986-09-07,1,29.257,MIA,@,SDG,L 28-50,,,,,,,,,
104,1986,1986-09-14,2,29.264,MIA,,IND,W 30-10,,,,,,,,,
105,1986,1986-09-21,3,29.271,MIA,@,NYJ,L 45-51,,,,,,,,,
106,1986,1986-09-28,4,29.278,MIA,,SFO,L 16-31,,,,,,,,,
107,1986,1986-10-05,5,29.285,MIA,@,NWE,L 7-34,,,,,,,,,
108,1986,1986-10-12,6,29.292,MIA,,BUF,W 27-14,,,,,,,,,
109,1986,1986-11-24,12,29.335,MIA,,NYJ,W 45-3,,,,,,,,,
110,1986,1986-12-07,14,29.348,MIA,@,NOR,W 31-27,,,,,,,,,
111,1986,1986-12-14,15,29.355,MIA,@,RAM,W 37-31,,,,,,,,,
112,1986,1986-12-22,16,29.363,MIA,,NWE,L 27-34,,,,,,,,,
113,1987,1987-09-13,1,30.263,MIA,@,NWE,L 21-28,,,,,,,,,
114,1987,1987-10-25,6,30.305,MIA,,BUF,L 31-34,,,,,,,,,
115,1987,1987-11-01,7,30.312,MIA,,PIT,W 35-24,,,,,,,,,
116,1987,1987-11-08,8,30.319,MIA,@,CIN,W 20-14,,,,,,,,,
117,1987,1987-11-15,9,30.326,MIA,,IND,L 21-40,,,,,,,,,
118,1987,1987-11-22,10,30.333,MIA,@,DAL,W 20-14,,,,,,,,,
119,1987,1987-11-29,11,30.340,MIA,@,BUF,L 0-27,,,,,,,,,
120,1987,1987-12-07,12,30.348,MIA,,NYJ,W 37-28,,,,,,,,,
121,1987,1987-12-13,13,30.354,MIA,@,PHI,W 28-10,,,,,,,,,
122,1988,1988-09-04,1,31.255,MIA,@,CHI,L 7-34,,,,,,,,,
123,1988,1988-09-11,2,31.262,MIA,@,BUF,L 6-9,,,,,,,,,
124,1988,1988-09-18,3,31.269,MIA,,GNB,W 24-17,,,,,,,,,
125,1988,1988-09-25,4,31.276,MIA,@,IND,L 13-15,,,,,,,,,
126,1988,1988-10-02,5,31.283,MIA,,MIN,W 24-7,,,,,,,,,
127,1988,1988-10-09,6,31.290,MIA,@,RAI,W 24-14,,,,,,,,,
128,1988,1988-10-16,7,31.297,MIA,,SDG,W 31-28,,,,,,,,,
129,1988,1988-10-23,8,31.304,MIA,,NYJ,L 30-44,,,,,,,,,
130,1988,1988-10-30,9,31.311,MIA,@,TAM,W 17-14,,,,,,,,,
131,1988,1988-11-06,10,31.318,MIA,@,NWE,L 10-21,,,,,,,,,
132,1988,1988-11-14,11,31.326,MIA,,BUF,L 6-31,,,,,,,,,
133,1988,1988-11-20,12,31.332,MIA,,NWE,L 3-6,,,,,,,,,
134,1988,1988-11-27,13,31.339,MIA,@,NYJ,L 34-38,,,,,,,,,
135,1988,1988-12-04,14,31.346,MIA,,IND,L 28-31,,,,,,,,,
136,1988,1988-12-12,15,31.354,MIA,,CLE,W 38-31,,,,,,,,,
137,1988,1988-12-18,16,31.360,MIA,@,PIT,L 24-40,,,,,,,,,
138,1989,1989-09-10,1,32.260,MIA,,BUF,L 24-27,,,,,,,,,
139,1989,1989-09-17,2,32.267,MIA,@,NWE,W 24-10,,,,,,,,,
140,1989,1989-09-24,3,32.274,MIA,,NYJ,L 33-40,,,,,,,,,
141,1989,1989-10-01,4,32.281,MIA,@,HOU,L 7-39,,,,,,,,,
142,1989,1989-10-08,5,32.288,MIA,,CLE,W 13-10,,,,,,,,,
