ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1978,1978-10-09,6,24.201,CIN,@,MIA,L 0-21,,,,,,,,,,,,,,,,
2,1978,1978-10-15,7,24.207,CIN,,NWE,L 3-10,,,,,,,,,,,,,,,,
3,1978,1978-10-22,8,24.214,CIN,@,BUF,L 0-5,,,,,,,,,,,,,,,,
4,1978,1978-10-29,9,24.221,CIN,,HOU,W 28-13,,,,,,,,,,,,,,,,
5,1978,1978-11-05,10,24.228,CIN,@,SDG,L 13-22,,,,,,,,,,,,,,,,
6,1978,1978-11-13,11,24.236,CIN,,OAK,L 21-34,,,,,,,,,,,,,,,,
7,1978,1978-11-19,12,24.242,CIN,@,PIT,L 6-7,,,,,,,,,,,,,,,,
8,1978,1978-11-26,13,24.249,CIN,@,HOU,L 10-17,,,,,,,,,,,,,,,,
9,1978,1978-12-03,14,24.256,CIN,,ATL,W 37-7,,,,,,,,,,,,,,,,
10,1978,1978-12-11,15,24.264,CIN,@,RAM,W 20-19,,,,,,,,,,,,,,,,
11,1978,1978-12-17,16,24.270,CIN,,CLE,W 48-16,,,,,,,,,,,,,,,,
12,1979,1979-09-02,1,25.164,CIN,@,DEN,L 0-10,2,29,14.50,0,,,,,,,0,0,0.0,0,0,0
13,1979,1979-09-09,2,25.171,CIN,@,BUF,L 24-51,,,,,,,,,,,,,,,,
14,1979,1979-09-16,3,25.178,CIN,,NWE,L 14-20,,,,,,,,,,,,,,,,
15,1979,1979-09-23,4,25.185,CIN,,HOU,L 27-30,,,,,,,,,,,,,,,,
16,1979,1979-09-30,5,25.192,CIN,@,DAL,L 13-38,,,,,,,,,,,,,,,,
17,1979,1979-10-07,6,25.199,CIN,,KAN,L 7-10,,,,,,,,,,,,,,,,
18,1979,1979-10-14,7,25.206,CIN,,PIT,W 34-10,,,,,,,,,,,,,,,,
19,1979,1979-10-21,8,25.213,CIN,@,CLE,L 27-28,,,,,,,,,,,,,,,,
20,1979,1979-10-28,9,25.220,CIN,,PHI,W 37-13,,,,,,,,,,,,,,,,
21,1979,1979-11-04,10,25.227,CIN,@,BAL,L 28-38,,,,,,,,,,,,,,,,
22,1979,1979-11-11,11,25.234,CIN,,SDG,L 24-26,,,,,,,,,,,,,,,,
23,1979,1979-11-18,12,25.241,CIN,@,HOU,L 21-42,,,,,,,,,,,,,,,,
24,1979,1979-11-25,13,25.248,CIN,,STL,W 34-28,,,,,,,,,,,,,,,,
25,1979,1979-12-02,14,25.255,CIN,@,PIT,L 17-37,,,,,,,,,,,,,,,,
26,1979,1979-12-09,15,25.262,CIN,@,WAS,L 14-28,,,,,,,,,,,,,,,,
27,1979,1979-12-16,16,25.269,CIN,,CLE,W 16-12,,,,,,,,,,,,,,,,
28,1980,1980-09-07,1,26.169,CIN,,TAM,L 12-17,,,,,,,,,,,,,,,,
29,1980,1980-09-14,2,26.176,CIN,@,MIA,L 16-17,,,,,,,,,,,,,,,,
30,1980,1980-09-21,3,26.183,CIN,,PIT,W 30-28,,,,,,,,,,,,,,,,
31,1980,1980-09-28,4,26.190,CIN,,HOU,L 10-13,,,,,,,,,,,,,,,,
32,1980,1980-10-05,5,26.197,CIN,@,GNB,L 9-14,,,,,,,,,,,,,,,,
33,1980,1980-10-12,6,26.204,CIN,@,PIT,W 17-16,,,,,,,,,,,,,,,,
34,1980,1980-10-19,7,26.211,CIN,,MIN,W 14-0,,,,,,,,,,,,,,,,
35,1980,1980-10-26,8,26.218,CIN,@,HOU,L 3-23,,,,,,,,,,,,,,,,
36,1980,1980-11-02,9,26.225,CIN,,SDG,L 14-31,,,,,,,,,,,,,,,,
37,1980,1980-11-09,10,26.232,CIN,@,OAK,L 17-28,,,,,,,,,,,,,,,,
38,1980,1980-11-16,11,26.239,CIN,,BUF,L 0-14,,,,,,,,,,,,,,,,
39,1980,1980-11-23,12,26.246,CIN,@,CLE,L 7-31,,,,,,,,,,,,,,,,
40,1980,1980-11-30,13,26.253,CIN,@,KAN,W 20-6,,,,,,,,,,,,,,,,
41,1980,1980-12-14,15,26.267,CIN,@,CHI,W 17-14,,,,,,,,,,,,,,,,
42,1980,1980-12-21,16,26.274,CIN,,CLE,L 24-27,,,,,,,,,,,,,,,,
43,1981,1981-09-06,1,27.168,CIN,,SEA,W 27-21,,,,,,,,,,,,,,,,
44,1981,1981-09-13,2,27.175,CIN,@,NYJ,W 31-30,,,,,,,,,,,,,,,,
45,1981,1981-09-20,3,27.182,CIN,,CLE,L 17-20,,,,,,,,,,,,,,,,
46,1981,1981-09-27,4,27.189,CIN,,BUF,W 27-24,,,,,,,,,,,,,,,,
47,1981,1981-10-04,5,27.196,CIN,@,HOU,L 10-17,,,,,,,,,,,,,,,,
48,1981,1981-10-11,6,27.203,CIN,@,BAL,W 41-19,,,,,,,,,,,,,,,,
49,1981,1981-10-18,7,27.210,CIN,,PIT,W 34-7,,,,,,,,,,,,,,,,
50,1981,1981-10-25,8,27.217,CIN,@,NOR,L 7-17,,,,,,,,,,,,,,,,
51,1981,1981-11-01,9,27.224,CIN,,HOU,W 34-21,,,,,,,,,,,,,,,,
52,1981,1981-11-08,10,27.231,CIN,@,SDG,W 40-17,,,,,,,,,,,,,,,,
53,1981,1981-11-15,11,27.238,CIN,,RAM,W 24-10,,,,,,,,,,,,,,,,
54,1981,1981-11-22,12,27.245,CIN,,DEN,W 38-21,,,,,,,,,,,,,,,,
55,1981,1981-11-29,13,27.252,CIN,@,CLE,W 41-21,,,,,,,,,,,,,,,,
56,1981,1981-12-06,14,27.259,CIN,,SFO,L 3-21,,,,,,,,,,,,,,,,
57,1981,1981-12-13,15,27.266,CIN,@,PIT,W 17-10,,,,,,,,,,,,,,,,
58,1981,1981-12-20,16,27.273,CIN,@,ATL,W 30-28,,,,,,,,,,,,,,,,
59,1982,1982-09-12,1,28.174,CIN,,HOU,W 27-6,,,,,,,,,,,,,,,,
60,1982,1982-09-19,2,28.181,CIN,@,PIT,L 20-26,0,0,,0,,,,,,,0,0,2.0,0,0,0
61,1982,1982-11-21,3,28.244,CIN,@,PHI,W 18-14,,,,,,,,,,,,,,,,
62,1982,1982-11-28,4,28.251,CIN,,RAI,W 31-17,,,,,,,,,,,,,,,,
63,1982,1982-12-05,5,28.258,CIN,@,BAL,W 20-17,,,,,,,,,,,,,,,,
64,1982,1982-12-12,6,28.265,CIN,,CLE,W 23-10,0,0,,0,,,,,,,0,0,0.0,1,29,0
65,1982,1982-12-20,7,28.273,CIN,@,SDG,L 34-50,,,,,,,,,,,,,,,,
66,1982,1982-12-26,8,28.279,CIN,,SEA,W 24-10,,,,,,,,,,,,,,,,
67,1982,1983-01-02,9,28.286,CIN,@,HOU,W 35-27,0,0,,0,,,,,,,0,0,1.0,0,0,0
