ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2007,2007-09-09,1,22.309,CAR,@,STL,W 27-13,,0,0,0,,0,0.0%,,3,64,21.33,0,3,21,7.00,0
2,2007,2007-09-16,2,22.316,CAR,,HOU,L 21-34,,0,0,0,,0,0.0%,,0,0,,0,2,18,9.00,0
3,2007,2007-09-23,3,22.323,CAR,@,ATL,W 27-20,,0,0,0,,0,0.0%,,1,17,17.00,0,1,9,9.00,0
4,2007,2007-09-30,4,22.330,CAR,,TAM,L 7-20,,0,0,0,,0,0.0%,,0,0,,0,1,3,3.00,0
5,2007,2007-10-07,5,22.337,CAR,@,NOR,W 16-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
6,2007,2007-10-14,6,22.344,CAR,@,ARI,W 25-10,,0,0,0,,0,0.0%,,0,0,,0,3,44,14.67,0
7,2007,2007-10-28,7,22.358,CAR,,IND,L 7-31,,0,0,0,,0,0.0%,,0,0,,0,2,0,0.00,0
8,2007,2007-11-04,8,23.000,CAR,@,TEN,L 7-20,,0,0,0,,0,0.0%,,3,52,17.33,0,1,0,0.00,0
9,2007,2007-11-11,9,23.007,CAR,,ATL,L 13-20,,0,0,0,,0,0.0%,,3,77,25.67,0,6,65,10.83,0
10,2007,2007-11-18,10,23.014,CAR,@,GNB,L 17-31,,0,0,0,,0,0.0%,,5,89,17.80,0,0,0,,0
11,2007,2007-11-25,11,23.021,CAR,,NOR,L 6-31,,0,0,0,,0,0.0%,,0,0,,0,2,12,6.00,0
12,2007,2007-12-02,12,23.028,CAR,,SFO,W 31-14,,0,0,0,,0,0.0%,,2,41,20.50,0,3,10,3.33,0
13,2007,2007-12-09,13,23.035,CAR,@,JAX,L 6-37,,1,0,0,,0,0.0%,0.00,3,68,22.67,0,0,0,,0
14,2007,2007-12-16,14,23.042,CAR,,SEA,W 13-10,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,2,18,9.00,0
15,2007,2007-12-22,15,23.048,CAR,,DAL,L 13-20,,3,1,6,6.00,0,33.3%,2.00,3,87,29.00,0,2,42,21.00,0
16,2007,2007-12-30,16,23.056,CAR,@,TAM,W 31-23,,2,1,9,9.00,0,50.0%,4.50,3,103,34.33,0,2,20,10.00,0
