ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-12-15,14,23.317,NYJ,@,CAR,L 20-30,,1,8,8.00,0,0,0,,0,0.0,0,0
2,2013,2013-12-22,15,23.324,NYJ,,CLE,W 24-13,,1,-11,-11.00,0,0,0,,0,0.0,1,0
3,2013,2013-12-29,16,23.331,NYJ,@,MIA,W 20-7,,,,,,,,,,,,
4,2014,2014-09-07,1,24.218,NYJ,,OAK,W 19-14,,0,0,,0,2,65,32.50,0,0.0,0,2
5,2014,2014-09-14,2,24.225,NYJ,@,GNB,L 24-31,,0,0,,0,2,21,10.50,0,0.0,0,0
6,2014,2014-09-22,3,24.233,NYJ,,CHI,L 19-27,,0,0,,0,3,57,19.00,0,0.0,0,0
7,2014,2014-09-28,4,24.239,NYJ,,DET,L 17-24,,0,0,,0,1,32,32.00,0,0.0,0,1
8,2014,2014-10-05,5,24.246,NYJ,@,SDG,L 0-31,,0,0,,0,5,104,20.80,0,0.0,0,0
9,2014,2014-10-12,6,24.253,NYJ,,DEN,L 17-31,,,,,,,,,,,,
10,2014,2014-10-16,7,24.257,NYJ,@,NWE,L 25-27,,0,0,,0,0,0,,0,0.0,0,1
11,2014,2014-10-26,8,24.267,NYJ,,BUF,L 23-43,,0,0,,0,0,0,,0,0.0,1,0
12,2014,2014-11-02,9,24.274,NYJ,@,KAN,L 10-24,,0,0,,0,0,0,,0,0.0,1,0
13,2014,2014-11-09,10,24.281,NYJ,,PIT,W 20-13,,0,0,,0,0,0,,0,0.0,1,0
14,2014,2014-11-24,11,24.296,NYJ,@,BUF,L 3-38,,,,,,,,,,,,
15,2014,2014-12-01,12,24.303,NYJ,,MIA,L 13-16,,,,,,,,,,,,
16,2014,2014-12-07,13,24.309,NYJ,@,MIN,L 24-30,,,,,,,,,,,,
17,2014,2014-12-14,14,24.316,NYJ,@,TEN,W 16-11,,0,0,,0,0,0,,0,0.0,1,0
18,2014,2014-12-21,15,24.323,NYJ,,NWE,L 16-17,,,,,,,,,,,,
19,2014,2014-12-28,16,24.330,NYJ,@,MIA,W 37-24,,,,,,,,,,,,
20,2015,2015-11-15,9,25.287,KAN,@,DEN,W 29-13,,0,0,,0,0,0,,0,0.0,0,0
21,2015,2015-11-22,10,25.294,KAN,@,SDG,W 33-3,,0,0,,0,0,0,,0,0.0,0,0
