ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2002,2002-11-04,8,24.243,MIA,@,GNB,L 10-24,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
2,2002,2002-11-24,11,24.263,MIA,,SDG,W 30-3,,,,,,,,,0,,,,,,,,,
3,2002,2002-12-01,12,24.270,MIA,@,BUF,L 21-38,,,,,,,,,0,,,,,,,,,
4,2002,2002-12-09,13,24.278,MIA,,CHI,W 27-9,,0,0,,0,0,0,,0,,,,2,-9,-4.50,0,0,0
5,2003,2003-11-09,9,25.248,MIA,@,TEN,L 7-31,,4,6,66.67,50,1,0,131.9,0,0,8.33,11.67,0,0,,0,0,0
6,2003,2003-11-27,12,25.266,MIA,@,DAL,W 40-21,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0,0
7,2004,2004-11-28,11,26.267,MIA,@,SFO,W 24-17,,,,,,,,,0,,,,,,,,,
8,2004,2004-12-26,15,26.295,MIA,,CLE,W 10-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
9,2004,2005-01-02,16,26.302,MIA,@,BAL,L 23-30,*,16,38,42.11,264,1,3,42.0,3,16,6.95,3.92,0,0,,0,0,0
10,2005,2005-10-21,6,27.229,MIA,,KAN,L 20-30,,1,1,100.00,77,1,0,158.3,0,0,77.00,97.00,0,0,,0,0,0
11,2005,2005-11-20,10,27.259,MIA,@,CLE,L 0-22,*,5,10,50.00,14,0,2,16.7,0,0,1.40,-7.60,0,0,,0,0,0
12,2005,2005-12-04,12,27.273,MIA,,BUF,W 24-23,,22,37,59.46,272,2,1,89.0,0,0,7.35,7.22,2,5,2.50,0,0,0
13,2005,2005-12-18,14,27.287,MIA,,NYJ,W 24-20,,6,13,46.15,99,1,0,97.9,0,0,7.62,9.15,4,10,2.50,0,0,0
14,2006,2006-10-15,5,28.223,HOU,@,DAL,L 6-34,,8,11,72.73,70,0,0,89.2,0,0,6.36,6.36,0,0,,0,0,0
15,2006,2006-10-29,7,28.237,HOU,@,TEN,L 22-28,,18,25,72.00,186,3,1,116.0,0,0,7.44,8.04,1,7,7.00,0,0,0
16,2006,2006-11-12,9,28.251,HOU,@,JAX,W 13-10,,1,3,33.33,9,0,0,42.4,1,5,3.00,3.00,3,-2,-0.67,0,0,0
17,2006,2006-11-26,11,28.265,HOU,@,NYJ,L 11-26,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
18,2007,2007-09-30,4,29.208,HOU,@,ATL,L 16-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
19,2007,2007-10-14,6,29.222,HOU,@,JAX,L 17-37,,11,12,91.67,82,1,0,122.9,0,0,6.83,8.50,1,1,1.00,0,0,0
20,2007,2007-10-21,7,29.229,HOU,,TEN,L 36-38,,22,35,62.86,290,4,3,91.4,0,0,8.29,6.71,1,0,0.00,0,0,0
21,2007,2007-10-28,8,29.236,HOU,@,SDG,L 10-35,,17,27,62.96,176,1,2,63.2,1,1,6.52,3.93,1,6,6.00,0,0,0
22,2007,2007-11-04,9,29.243,HOU,@,OAK,W 24-17,*,11,19,57.89,181,1,1,85.6,0,0,9.53,8.21,7,19,2.71,0,0,0
23,2007,2007-12-02,12,29.271,HOU,@,TEN,L 20-28,,17,30,56.67,185,1,1,72.2,1,16,6.17,5.33,2,25,12.50,0,0,0
24,2007,2007-12-09,13,29.278,HOU,,TAM,W 28-14,*,27,36,75.00,209,3,0,116.6,3,23,5.81,7.47,2,1,0.50,0,0,0
25,2007,2007-12-13,14,29.282,HOU,,DEN,W 31-13,*,16,27,59.26,200,1,1,79.2,0,0,7.41,6.48,4,3,0.75,1,1,6
26,2007,2007-12-23,15,29.292,HOU,@,IND,L 15-38,*,22,36,61.11,233,2,3,63.8,0,0,6.47,3.83,0,0,,0,0,0
27,2007,2007-12-30,16,29.299,HOU,,JAX,W 42-28,*,11,18,61.11,128,1,1,78.0,1,8,7.11,5.72,3,-4,-1.33,0,0,0
28,2008,2008-10-05,4,30.213,HOU,,IND,L 27-31,*,21,33,63.64,246,1,1,83.6,2,11,7.45,6.70,4,16,4.00,0,0,0
