ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1987,1987-09-13,1,22.230,RAM,@,HOU,L 16-20
2,1987,1987-09-20,2,22.237,RAM,,MIN,L 16-21
3,1987,1987-10-26,6,22.273,RAM,@,CLE,L 17-30
4,1987,1987-11-22,10,22.300,MIN,,ATL,W 24-13
5,1987,1987-11-26,11,22.304,MIN,@,DAL,W 44-38
6,1987,1987-12-06,12,22.314,MIN,,CHI,L 24-30
7,1987,1987-12-13,13,22.321,MIN,@,GNB,L 10-16
8,1987,1987-12-20,14,22.328,MIN,@,DET,W 17-14
9,1987,1987-12-26,15,22.334,MIN,,WAS,L 24-27
10,1988,1988-09-18,3,23.236,MIN,@,CHI,W 31-7
11,1988,1988-09-25,4,23.243,MIN,,PHI,W 23-21
12,1988,1988-10-02,5,23.250,MIN,@,MIA,L 7-24
13,1988,1988-10-09,6,23.257,MIN,,TAM,W 14-13
14,1988,1988-10-16,7,23.264,MIN,,GNB,L 14-34
15,1988,1988-10-23,8,23.271,MIN,@,TAM,W 49-20
16,1988,1988-10-30,9,23.278,MIN,@,SFO,L 21-24
17,1988,1988-11-06,10,23.285,MIN,,DET,W 44-17
18,1988,1988-11-13,11,23.292,MIN,@,DAL,W 43-3
19,1988,1988-11-20,12,23.299,MIN,,IND,W 12-3
20,1988,1988-11-24,13,23.303,MIN,@,DET,W 23-0
21,1988,1988-12-04,14,23.313,MIN,,NOR,W 45-3
22,1988,1988-12-11,15,23.320,MIN,@,GNB,L 6-18
23,1989,1989-09-10,1,24.227,TAM,@,GNB,W 23-21
24,1989,1989-09-17,2,24.234,TAM,,SFO,L 16-20
25,1989,1989-09-24,3,24.241,TAM,,NOR,W 20-10
26,1989,1989-10-01,4,24.248,TAM,@,MIN,L 3-17
27,1989,1989-10-08,5,24.255,TAM,,CHI,W 42-35
28,1989,1989-10-15,6,24.262,TAM,,DET,L 16-17
29,1989,1989-10-22,7,24.269,TAM,@,WAS,L 28-32
30,1989,1989-10-29,8,24.276,TAM,@,CIN,L 23-56
31,1989,1989-11-05,9,24.283,TAM,,CLE,L 31-42
32,1989,1989-11-12,10,24.290,TAM,,MIN,L 10-24
33,1989,1989-11-19,11,24.297,TAM,@,CHI,W 32-31
34,1989,1989-11-26,12,24.304,TAM,@,PHO,W 14-13
35,1989,1989-12-03,13,24.311,TAM,,GNB,L 16-17
36,1989,1989-12-10,14,24.318,TAM,@,HOU,L 17-20
37,1989,1989-12-17,15,24.325,TAM,@,DET,L 7-33
38,1989,1989-12-24,16,24.332,TAM,,PIT,L 22-31
39,1990,1990-09-09,1,25.226,TAM,@,DET,W 38-21
40,1990,1990-09-16,2,25.233,TAM,,RAM,L 14-35
41,1990,1990-09-23,3,25.240,TAM,,DET,W 23-20
42,1990,1990-09-30,4,25.247,TAM,@,MIN,W 23-20
43,1990,1990-10-07,5,25.254,TAM,@,DAL,L 10-14
44,1990,1990-10-14,6,25.261,TAM,,GNB,W 26-14
45,1990,1990-10-21,7,25.268,TAM,,DAL,L 13-17
46,1990,1990-10-28,8,25.275,TAM,@,SDG,L 10-41
47,1990,1990-11-04,9,25.282,TAM,,CHI,L 6-26
48,1990,1990-11-11,10,25.289,TAM,@,NOR,L 7-35
49,1990,1990-11-18,11,25.296,TAM,@,SFO,L 7-31
50,1990,1990-11-25,12,25.303,TAM,@,GNB,L 10-20
51,1990,1990-12-02,13,25.310,TAM,,ATL,W 23-17
52,1990,1990-12-16,14,25.324,TAM,,MIN,W 26-13
53,1990,1990-12-23,15,25.331,TAM,@,CHI,L 14-27
54,1990,1990-12-30,16,25.338,TAM,,NYJ,L 14-16
55,1991,1991-09-01,1,26.218,TAM,@,NYJ,L 13-16
56,1991,1991-09-08,2,26.225,TAM,,CHI,L 20-21
57,1991,1991-09-15,3,26.232,TAM,@,GNB,L 13-15
58,1991,1991-09-22,4,26.239,TAM,,BUF,L 10-17
59,1991,1991-09-29,5,26.246,TAM,@,DET,L 3-31
60,1991,1991-10-06,6,26.253,TAM,,PHI,W 14-13
61,1991,1991-10-20,7,26.267,TAM,@,NOR,L 7-23
62,1991,1991-10-27,8,26.274,TAM,,GNB,L 0-27
63,1991,1991-11-03,9,26.281,TAM,@,MIN,L 13-28
64,1991,1991-11-10,10,26.288,TAM,,DET,W 30-21
65,1991,1991-11-17,11,26.295,TAM,@,ATL,L 7-43
66,1991,1991-11-24,12,26.302,TAM,,NYG,L 14-21
67,1991,1991-12-01,13,26.309,TAM,@,MIA,L 14-33
68,1991,1991-12-08,14,26.316,TAM,,MIN,L 24-26
69,1991,1991-12-14,15,26.322,TAM,@,CHI,L 0-27
70,1991,1991-12-22,16,26.330,TAM,,IND,W 17-3
71,1992,1992-09-06,1,27.224,SDG,,KAN,L 10-24
72,1992,1992-09-13,2,27.231,SDG,@,DEN,L 13-21
73,1992,1992-09-20,3,27.238,SDG,,PIT,L 6-23
74,1992,1992-09-27,4,27.245,SDG,@,HOU,L 0-27
75,1992,1992-10-04,5,27.252,SDG,,SEA,W 17-6
76,1992,1992-10-18,6,27.266,SDG,@,IND,W 34-14
77,1992,1992-10-25,7,27.273,SDG,,DEN,W 24-21
78,1992,1992-11-01,8,27.280,SDG,,IND,W 26-0
79,1992,1992-11-08,9,27.287,SDG,@,KAN,L 14-16
80,1992,1992-11-15,10,27.294,SDG,@,CLE,W 14-13
81,1992,1992-11-22,11,27.301,SDG,,TAM,W 29-14
82,1992,1992-11-29,12,27.308,SDG,,RAI,W 27-3
83,1992,1992-12-06,13,27.315,SDG,@,PHO,W 27-21
84,1992,1992-12-13,14,27.322,SDG,,CIN,W 27-10
85,1992,1992-12-20,15,27.329,SDG,@,RAI,W 36-14
86,1992,1992-12-27,16,27.336,SDG,@,SEA,W 31-14
87,1993,1993-09-05,1,28.222,SDG,,SEA,W 18-12
88,1993,1993-09-12,2,28.229,SDG,@,DEN,L 17-34
89,1993,1993-09-19,3,28.236,SDG,,HOU,W 18-17
90,1993,1993-10-03,4,28.250,SDG,@,SEA,L 14-31
91,1993,1993-10-10,5,28.257,SDG,@,PIT,L 3-16
92,1993,1993-10-17,6,28.264,SDG,,KAN,L 14-17
93,1993,1993-10-31,7,28.278,SDG,@,RAI,W 30-23
94,1993,1993-11-07,8,28.285,SDG,@,MIN,W 30-17
95,1993,1993-11-14,9,28.292,SDG,,CHI,L 13-16
96,1993,1993-11-21,10,28.299,SDG,,RAI,L 7-12
97,1993,1993-11-29,11,28.307,SDG,@,IND,W 31-0
98,1993,1993-12-05,12,28.313,SDG,,DEN,W 13-10
99,1993,1993-12-12,13,28.320,SDG,,GNB,L 13-20
100,1993,1993-12-19,14,28.327,SDG,@,KAN,L 24-28
101,1993,1993-12-27,15,28.335,SDG,,MIA,W 45-20
102,1993,1994-01-02,16,28.341,SDG,@,TAM,W 32-17
