ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,23.050,NYG,,PHI,W 31-17,,1,6,0.0,1,95,1
2,1997,1997-09-07,2,23.057,NYG,@,JAX,L 13-40,,,,,,,
3,1997,1997-09-14,3,23.064,SEA,@,IND,W 31-3,,,,,,,
4,1997,1997-09-21,4,23.071,NYG,@,STL,L 3-13,,,,,,,
5,1997,1997-09-28,5,23.078,NYG,,NOR,W 14-9,,,,,,,
6,1997,1997-10-05,6,23.085,NYG,,DAL,W 20-17,,,,,,,
7,1997,1997-10-12,7,23.092,NYG,@,ARI,W 27-13,,,,,,,
8,1997,1997-10-19,8,23.099,NYG,@,DET,W 26-20,,,,,,,
9,1997,1997-10-26,9,23.106,NYG,,CIN,W 29-27,,,,,,,
10,1997,1997-11-09,10,23.120,NYG,@,TEN,L 6-10,,,,,,,
11,1997,1997-11-16,11,23.127,NYG,,ARI,W 19-10,,,,,,,
12,1997,1997-11-23,12,23.134,NYG,@,WAS,T 7-7,,,,,,,
13,1997,1997-11-30,13,23.141,NYG,,TAM,L 8-20,,,,,,,
14,1997,1997-12-07,14,23.148,NYG,@,PHI,W 31-21,,,,,,,
15,1997,1997-12-13,15,23.154,NYG,,WAS,W 30-10,,,,,,,
16,1997,1997-12-21,16,23.162,NYG,@,DAL,W 20-7,,,,,,,
17,1998,1998-09-06,1,24.056,NYG,,WAS,W 31-24,,,,,,,
18,1998,1998-09-13,2,24.063,NYG,@,OAK,L 17-20,,,,,,,
19,1998,1998-09-21,3,24.071,NYG,,DAL,L 7-31,,,,,,,
20,1998,1998-09-27,4,24.077,NYG,@,SDG,W 34-16,,,,,,,
21,1998,1998-10-04,5,24.084,NYG,@,TAM,L 3-20,,,,,,,
22,1998,1998-11-22,11,24.133,NYG,,PHI,W 20-0,,,,,,,
23,1998,1998-11-30,12,24.141,NYG,@,SFO,L 7-31,,,,,,,
24,1998,1998-12-06,13,24.147,NYG,@,ARI,W 23-19,,,,,,,
25,1998,1998-12-13,14,24.154,NYG,,DEN,W 20-16,,,,,,,
26,1998,1998-12-20,15,24.161,NYG,,KAN,W 28-7,,,,,,,
27,1998,1998-12-27,16,24.168,NYG,@,PHI,W 20-10,,0,0,0.0,1,13,0
28,1999,1999-09-12,1,25.062,NYG,@,TAM,W 17-13,*,,,,,,
29,1999,1999-09-19,2,25.069,NYG,,WAS,L 21-50,*,,,,,,
30,1999,1999-09-26,3,25.076,NYG,@,NWE,L 14-16,*,,,,,,
31,1999,1999-10-03,4,25.083,NYG,,PHI,W 16-15,*,,,,,,
32,1999,1999-10-10,5,25.090,NYG,@,ARI,L 3-14,*,,,,,,
33,1999,1999-10-18,6,25.098,NYG,,DAL,W 13-10,*,0,0,0.0,1,3,0
34,1999,1999-10-24,7,25.104,NYG,,NOR,W 31-3,*,,,,,,
35,1999,1999-10-31,8,25.111,NYG,@,PHI,W 23-17,*,0,0,1.0,0,0,0
36,1999,1999-11-14,9,25.125,NYG,,IND,L 19-27,*,0,0,0.0,1,4,0
37,1999,1999-11-21,10,25.132,NYG,@,WAS,L 13-23,*,,,,,,
38,1999,1999-11-28,11,25.139,NYG,,ARI,L 24-34,*,,,,,,
39,1999,1999-12-05,12,25.146,NYG,,NYJ,W 41-28,*,,,,,,
40,1999,1999-12-12,13,25.153,NYG,@,BUF,W 19-17,*,,,,,,
41,1999,1999-12-19,14,25.160,NYG,@,STL,L 10-31,*,,,,,,
42,1999,1999-12-26,15,25.167,NYG,,MIN,L 17-34,*,,,,,,
43,1999,2000-01-02,16,25.174,NYG,@,DAL,L 18-26,*,,,,,,
44,2000,2000-09-03,1,26.053,NYG,,ARI,W 21-16,,,,,,,
45,2000,2000-09-17,3,26.067,NYG,@,CHI,W 14-7,*,,,,,,
46,2000,2000-09-24,4,26.074,NYG,,WAS,L 6-16,*,,,,,,
47,2000,2000-10-01,5,26.081,NYG,@,TEN,L 14-28,*,,,,,,
48,2000,2000-10-08,6,26.088,NYG,@,ATL,W 13-6,*,,,,,,
49,2000,2000-10-15,7,26.095,NYG,,DAL,W 19-14,*,,,,,,
50,2000,2000-10-29,8,26.109,NYG,,PHI,W 24-7,*,,,,,,
51,2000,2000-11-05,9,26.116,NYG,@,CLE,W 24-3,*,,,,,,
52,2000,2000-11-12,10,26.123,NYG,,STL,L 24-38,*,,,,,,
53,2000,2000-11-19,11,26.130,NYG,,DET,L 21-31,,0,0,1.0,0,0,0
54,2000,2000-11-26,12,26.137,NYG,@,ARI,W 31-7,*,,,,,,
55,2000,2000-12-03,13,26.144,NYG,@,WAS,W 9-7,*,0,0,0.0,1,4,0
56,2000,2000-12-10,14,26.151,NYG,,PIT,W 30-10,,,,,,,
57,2000,2000-12-17,15,26.158,NYG,@,DAL,W 17-13,*,,,,,,
58,2000,2000-12-23,16,26.164,NYG,,JAX,W 28-25,,,,,,,
59,2001,2001-09-10,1,27.060,NYG,@,DEN,L 20-31,*,,,,,,
60,2001,2001-09-23,2,27.073,NYG,@,KAN,W 13-3,*,,,,,,
61,2001,2001-09-30,3,27.080,NYG,,NOR,W 21-13,*,,,,,,
62,2001,2001-10-07,4,27.087,NYG,,WAS,W 23-9,*,,,,,,
63,2001,2001-10-14,5,27.094,NYG,@,STL,L 14-15,*,0,0,0.0,1,5,0
64,2001,2001-10-22,6,27.102,NYG,,PHI,L 9-10,*,,,,,,
65,2001,2001-10-28,7,27.108,NYG,@,WAS,L 21-35,*,,,,,,
66,2001,2001-11-04,8,27.115,NYG,,DAL,W 27-24,*,,,,,,
67,2001,2001-11-11,9,27.122,NYG,@,ARI,W 17-10,*,,,,,,
68,2001,2001-11-19,10,27.130,NYG,@,MIN,L 16-28,*,,,,,,
69,2001,2001-11-25,11,27.136,NYG,,OAK,L 10-28,*,,,,,,
70,2001,2001-12-09,12,27.150,NYG,@,DAL,L 13-20,*,,,,,,
71,2001,2001-12-15,13,27.156,NYG,,ARI,W 17-13,*,,,,,,
72,2001,2001-12-23,14,27.164,NYG,,SEA,W 27-24,*,,,,,,
73,2001,2001-12-30,15,27.171,NYG,@,PHI,L 21-24,*,,,,,,
74,2001,2002-01-06,16,27.178,NYG,,GNB,L 25-34,*,,,,,,
75,2002,2002-09-08,1,28.058,NYJ,@,BUF,W 37-31,*,,,,,,
76,2002,2002-09-15,2,28.065,NYJ,,NWE,L 7-44,*,,,,,,
77,2002,2002-09-22,3,28.072,NYJ,@,MIA,L 3-30,*,,,,,,
78,2002,2002-09-29,4,28.079,NYJ,@,JAX,L 3-28,*,,,,,,
79,2002,2002-10-06,5,28.086,NYJ,,KAN,L 25-29,*,,,,,,
80,2002,2002-10-20,6,28.100,NYJ,,MIN,W 20-7,*,,,,,,
81,2002,2002-10-27,7,28.107,NYJ,,CLE,L 21-24,*,,,,,,
82,2002,2002-11-03,8,28.114,NYJ,@,SDG,W 44-13,*,,,,,,
83,2002,2002-11-10,9,28.121,NYJ,,MIA,W 13-10,*,,,,,,
84,2002,2002-11-17,10,28.128,NYJ,@,DET,W 31-14,*,,,,,,
85,2002,2002-11-24,11,28.135,NYJ,,BUF,W 31-13,*,0,0,0.5,1,0,0
86,2002,2002-12-02,12,28.143,NYJ,@,OAK,L 20-26,*,,,,,,
87,2002,2002-12-08,13,28.149,NYJ,,DEN,W 19-13,*,,,,,,
88,2002,2002-12-15,14,28.156,NYJ,@,CHI,L 13-20,*,,,,,,
89,2002,2002-12-22,15,28.163,NYJ,@,NWE,W 30-17,*,,,,,,
90,2002,2002-12-29,16,28.170,NYJ,,GNB,W 42-17,*,0,0,0.0,1,65,0
91,2003,2003-09-04,1,29.054,NYJ,@,WAS,L 13-16,*,,,,,,
92,2003,2003-09-14,2,29.064,NYJ,,MIA,L 10-21,*,,,,,,
93,2003,2003-09-21,3,29.071,NYJ,@,NWE,L 16-23,*,,,,,,
94,2003,2003-09-28,4,29.078,NYJ,,DAL,L 6-17,*,0,0,0.0,1,0,0
95,2003,2003-10-12,5,29.092,NYJ,,BUF,W 30-3,*,,,,,,
96,2003,2003-10-19,6,29.099,NYJ,@,HOU,W 19-14,*,,,,,,
97,2003,2003-10-26,7,29.106,NYJ,@,PHI,L 17-24,*,,,,,,
98,2003,2003-11-02,8,29.113,NYJ,,NYG,L 28-31,*,,,,,,
99,2003,2003-11-09,9,29.120,NYJ,@,OAK,W 27-24,*,,,,,,
100,2003,2003-11-16,10,29.127,NYJ,@,IND,L 31-38,*,,,,,,
101,2003,2003-11-23,11,29.134,NYJ,,JAX,W 13-10,*,,,,,,
102,2003,2003-12-01,12,29.142,NYJ,,TEN,W 24-17,*,0,0,0.5,1,0,0
103,2003,2003-12-07,13,29.148,NYJ,@,BUF,L 6-17,*,,,,,,
104,2003,2003-12-14,14,29.155,NYJ,,PIT,W 6-0,*,,,,,,
105,2003,2003-12-20,15,29.161,NYJ,,NWE,L 16-21,*,,,,,,
106,2003,2003-12-28,16,29.169,NYJ,@,MIA,L 21-23,*,,,,,,
