ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,22.108,ATL,@,NOR,W 36-28,,,,,,,,,,
2,1984,1984-09-09,2,22.115,ATL,,DET,L 24-27,,,,,,,,,,
3,1984,1984-09-16,3,22.122,ATL,@,MIN,L 20-27,,,,,,,,,,
4,1984,1984-09-23,4,22.129,ATL,,HOU,W 42-10,,,,,,,,,,
5,1984,1984-09-30,5,22.136,ATL,@,SFO,L 5-14,,,,,,,,,,
6,1984,1984-10-07,6,22.143,ATL,@,RAM,W 30-28,,,,,,,,,,
7,1984,1984-10-14,7,22.150,ATL,,NYG,L 7-19,,,,,,,,,,
8,1984,1984-10-22,8,22.158,ATL,,RAM,L 10-24,,,,,,,,,,
9,1984,1984-10-28,9,22.164,ATL,@,PIT,L 10-35,,,,,,,,,,
10,1984,1984-11-05,10,22.172,ATL,@,WAS,L 14-27,,,,,,,,,,
11,1984,1984-11-11,11,22.178,ATL,,NOR,L 13-17,,,,,,,,,,
12,1984,1984-11-18,12,22.185,ATL,,CLE,L 7-23,,,,,,,,,,
13,1984,1984-11-25,13,22.192,ATL,@,CIN,L 14-35,,,,,,,,,,
14,1984,1984-12-02,14,22.199,ATL,,SFO,L 17-35,,,,,,,,,,
15,1984,1984-12-09,15,22.206,ATL,@,TAM,L 6-23,,,,,,,,,,
16,1984,1984-12-16,16,22.213,ATL,,PHI,W 26-10,,,,,,,,,,
17,1985,1985-09-08,1,23.114,ATL,,DET,L 27-28,0,0,,0,0,0,0.0,1,0,0
18,1985,1985-09-15,2,23.121,ATL,@,SFO,L 16-35,0,0,,0,0,0,1.0,0,0,0
19,1985,1985-09-22,3,23.128,ATL,,DEN,L 28-44,0,0,,0,0,0,0.0,1,31,0
20,1985,1985-09-29,4,23.135,ATL,@,RAM,L 6-17,,,,,,,,,,
21,1985,1985-10-06,5,23.142,ATL,,SFO,L 17-38,,,,,,,,,,
22,1985,1985-10-13,6,23.149,ATL,@,SEA,L 26-30,,,,,,,,,,
23,1985,1985-10-27,8,23.163,ATL,@,DAL,L 10-24,0,0,,0,0,0,0.0,1,47,0
24,1985,1985-11-03,9,23.170,ATL,,WAS,L 10-44,,,,,,,,,,
25,1985,1985-11-10,10,23.177,ATL,@,PHI,L 17-23,,,,,,,,,,
26,1985,1985-11-17,11,23.184,ATL,,RAM,W 30-14,,,,,,,,,,
27,1985,1985-11-24,12,23.191,ATL,@,CHI,L 0-36,,,,,,,,,,
28,1985,1985-12-01,13,23.198,ATL,,RAI,L 24-34,,,,,,,,,,
29,1985,1985-12-15,15,23.212,ATL,,MIN,W 14-13,0,0,,0,0,0,0.0,1,0,0
30,1985,1985-12-22,16,23.219,ATL,@,NOR,W 16-10,,,,,,,,,,
31,1986,1986-09-07,1,24.113,ATL,@,NOR,W 31-10,0,0,,0,0,0,0.0,1,0,0
32,1986,1986-09-14,2,24.120,ATL,,STL,W 33-13,,,,,,,,,,
33,1986,1986-09-21,3,24.127,ATL,@,DAL,W 37-35,,,,,,,,,,
34,1986,1986-09-28,4,24.134,ATL,@,TAM,W 23-20,,,,,,,,,,
35,1986,1986-10-05,5,24.141,ATL,,PHI,L 0-16,,,,,,,,,,
36,1986,1986-10-12,6,24.148,ATL,,RAM,W 26-14,,,,,,,,,,
37,1986,1986-10-19,7,24.155,ATL,,SFO,T 10-10,0,0,,0,0,0,0.0,1,0,0
38,1986,1986-10-26,8,24.162,ATL,@,RAM,L 7-14,,,,,,,,,,
39,1986,1986-11-02,9,24.169,ATL,@,NWE,L 17-25,,,,,,,,,,
40,1986,1986-11-09,10,24.176,ATL,,NYJ,L 14-28,,,,,,,,,,
41,1986,1986-11-16,11,24.183,ATL,,CHI,L 10-13,,,,,,,,,,
42,1986,1986-11-23,12,24.190,ATL,@,SFO,L 0-20,,,,,,,,,,
43,1986,1986-11-30,13,24.197,ATL,@,MIA,W 20-14,0,0,,0,0,0,0.0,1,0,0
44,1986,1986-12-07,14,24.204,ATL,,IND,L 23-28,,,,,,,,,,
45,1986,1986-12-14,15,24.211,ATL,,NOR,L 9-14,,,,,,,,,,
46,1986,1986-12-21,16,24.218,ATL,@,DET,W 20-6,0,0,,0,0,0,0.0,1,41,0
47,1987,1987-09-13,1,25.119,ATL,@,TAM,L 10-48,0,0,,0,0,0,0.0,1,12,0
48,1987,1987-09-20,2,25.126,ATL,,WAS,W 21-20,,,,,,,,,,
49,1987,1987-10-25,6,25.161,ATL,@,HOU,L 33-37,,,,,,,,,,
50,1987,1987-11-01,7,25.168,ATL,,NOR,L 0-38,,,,,,,,,,
51,1987,1987-11-08,8,25.175,ATL,@,CLE,L 3-38,,,,,,,,,,
52,1987,1987-11-15,9,25.182,ATL,,CIN,L 10-16,,,,,,,,,,
53,1987,1987-11-22,10,25.189,ATL,@,MIN,L 13-24,,,,,,,,,,
54,1987,1987-11-29,11,25.196,ATL,,STL,L 21-34,,,,,,,,,,
55,1987,1987-12-13,13,25.210,ATL,@,RAM,L 0-33,,,,,,,,,,
56,1987,1987-12-20,14,25.217,ATL,@,SFO,L 7-35,,,,,,,,,,
57,1987,1987-12-27,15,25.224,ATL,,DET,L 13-30,,,,,,,,,,
58,1988,1988-09-04,1,26.110,ATL,@,DET,L 17-31,,,,,,,,,,
59,1988,1988-09-11,2,26.117,ATL,,NOR,L 21-29,,,,,,,,,,
60,1988,1988-09-18,3,26.124,ATL,@,SFO,W 34-17,0,0,,0,0,0,0.0,1,0,0
61,1988,1988-09-25,4,26.131,ATL,@,DAL,L 20-26,0,0,,0,0,0,0.0,1,0,0
62,1988,1988-10-02,5,26.138,ATL,,SEA,L 20-31,,,,,,,,,,
63,1988,1988-10-09,6,26.145,ATL,,RAM,L 0-33,,,,,,,,,,
64,1988,1988-10-16,7,26.152,ATL,@,DEN,L 14-30,,,,,,,,,,
65,1988,1988-10-23,8,26.159,ATL,,NYG,L 16-23,0,0,,0,0,0,0.0,1,0,0
66,1988,1988-10-30,9,26.166,ATL,@,PHI,W 27-24,,,,,,,,,,
67,1988,1988-11-06,10,26.173,ATL,,GNB,W 20-0,0,0,,0,0,0,0.0,2,12,0
68,1988,1988-11-13,11,26.180,ATL,,SDG,L 7-10,0,0,,0,0,0,1.0,1,0,0
69,1988,1988-11-20,12,26.187,ATL,@,RAI,W 12-6,,,,,,,,,,
70,1988,1988-11-27,13,26.194,ATL,,TAM,W 17-10,0,0,,0,0,0,0.0,2,13,0
71,1988,1988-12-04,14,26.201,ATL,,SFO,L 3-13,,,,,,,,,,
72,1988,1988-12-11,15,26.208,ATL,@,RAM,L 7-22,0,0,,0,0,0,0.0,1,10,0
73,1988,1988-12-18,16,26.215,ATL,@,NOR,L 9-10,0,0,,0,0,0,0.0,1,12,0
74,1989,1989-09-10,1,27.116,ATL,,RAM,L 21-31,,,,,,,,,,
75,1989,1989-09-17,2,27.123,ATL,,DAL,W 27-21,0,0,,0,0,0,0.0,1,13,0
76,1989,1989-09-24,3,27.130,ATL,@,IND,L 9-13,,,,,,,,,,
77,1989,1989-10-01,4,27.137,ATL,@,GNB,L 21-23,0,0,,0,0,0,0.0,1,0,0
78,1989,1989-10-08,5,27.144,ATL,@,RAM,L 14-26,,,,,,,,,,
79,1989,1989-10-15,6,27.151,ATL,,NWE,W 16-15,0,0,,0,0,0,1.0,0,0,0
80,1989,1989-10-22,7,27.158,ATL,@,PHO,L 20-34,,,,,,,,,,
81,1989,1989-10-29,8,27.165,ATL,@,NOR,L 13-20,,,,,,,,,,
82,1989,1989-11-05,9,27.172,ATL,,BUF,W 30-28,,,,,,,,,,
83,1989,1989-11-12,10,27.179,ATL,@,SFO,L 3-45,,,,,,,,,,
84,1989,1989-11-19,11,27.186,ATL,,NOR,L 17-26,,,,,,,,,,
85,1989,1989-11-26,12,27.193,ATL,@,NYJ,L 7-27,,,,,,,,,,
86,1989,1989-12-10,14,27.207,ATL,@,MIN,L 17-43,,,,,,,,,,
87,1989,1989-12-17,15,27.214,ATL,,WAS,L 30-31,,,,,,,,,,
88,1990,1990-09-09,1,28.115,ATL,,HOU,W 47-27,0,0,,0,,,,,,
89,1990,1990-09-16,2,28.122,ATL,@,DET,L 14-21,0,0,,0,,,,,,
90,1990,1990-09-23,3,28.129,ATL,@,SFO,L 13-19,0,0,,0,,,,,,
91,1990,1990-10-07,4,28.143,ATL,,NOR,W 28-27,0,0,,0,,,,,,
92,1990,1990-10-14,5,28.150,ATL,,SFO,L 35-45,0,0,,0,,,,,,
