ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1981,1981-09-06,1,22.262,ATL,,NOR,W 27-0,0,0,,0,2,20,10.00,0
2,1981,1981-09-13,2,22.269,ATL,@,GNB,W 31-17,0,0,,0,0,0,,0
3,1981,1981-09-20,3,22.276,ATL,,SFO,W 34-17,0,0,,0,1,9,9.00,0
4,1981,1981-09-27,4,22.283,ATL,@,CLE,L 17-28,0,0,,0,0,0,,0
5,1981,1981-10-05,5,22.291,ATL,@,PHI,L 13-16,0,0,,0,0,0,,0
6,1981,1981-10-11,6,22.297,ATL,,RAM,L 35-37,0,0,,0,5,63,12.60,0
7,1981,1981-10-18,7,22.304,ATL,,STL,W 41-20,0,0,,0,2,2,1.00,0
8,1981,1981-10-25,8,22.311,ATL,,NYG,L 24-27,4,80,20.00,0,6,47,7.83,0
9,1981,1981-11-01,9,22.318,ATL,@,NOR,W 41-10,3,73,24.33,0,4,58,14.50,0
10,1981,1981-11-08,10,22.325,ATL,@,SFO,L 14-17,2,41,20.50,0,2,20,10.00,0
11,1981,1981-11-15,11,22.332,ATL,,PIT,L 20-34,0,0,,0,2,7,3.50,0
12,1981,1981-11-23,12,22.340,ATL,,MIN,W 31-30,1,16,16.00,0,1,0,0.00,0
13,1981,1981-11-29,13,22.346,ATL,@,HOU,W 31-27,0,0,,0,3,4,1.33,0
14,1981,1981-12-06,14,22.353,ATL,@,TAM,L 23-24,0,0,,0,1,0,0.00,0
15,1981,1981-12-14,15,22.361,ATL,@,RAM,L 16-21,0,0,,0,2,37,18.50,0
16,1981,1981-12-20,16,23.002,ATL,,CIN,L 28-30,0,0,,0,2,11,5.50,0
17,1987,1987-10-04,3,28.290,NOR,,RAM,W 37-10,,,,,,,,
