ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1992,1992-11-08,9,24.331,NWE,,NOR,L 14-31,,5,9,55.56,20,0,1,21.3,0,0,2.22,-2.78,4,29,7.25,0
2,1992,1992-11-15,10,24.338,NWE,@,IND,W 37-34,*,20,29,68.97,261,2,1,105.7,4,35,9.00,8.83,3,6,2.00,0
3,1992,1992-11-22,11,24.345,NWE,,NYJ,W 24-3,*,7,16,43.75,102,0,0,65.1,2,6,6.38,6.38,5,5,1.00,0
4,1992,1992-11-29,12,24.352,NWE,@,ATL,L 0-34,*,9,16,56.25,58,0,2,24.5,5,43,3.63,-2.00,1,-3,-3.00,0
5,1992,1992-12-06,13,24.359,NWE,,IND,L 0-6,,6,20,30.00,55,0,0,39.6,5,40,2.75,2.75,2,26,13.00,0
6,1992,1992-12-13,14,25.000,NWE,@,KAN,L 20-27,*,5,10,50.00,65,0,0,70.8,1,13,6.50,6.50,3,8,2.67,0
7,1993,1993-10-24,7,25.315,NWE,@,SEA,L 9-10,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
8,1993,1993-11-28,11,25.350,NWE,,NYJ,L 0-6,,0,0,,0,0,0,,0,,,,1,0,0.00,0
9,1993,1993-12-26,15,26.013,NWE,,IND,W 38-0,,0,0,,0,0,0,,0,,,,0,0,,0
10,1994,1994-09-04,1,26.265,NWE,@,MIA,L 35-39,,0,0,,0,0,0,,0,,,,0,0,,0
11,1994,1994-09-11,2,26.272,NWE,,BUF,L 35-38,,0,0,,0,0,0,,0,,,,0,0,,0
12,1994,1994-09-18,3,26.279,NWE,@,CIN,W 31-28,,0,0,,0,0,0,,0,,,,0,0,,0
13,1994,1994-09-25,4,26.286,NWE,@,DET,W 23-17,,0,0,,0,0,0,,0,,,,0,0,,0
14,1994,1994-10-02,5,26.293,NWE,,GNB,W 17-16,,0,0,,0,0,0,,0,,,,0,0,,0
15,1994,1994-10-09,6,26.300,NWE,,RAI,L 17-21,,0,0,,0,0,0,,0,,,,0,0,,0
16,1994,1994-10-16,7,26.307,NWE,@,NYJ,L 17-24,,0,0,,0,0,0,,0,,,,0,0,,0
17,1994,1994-10-30,8,26.321,NWE,,MIA,L 3-23,,5,8,62.50,28,0,0,68.7,0,0,3.50,3.50,0,0,,0
18,1994,1994-11-06,9,26.328,NWE,@,CLE,L 6-13,,0,0,,0,0,0,,0,,,,0,0,,0
19,1994,1994-11-13,10,26.335,NWE,,MIN,W 26-20,,0,0,,0,0,0,,0,,,,0,0,,0
20,1994,1994-11-20,11,26.342,NWE,,SDG,W 23-17,,0,0,,0,0,0,,0,,,,0,0,,0
21,1994,1994-11-27,12,26.349,NWE,@,IND,W 12-10,,0,0,,0,0,0,,0,,,,0,0,,0
22,1994,1994-12-04,13,26.356,NWE,,NYJ,W 24-13,,0,0,,0,0,0,,0,,,,0,0,,0
23,1994,1994-12-11,14,26.363,NWE,,IND,W 28-13,,0,0,,0,0,0,,0,,,,0,0,,0
24,1994,1994-12-18,15,27.005,NWE,@,BUF,W 41-17,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0
25,1994,1994-12-24,16,27.011,NWE,@,CHI,W 13-3,,0,0,,0,0,0,,0,,,,0,0,,0
26,1995,1995-09-03,1,27.264,NWE,,CLE,W 17-14,,0,0,,0,0,0,,0,,,,0,0,,0
27,1995,1995-09-10,2,27.271,NWE,,MIA,L 3-20,,0,0,,0,0,0,,0,,,,0,0,,0
28,1995,1995-09-17,3,27.278,NWE,@,SFO,L 3-28,,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,1,-1,-1.00,0
29,1995,1995-10-01,4,27.292,NWE,@,ATL,L 17-30,*,24,45,53.33,252,1,0,77.3,4,28,5.60,6.04,2,12,6.00,0
30,1995,1995-10-08,5,27.299,NWE,,DEN,L 3-37,,3,3,100.00,23,0,0,98.6,0,0,7.67,7.67,0,0,,0
31,1995,1995-10-15,6,27.306,NWE,@,KAN,L 26-31,,0,0,,0,0,0,,0,,,,0,0,,0
32,1995,1995-10-23,7,27.314,NWE,,BUF,W 27-14,,0,0,,0,0,0,,0,,,,0,0,,0
33,1995,1995-10-29,8,27.320,NWE,,CAR,L 17-20,,0,0,,0,0,0,,0,,,,0,0,,0
34,1995,1995-11-05,9,27.327,NWE,@,NYJ,W 20-7,,0,0,,0,0,0,,0,,,,0,0,,0
35,1995,1995-11-12,10,27.334,NWE,@,MIA,W 34-17,,0,0,,0,0,0,,0,,,,0,0,,0
36,1995,1995-11-19,11,27.341,NWE,,IND,L 10-24,,0,0,,0,0,0,,0,,,,0,0,,0
37,1995,1995-11-26,12,27.348,NWE,@,BUF,W 35-25,,0,0,,0,0,0,,0,,,,0,0,,0
38,1995,1995-12-03,13,27.355,NWE,,NOR,L 17-31,,0,0,,0,0,0,,0,,,,1,8,8.00,0
39,1995,1995-12-10,14,27.362,NWE,,NYJ,W 31-28,,0,0,,0,0,0,,0,,,,0,0,,0
40,1995,1995-12-16,15,28.003,NWE,@,PIT,L 27-41,,0,0,,0,0,0,,0,,,,0,0,,0
41,1995,1995-12-23,16,28.010,NWE,@,IND,L 7-10,,0,0,,0,0,0,,0,,,,0,0,,0
42,1996,1996-09-15,3,28.277,NWE,,ARI,W 31-0,,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,1,0,0.00,0
43,1996,1996-12-01,13,28.354,NWE,@,SDG,W 45-7,,0,0,,0,0,0,,0,,,,3,-3,-1.00,0
44,1996,1996-12-08,14,28.361,NWE,,NYJ,W 34-10,,0,0,,0,0,0,,0,,,,0,0,,0
45,1997,1997-08-31,1,29.261,NWE,,SDG,W 41-7,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0
46,1997,1997-09-21,4,29.282,NWE,,CHI,W 31-3,,3,3,100.00,33,1,0,152.1,0,0,11.00,17.67,0,0,,0
47,1997,1997-10-12,6,29.303,NWE,,BUF,W 33-6,,0,0,,0,0,0,,0,,,,2,-2,-1.00,0
48,1997,1997-11-16,11,29.338,NWE,@,TAM,L 7-27,,3,6,50.00,34,1,0,106.9,0,0,5.67,9.00,0,0,,0
49,1998,1998-09-13,2,30.274,NWE,,IND,W 29-6,,0,0,,0,0,0,,0,0,,,3,-3,-1.00,0
50,1998,1998-10-11,5,30.302,NWE,,KAN,W 40-10,,1,2,50.00,6,0,0,56.2,0,0,3.00,3.00,0,0,,0
51,1998,1998-11-08,9,30.330,NWE,,ATL,L 10-41,,3,10,30.00,33,0,1,1.2,1,9,3.30,-1.20,0,0,,0
52,1998,1998-12-13,14,31.000,NWE,@,STL,L 18-32,,0,2,0.00,0,0,0,39.6,1,13,0.00,0.00,0,0,,0
53,1998,1998-12-20,15,31.007,NWE,,SFO,W 24-21,*,14,30,46.67,205,2,2,63.9,1,5,6.83,5.17,2,3,1.50,0
54,1998,1998-12-27,16,31.014,NWE,@,NYJ,L 10-31,*,14,31,45.16,127,1,0,67.5,1,8,4.10,4.74,0,0,,0
55,1999,1999-11-21,10,31.343,MIA,,NWE,W 27-17,,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-2,-1.00,0
