ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-09-12,1,24.052,DAL,@,WAS,L 7-13,,,,,,,,,
2,2010,2010-10-10,4,24.080,DAL,,TEN,L 27-34,,0,0,0.0,2,0,0,0,0
3,2010,2010-10-17,5,24.087,DAL,@,MIN,L 21-24,,,,,,,,,
4,2010,2010-10-25,6,24.095,DAL,,NYG,L 35-41,,0,0,0.0,2,1,0,0,0
5,2010,2010-10-31,7,24.101,DAL,,JAX,L 17-35,,,,,,,,,
6,2010,2010-11-07,8,24.108,DAL,@,GNB,L 7-45,,0,0,0.0,1,0,0,0,0
7,2010,2010-11-14,9,24.115,DAL,@,NYG,W 33-20,,0,0,0.0,0,1,0,0,0
8,2010,2010-11-21,10,24.122,DAL,,DET,W 35-19,,0,0,0.0,4,0,0,0,0
9,2010,2010-11-25,11,24.126,DAL,,NOR,L 27-30,,0,0,0.0,3,0,0,0,0
10,2010,2010-12-05,12,24.136,DAL,@,IND,W 38-35,,1,6,0.0,3,1,2,44,1
11,2010,2010-12-12,13,24.143,DAL,,PHI,L 27-30,,0,0,0.0,3,1,0,0,0
12,2010,2010-12-19,14,24.150,DAL,,WAS,W 33-30,,,,,,,,,
13,2010,2010-12-25,15,24.156,DAL,@,ARI,L 26-27,,0,0,0.0,0,1,0,0,0
14,2010,2011-01-02,16,24.164,DAL,@,PHI,W 14-13,,0,0,0.0,2,0,0,0,0
15,2011,2011-09-11,1,25.051,DAL,@,NYJ,L 24-27,*,0,0,0.0,9,2,1,37,0
16,2011,2011-09-18,2,25.058,DAL,@,SFO,W 27-24,*,0,0,0.0,8,2,0,0,0
17,2011,2011-09-26,3,25.066,DAL,,WAS,W 18-16,*,0,0,0.0,4,4,1,14,0
18,2011,2011-10-02,4,25.072,DAL,,DET,L 30-34,*,0,0,0.0,3,1,0,0,0
19,2011,2011-10-16,5,25.086,DAL,@,NWE,L 16-20,*,0,0,0.0,6,6,1,6,0
20,2011,2011-10-23,6,25.093,DAL,,STL,W 34-7,*,0,0,0.0,2,2,0,0,0
21,2011,2011-10-30,7,25.100,DAL,@,PHI,L 7-34,*,,,,,,,,
22,2011,2011-11-13,9,25.114,DAL,,BUF,W 44-7,*,0,0,0.0,3,1,0,0,0
23,2011,2011-11-20,10,25.121,DAL,@,WAS,W 27-24,*,0,0,0.0,6,4,0,0,0
24,2011,2011-11-24,11,25.125,DAL,,MIA,W 20-19,*,0,0,0.0,4,2,0,0,0
25,2011,2011-12-04,12,25.135,DAL,@,ARI,L 13-19,*,0,0,0.0,5,2,0,0,0
26,2011,2011-12-11,13,25.142,DAL,,NYG,L 34-37,*,0,0,0.0,5,4,1,30,0
27,2011,2011-12-17,14,25.148,DAL,@,TAM,W 31-15,*,0,0,0.0,2,0,0,0,0
28,2011,2011-12-24,15,25.155,DAL,,PHI,L 7-20,*,0,0,0.0,4,1,0,0,0
29,2011,2012-01-01,16,25.163,DAL,@,NYG,L 14-31,*,0,0,0.0,8,3,0,0,0
30,2012,2012-09-05,1,26.045,DAL,@,NYG,W 24-17,*,0,0,0.0,10,2,0,0,0
31,2012,2012-09-16,2,26.056,DAL,@,SEA,L 7-27,*,0,0,0.0,4,10,0,0,0
32,2012,2012-09-23,3,26.063,DAL,,TAM,W 16-10,*,0,0,0.0,5,1,1,0,0
33,2012,2012-10-01,4,26.071,DAL,,CHI,L 18-34,*,0,0,0.0,10,4,0,0,0
34,2012,2012-10-14,5,26.084,DAL,@,BAL,L 29-31,*,0,0,0.0,3,2,0,0,0
35,2012,2012-10-21,6,26.091,DAL,@,CAR,W 19-14,*,0,0,0.0,4,2,0,0,0
36,2013,2013-09-08,1,27.048,DAL,,NYG,W 36-31,*,0,0,0.0,4,1,0,0,0
37,2013,2013-09-15,2,27.055,DAL,@,KAN,L 16-17,*,0,0,0.0,3,1,0,0,0
38,2013,2013-09-22,3,27.062,DAL,,STL,W 31-7,*,0,0,0.0,4,3,0,0,0
39,2013,2013-09-29,4,27.069,DAL,@,SDG,L 21-30,*,0,6,0.0,15,3,1,52,1
