ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,22.246,NOR,@,PHI,L 13-15,,,,,
2,1992,1992-09-13,2,22.253,NOR,,CHI,W 28-6,,,,,
3,1992,1992-09-20,3,22.260,NOR,@,ATL,W 10-7,,,,,
4,1992,1992-09-27,4,22.267,NOR,,SFO,L 10-16,,,,,
5,1992,1992-10-04,5,22.274,NOR,@,DET,W 13-7,,,,,
6,1992,1992-10-11,6,22.281,NOR,,RAM,W 13-10,,,,,
7,1992,1992-10-18,7,22.288,NOR,@,PHO,W 30-21,,,,,
8,1992,1992-11-01,8,22.302,NOR,,TAM,W 23-21,,,,,
9,1992,1992-11-08,9,22.309,NOR,@,NWE,W 31-14,,,,,
10,1992,1992-11-15,10,22.316,NOR,@,SFO,L 20-21,,,,,
11,1992,1992-11-23,11,22.324,NOR,,WAS,W 20-3,,,,,
12,1992,1992-11-29,12,22.330,NOR,,MIA,W 24-13,,,,,
13,1992,1992-12-03,13,22.334,NOR,,ATL,W 22-14,,,,,
14,1992,1992-12-13,14,22.344,NOR,@,RAM,W 37-14,,,,,
15,1992,1992-12-20,15,22.351,NOR,,BUF,L 16-20,,,,,
16,1992,1992-12-26,16,22.357,NOR,@,NYJ,W 20-0,,,,,
17,1993,1993-09-05,1,23.244,NOR,,HOU,W 33-21,,,,,
18,1993,1993-09-12,2,23.251,NOR,@,ATL,W 34-31,,,,,
19,1993,1993-09-19,3,23.258,NOR,,DET,W 14-3,,,,,
20,1993,1993-09-26,4,23.265,NOR,,SFO,W 16-13,,,,,
21,1993,1993-10-03,5,23.272,NOR,@,RAM,W 37-6,,,,,
22,1993,1993-10-17,6,23.286,NOR,@,PIT,L 14-37,,,,,
23,1993,1993-10-24,7,23.293,NOR,,ATL,L 15-26,,,,,
24,1993,1993-10-31,8,23.300,NOR,@,PHO,W 20-17,,,,,
25,1993,1993-11-14,9,23.314,NOR,,GNB,L 17-19,,,,,
26,1993,1993-11-22,10,23.322,NOR,@,SFO,L 7-42,,,,,
27,1993,1993-11-28,11,23.328,NOR,@,MIN,W 17-14,,,,,
28,1993,1993-12-05,12,23.335,NOR,@,CLE,L 13-17,,,,,
29,1994,1994-09-04,1,24.243,NOR,,KAN,L 17-30,,,,,
30,1994,1994-09-11,2,24.250,NOR,,WAS,L 24-38,,,,,
31,1994,1994-09-18,3,24.257,NOR,@,TAM,W 9-7,,,,,
32,1994,1994-09-25,4,24.264,NOR,@,SFO,L 13-24,,,,,
33,1994,1994-10-02,5,24.271,NOR,,NYG,W 27-22,,,,,
34,1994,1994-10-09,6,24.278,NOR,@,CHI,L 7-17,,,,,
35,1994,1994-10-16,7,24.285,NOR,,SDG,L 22-36,,,,,
36,1994,1994-10-23,8,24.292,NOR,,RAM,W 37-34,,,,,
37,1994,1994-11-06,9,24.306,NOR,@,MIN,L 20-21,,,,,
38,1994,1994-11-13,10,24.313,NOR,,ATL,W 33-32,,,,,
39,1994,1994-11-20,11,24.320,NOR,@,RAI,L 19-24,0,0,1,1,0
40,1994,1994-11-28,12,24.328,NOR,,SFO,L 14-35,,,,,
41,1994,1994-12-04,13,24.334,NOR,@,RAM,W 31-15,,,,,
42,1994,1994-12-11,14,24.341,NOR,@,ATL,W 29-20,,,,,
43,1994,1994-12-19,15,24.349,NOR,,DAL,L 16-24,,,,,
44,1994,1994-12-24,16,24.354,NOR,@,DEN,W 30-28,,,,,
45,1995,1995-09-03,1,25.242,NOR,,SFO,L 22-24,1,6,1,47,1
46,1995,1995-09-10,2,25.249,NOR,@,STL,L 13-17,,,,,
47,1995,1995-09-17,3,25.256,NOR,,ATL,L 24-27,,,,,
48,1995,1995-09-24,4,25.263,NOR,@,NYG,L 29-45,,,,,
49,1995,1995-10-01,5,25.270,NOR,,PHI,L 10-15,,,,,
50,1995,1995-10-15,6,25.284,NOR,,MIA,W 33-30,,,,,
51,1995,1995-10-22,7,25.291,NOR,@,CAR,L 3-20,,,,,
52,1995,1995-10-29,8,25.298,NOR,@,SFO,W 11-7,,,,,
53,1995,1995-11-05,9,25.305,NOR,,STL,W 19-10,,,,,
54,1995,1995-11-12,10,25.312,NOR,,IND,W 17-14,,,,,
55,1995,1995-11-19,11,25.319,NOR,@,MIN,L 24-43,,,,,
56,1995,1995-11-26,12,25.326,NOR,,CAR,W 34-26,,,,,
57,1995,1995-12-03,13,25.333,NOR,@,NWE,W 31-17,,,,,
58,1995,1995-12-10,14,25.340,NOR,@,ATL,L 14-19,,,,,
59,1995,1995-12-16,15,25.346,NOR,,GNB,L 23-34,,,,,
60,1995,1995-12-24,16,25.354,NOR,@,NYJ,W 12-0,,,,,
61,1996,1996-09-01,1,26.241,NOR,@,SFO,L 11-27,,,,,
62,1996,1996-09-08,2,26.248,NOR,,CAR,L 20-22,,,,,
63,1996,1996-09-15,3,26.255,NOR,@,CIN,L 15-30,,,,,
64,1996,1996-09-22,4,26.262,NOR,,ARI,L 14-28,,,,,
65,1996,1996-10-06,6,26.276,NOR,,JAX,W 17-13,,,,,
66,1996,1996-10-13,7,26.283,NOR,,CHI,W 27-24,,,,,
