ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1992,1992-10-25,7,22.152,GNB,,CHI,L 10-30
2,1992,1992-11-01,8,22.159,GNB,@,DET,W 27-13
3,1992,1992-11-08,9,22.166,GNB,@,NYG,L 7-27
4,1994,1994-09-04,1,24.101,ARI,@,RAM,L 12-14
5,1994,1994-09-11,2,24.108,ARI,,NYG,L 17-20
6,1994,1994-09-18,3,24.115,ARI,@,CLE,L 0-32
7,1994,1994-10-02,4,24.129,ARI,,MIN,W 17-7
8,1994,1994-10-09,5,24.136,ARI,@,DAL,L 3-38
9,1994,1994-10-16,6,24.143,ARI,@,WAS,W 19-16
10,1994,1994-10-23,7,24.150,ARI,,DAL,L 21-28
11,1994,1994-10-30,8,24.157,ARI,,PIT,W 20-17
12,1994,1994-11-06,9,24.164,ARI,@,PHI,L 7-17
13,1994,1994-12-24,16,24.212,ARI,@,ATL,L 6-10
14,1995,1995-10-22,8,25.149,SDG,@,SEA,W 35-25
15,1995,1995-11-05,9,25.163,SDG,,MIA,L 14-24
16,1995,1995-11-12,10,25.170,SDG,,KAN,L 7-22
17,1995,1995-12-03,13,25.191,SDG,,CLE,W 31-13
18,1995,1995-12-09,14,25.197,SDG,,ARI,W 28-25
19,1995,1995-12-17,15,25.205,SDG,@,IND,W 27-24
20,1995,1995-12-23,16,25.211,SDG,@,NYG,W 27-17
