ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2016,2016-09-11,1,23.226,CLE,@,PHI,L 10-29,,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2016,2016-09-18,2,23.233,CLE,,BAL,L 20-25,,0,0,0,,0,0.0%,,0,0,,0,0,0
3,2016,2016-09-25,3,23.240,CLE,@,MIA,L 24-30,,0,0,0,,0,0.0%,,0,0,,0,0,0
4,2016,2016-10-30,8,23.275,CLE,,NYJ,L 28-31,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
5,2016,2016-11-06,9,23.282,CLE,,DAL,L 10-35,,0,0,0,,0,0.0%,,0,0,,0,0,0
6,2016,2016-11-10,10,23.286,CLE,@,BAL,L 7-28,,1,1,25,25.00,1,100.0%,25.00,0,0,,0,1,6
7,2016,2016-11-20,11,23.296,CLE,,PIT,L 9-24,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
8,2016,2016-11-27,12,23.303,CLE,,NYG,L 13-27,,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0
9,2016,2016-12-11,13,23.317,CLE,,CIN,L 10-23,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0
10,2016,2016-12-18,14,23.324,CLE,@,BUF,L 13-33,,1,1,6,6.00,0,100.0%,6.00,1,13,13.00,0,0,0
11,2016,2016-12-24,15,23.330,CLE,,SDG,W 20-17,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0
12,2016,2017-01-01,16,23.338,CLE,@,PIT,L 24-27,,1,1,12,12.00,1,100.0%,12.00,0,0,,0,1,6
13,2017,2017-09-10,1,24.224,CLE,,PIT,L 18-21,*,5,4,42,10.50,0,80.0%,8.40,0,0,,0,0,0
14,2017,2017-09-17,2,24.231,CLE,@,BAL,L 10-24,,4,2,61,30.50,0,50.0%,15.25,0,0,,0,0,0
15,2017,2017-09-24,3,24.238,CLE,@,IND,L 28-31,,5,2,29,14.50,0,40.0%,5.80,0,0,,0,0,0
16,2017,2017-10-01,4,24.245,CLE,,CIN,L 7-31,,4,1,2,2.00,0,25.0%,0.50,0,0,,0,0,0
17,2017,2017-10-08,5,24.252,CLE,,NYJ,L 14-17,*,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0
18,2017,2017-10-15,6,24.259,CLE,@,HOU,L 17-33,,3,2,9,4.50,1,66.7%,3.00,0,0,,0,1,6
19,2017,2017-10-22,7,24.266,CLE,,TEN,L 9-12,,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0
20,2017,2017-10-29,8,24.273,CLE,,MIN,L 16-33,,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0
21,2017,2017-11-12,9,24.287,CLE,@,DET,L 24-38,,6,4,70,17.50,0,66.7%,11.67,0,0,,0,0,0
22,2017,2017-11-19,10,24.294,CLE,,JAX,L 7-19,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0
23,2017,2017-11-26,11,24.301,CLE,@,CIN,L 16-30,*,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0
24,2017,2017-12-03,12,24.308,CLE,@,LAC,L 10-19,*,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0
25,2017,2017-12-10,13,24.315,CLE,,GNB,L 21-27,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0
26,2017,2017-12-17,14,24.322,CLE,,BAL,L 10-27,,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0
27,2017,2017-12-24,15,24.329,CLE,@,CHI,L 3-20,,4,3,12,4.00,0,75.0%,3.00,0,0,,0,0,0
28,2017,2017-12-31,16,24.336,CLE,@,PIT,L 24-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
29,2018,2018-09-09,1,25.223,CLE,,PIT,T 21-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0
