ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-10-31,7,24.206,SDG,@,KAN,L 20-23,,,,,,,
2,2011,2011-11-06,8,24.212,SDG,,GNB,L 38-45,,,,,,,
3,2011,2011-11-10,9,24.216,SDG,,OAK,L 17-24,,,,,,,
4,2011,2011-11-20,10,24.226,SDG,@,CHI,L 20-31,,,,,,,
5,2011,2011-11-27,11,24.233,SDG,,DEN,L 13-16,,0.0,0,0,0,0,0
6,2011,2011-12-11,13,24.247,SDG,,BUF,W 37-10,,0.0,0,0,0,0,0
7,2011,2012-01-01,16,24.268,SDG,@,OAK,W 38-26,,,,,,,
8,2012,2012-09-10,1,25.155,SDG,@,OAK,W 22-14,,0.0,0,0,0,0,0
9,2012,2012-11-01,8,25.207,SDG,,KAN,W 31-13,,0.0,1,0,0,0,0
10,2012,2012-11-11,9,25.217,SDG,@,TAM,L 24-34,,0.0,0,0,0,0,0
11,2012,2012-11-18,10,25.224,SDG,@,DEN,L 23-30,,0.0,4,0,0,0,0
12,2012,2012-11-25,11,25.231,SDG,,BAL,L 13-16,,0.0,2,0,0,0,0
13,2012,2012-12-02,12,25.238,SDG,,CIN,L 13-20,,0.0,1,0,0,0,0
14,2012,2012-12-09,13,25.245,SDG,@,PIT,W 34-24,,0.0,1,0,0,0,0
15,2012,2012-12-16,14,25.252,SDG,,CAR,L 7-31,,,,,,,
16,2012,2012-12-23,15,25.259,SDG,@,NYJ,W 27-17,,,,,,,
17,2012,2012-12-30,16,25.266,SDG,,OAK,W 24-21,,0.0,1,0,0,0,0
18,2013,2013-09-09,1,26.154,SDG,,HOU,L 28-31,*,0.0,7,1,0,0,0
19,2013,2013-09-15,2,26.160,SDG,@,PHI,W 33-30,*,0.0,5,0,0,0,0
20,2013,2013-10-14,6,26.189,SDG,,IND,W 19-9,*,0.0,1,0,0,0,0
21,2013,2013-10-20,7,26.195,SDG,@,JAX,W 24-6,*,0.0,1,0,0,0,0
22,2013,2013-11-03,8,26.209,SDG,@,WAS,L 24-30,*,0.0,4,1,0,0,0
23,2013,2013-11-10,9,26.216,SDG,,DEN,L 20-28,*,0.0,2,0,0,0,0
24,2013,2013-11-17,10,26.223,SDG,@,MIA,L 16-20,*,0.0,5,0,0,0,0
25,2013,2013-11-24,11,26.230,SDG,@,KAN,W 41-38,*,0.0,6,0,0,0,0
26,2013,2013-12-01,12,26.237,SDG,,CIN,L 10-17,*,0.0,1,0,0,0,0
27,2013,2013-12-08,13,26.244,SDG,,NYG,W 37-14,*,0.0,2,0,1,41,0
28,2013,2013-12-12,14,26.248,SDG,@,DEN,W 27-20,*,0.0,7,0,0,0,0
29,2013,2013-12-22,15,26.258,SDG,,OAK,W 26-13,*,0.0,7,0,0,0,0
30,2013,2013-12-29,16,26.265,SDG,,KAN,W 27-24,*,0.0,5,0,0,0,0
31,2014,2014-09-08,1,27.153,SDG,@,ARI,L 17-18,*,0.0,8,0,0,0,0
32,2014,2014-09-14,2,27.159,SDG,,SEA,W 30-21,*,0.0,5,2,0,0,0
33,2014,2014-09-21,3,27.166,SDG,@,BUF,W 22-10,*,0.0,2,0,0,0,0
34,2014,2014-09-28,4,27.173,SDG,,JAX,W 33-14,*,0.0,5,1,0,0,0
35,2014,2014-10-19,7,27.194,SDG,,KAN,L 20-23,*,0.0,7,1,0,0,0
36,2014,2014-10-23,8,27.198,SDG,@,DEN,L 21-35,*,0.0,4,0,0,0,0
37,2014,2014-11-02,9,27.208,SDG,@,MIA,L 0-37,*,0.0,2,1,0,0,0
38,2014,2014-11-16,10,27.222,SDG,,OAK,W 13-6,*,0.0,4,0,0,0,0
39,2014,2014-11-23,11,27.229,SDG,,STL,W 27-24,*,0.0,4,0,0,0,0
40,2014,2014-11-30,12,27.236,SDG,@,BAL,W 34-33,*,0.0,6,1,0,0,0
41,2014,2014-12-07,13,27.243,SDG,,NWE,L 14-23,*,0.0,1,0,0,0,0
42,2014,2014-12-14,14,27.250,SDG,,DEN,L 10-22,*,0.0,1,0,0,0,0
43,2014,2014-12-20,15,27.256,SDG,@,SFO,W 38-35,*,0.0,4,0,0,0,0
44,2014,2014-12-28,16,27.264,SDG,@,KAN,L 7-19,*,0.0,1,0,0,0,0
45,2015,2015-10-18,6,28.193,BAL,@,SFO,L 20-25,,0.0,3,1,0,0,0
46,2015,2015-10-26,7,28.201,BAL,@,ARI,L 18-26,*,0.0,4,0,0,0,0
47,2015,2015-11-01,8,28.207,BAL,,SDG,W 29-26,*,0.0,1,0,0,0,0
48,2015,2015-11-15,9,28.221,BAL,,JAX,L 20-22,,0.0,3,1,0,0,0
49,2015,2015-11-22,10,28.228,BAL,,STL,W 16-13,,0.0,0,0,0,0,0
50,2015,2015-11-30,11,28.236,BAL,@,CLE,W 33-27,,0.0,5,0,0,0,0
51,2015,2015-12-06,12,28.242,BAL,@,MIA,L 13-15,,0.0,2,0,0,0,0
52,2015,2015-12-13,13,28.249,BAL,,SEA,L 6-35,*,0.0,7,2,0,0,0
53,2015,2015-12-20,14,28.256,BAL,,KAN,L 14-34,*,0.0,3,1,0,0,0
54,2015,2015-12-27,15,28.263,BAL,,PIT,W 20-17,*,0.0,2,1,0,0,0
55,2015,2016-01-03,16,28.270,BAL,@,CIN,L 16-24,*,0.0,4,0,0,0,0
56,2016,2016-09-11,1,29.156,BAL,,BUF,W 13-7,*,0.0,11,0,0,0,0
57,2016,2016-09-18,2,29.163,BAL,@,CLE,W 25-20,*,0.0,1,0,0,0,0
58,2016,2016-09-25,3,29.170,BAL,@,JAX,W 19-17,*,0.0,6,1,0,0,0
59,2016,2016-10-02,4,29.177,BAL,,OAK,L 27-28,*,0.0,2,0,0,0,0
60,2016,2016-10-16,6,29.191,BAL,@,NYG,L 23-27,,0.0,2,0,0,0,0
