ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,21.331,NYG,,WAS,W 31-24,,,,,
2,1998,1998-09-13,2,21.338,NYG,@,OAK,L 17-20,,,,,
3,1998,1998-09-21,3,21.346,NYG,,DAL,L 7-31,,,,,
4,1998,1998-09-27,4,21.352,NYG,@,SDG,W 34-16,,,,,
5,1998,1998-11-01,8,22.022,NYG,@,WAS,L 14-21,,,,,
6,1998,1998-11-08,9,22.029,NYG,@,DAL,L 6-16,,,,,
7,1998,1998-11-15,10,22.036,NYG,,GNB,L 3-37,,,,,
8,1998,1998-11-22,11,22.043,NYG,,PHI,W 20-0,,,,,
9,1998,1998-11-30,12,22.051,NYG,@,SFO,L 7-31,,,,,
10,1998,1998-12-06,13,22.057,NYG,@,ARI,W 23-19,,0.0,1,6,0
11,1998,1998-12-13,14,22.064,NYG,,DEN,W 20-16,,0.0,1,0,0
12,1998,1998-12-20,15,22.071,NYG,,KAN,W 28-7,,,,,
13,1998,1998-12-27,16,22.078,NYG,@,PHI,W 20-10,,,,,
14,1999,1999-09-12,1,22.337,NYG,@,TAM,W 17-13,,,,,
15,1999,1999-09-19,2,22.344,NYG,,WAS,L 21-50,,,,,
16,1999,1999-09-26,3,22.351,NYG,@,NWE,L 14-16,,,,,
17,1999,1999-10-03,4,22.358,NYG,,PHI,W 16-15,,,,,
18,1999,1999-10-10,5,23.000,NYG,@,ARI,L 3-14,,,,,
19,1999,1999-10-18,6,23.008,NYG,,DAL,W 13-10,,,,,
20,1999,1999-10-24,7,23.014,NYG,,NOR,W 31-3,,,,,
21,1999,1999-12-12,13,23.063,NYG,@,BUF,W 19-17,,,,,
22,1999,1999-12-19,14,23.070,NYG,@,STL,L 10-31,,,,,
23,1999,1999-12-26,15,23.077,NYG,,MIN,L 17-34,,,,,
24,1999,2000-01-02,16,23.084,NYG,@,DAL,L 18-26,,,,,
25,2000,2000-09-03,1,23.329,NYG,,ARI,W 21-16,,0.0,1,40,0
26,2000,2000-09-10,2,23.336,NYG,@,PHI,W 33-18,*,,,,
27,2000,2000-09-17,3,23.343,NYG,@,CHI,W 14-7,*,,,,
28,2000,2000-09-24,4,23.350,NYG,,WAS,L 6-16,*,,,,
29,2000,2000-10-01,5,23.357,NYG,@,TEN,L 14-28,*,,,,
30,2000,2000-10-08,6,23.364,NYG,@,ATL,W 13-6,*,,,,
31,2000,2000-10-15,7,24.005,NYG,,DAL,W 19-14,*,0.0,1,12,0
32,2000,2000-10-29,8,24.019,NYG,,PHI,W 24-7,*,,,,
33,2000,2000-11-05,9,24.026,NYG,@,CLE,W 24-3,*,,,,
34,2000,2000-11-12,10,24.033,NYG,,STL,L 24-38,*,,,,
35,2000,2000-11-19,11,24.040,NYG,,DET,L 21-31,,0.0,1,0,0
36,2000,2000-11-26,12,24.047,NYG,@,ARI,W 31-7,*,,,,
37,2000,2000-12-03,13,24.054,NYG,@,WAS,W 9-7,*,,,,
38,2000,2000-12-10,14,24.061,NYG,,PIT,W 30-10,,,,,
39,2000,2000-12-17,15,24.068,NYG,@,DAL,W 17-13,*,,,,
40,2000,2000-12-23,16,24.074,NYG,,JAX,W 28-25,,,,,
41,2001,2001-09-10,1,24.335,NYG,@,DEN,L 20-31,*,,,,
42,2001,2001-09-23,2,24.348,NYG,@,KAN,W 13-3,*,0.0,1,0,0
43,2001,2001-09-30,3,24.355,NYG,,NOR,W 21-13,*,0.0,1,5,0
44,2001,2001-10-07,4,24.362,NYG,,WAS,W 23-9,*,,,,
45,2001,2001-10-14,5,25.004,NYG,@,STL,L 14-15,*,,,,
46,2001,2001-10-22,6,25.012,NYG,,PHI,L 9-10,*,0.0,1,20,0
47,2001,2001-10-28,7,25.018,NYG,@,WAS,L 21-35,*,1.0,0,0,0
48,2001,2001-11-04,8,25.025,NYG,,DAL,W 27-24,*,,,,
49,2001,2001-11-11,9,25.032,NYG,@,ARI,W 17-10,*,,,,
50,2001,2001-11-19,10,25.040,NYG,@,MIN,L 16-28,*,,,,
51,2001,2001-11-25,11,25.046,NYG,,OAK,L 10-28,*,,,,
52,2001,2001-12-09,12,25.060,NYG,@,DAL,L 13-20,*,,,,
53,2001,2001-12-15,13,25.066,NYG,,ARI,W 17-13,*,,,,
54,2001,2001-12-23,14,25.074,NYG,,SEA,W 27-24,*,,,,
55,2001,2001-12-30,15,25.081,NYG,@,PHI,L 21-24,*,,,,
56,2001,2002-01-06,16,25.088,NYG,,GNB,L 25-34,*,,,,
57,2002,2002-09-05,1,25.330,NYG,,SFO,L 13-16,*,,,,
58,2002,2002-09-15,2,25.340,NYG,@,STL,W 26-21,*,,,,
59,2002,2002-09-22,3,25.347,NYG,,SEA,W 9-6,*,,,,
60,2002,2002-09-29,4,25.354,NYG,@,ARI,L 7-21,*,,,,
61,2002,2002-10-06,5,25.361,NYG,@,DAL,W 21-17,*,1.0,0,0,0
62,2002,2002-10-13,6,26.003,NYG,,ATL,L 10-17,*,,,,
63,2002,2002-10-28,7,26.018,NYG,@,PHI,L 3-17,*,,,,
64,2002,2002-11-03,8,26.024,NYG,,JAX,W 24-17,*,1.0,0,0,0
65,2002,2002-11-10,9,26.031,NYG,@,MIN,W 27-20,*,,,,
66,2002,2002-11-17,10,26.038,NYG,,WAS,W 19-17,*,,,,
67,2002,2002-11-24,11,26.045,NYG,@,HOU,L 14-16,*,,,,
68,2002,2002-12-01,12,26.052,NYG,,TEN,L 29-32,*,,,,
69,2002,2002-12-08,13,26.059,NYG,@,WAS,W 27-21,*,,,,
70,2002,2002-12-15,14,26.066,NYG,,DAL,W 37-7,*,0.0,1,-2,0
71,2002,2002-12-22,15,26.073,NYG,@,IND,W 44-27,*,,,,
72,2002,2002-12-28,16,26.079,NYG,,PHI,W 10-7,*,0.0,1,0,0
73,2003,2003-09-07,1,26.332,NYG,,STL,W 23-13,*,1.0,0,0,0
74,2003,2003-09-15,2,26.340,NYG,,DAL,L 32-35,*,,,,
75,2003,2003-09-21,3,26.346,NYG,@,WAS,W 24-21,*,0.5,0,0,0
76,2003,2003-10-05,4,26.360,NYG,,MIA,L 10-23,*,,,,
77,2003,2003-10-12,5,27.002,NYG,@,NWE,L 6-17,*,,,,
