ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,23.235,WAS,@,NYG,L 24-31,,,,,,,
2,1998,1998-09-14,2,23.243,WAS,,SFO,L 10-45,,,,,,,
3,1998,1998-09-20,3,23.249,WAS,@,SEA,L 14-24,,,,,,,
4,1998,1998-09-27,4,23.256,WAS,,DEN,L 16-38,,,,,,,
5,1998,1998-10-04,5,23.263,WAS,,DAL,L 10-31,,,,,,,
6,1998,1998-10-11,6,23.270,WAS,@,PHI,L 12-17,,,,,,,
7,1998,1998-10-18,7,23.277,WAS,@,MIN,L 7-41,,,,,,,
8,1998,1998-11-01,8,23.291,WAS,,NYG,W 21-14,,,,,,,
9,1998,1998-11-08,9,23.298,WAS,@,ARI,L 27-29,,,,,,,
10,1998,1998-11-15,10,23.305,WAS,,PHI,W 28-3,,,,,,,
11,1998,1998-11-22,11,23.312,WAS,,ARI,L 42-45,,,,,,,
12,1998,1998-11-29,12,23.319,WAS,@,OAK,W 29-19,,0,0,0.0,1,0,0
13,1998,1998-12-06,13,23.326,WAS,,SDG,W 24-20,,,,,,,
14,1998,1998-12-13,14,23.333,WAS,@,CAR,W 28-25,,,,,,,
15,1998,1998-12-19,15,23.339,WAS,,TAM,W 20-16,,,,,,,
16,1998,1998-12-27,16,23.347,WAS,@,DAL,L 7-23,,,,,,,
17,1999,1999-09-12,1,24.241,WAS,,DAL,L 35-41,*,,,,,,
18,1999,1999-09-19,2,24.248,WAS,@,NYG,W 50-21,*,1,6,0.0,1,70,1
19,1999,1999-09-26,3,24.255,WAS,@,NYJ,W 27-20,*,,,,,,
20,1999,1999-10-03,4,24.262,WAS,,CAR,W 38-36,*,,,,,,
21,1999,1999-10-17,5,24.276,WAS,@,ARI,W 24-10,*,0,0,1.0,0,0,0
22,1999,1999-10-24,6,24.283,WAS,@,DAL,L 20-38,*,,,,,,
23,1999,1999-10-31,7,24.290,WAS,,CHI,W 48-22,*,,,,,,
24,1999,1999-11-07,8,24.297,WAS,,BUF,L 17-34,*,,,,,,
25,1999,1999-11-14,9,24.304,WAS,@,PHI,L 28-35,*,,,,,,
26,1999,1999-11-21,10,24.311,WAS,,NYG,W 23-13,*,,,,,,
27,1999,1999-11-28,11,24.318,WAS,,PHI,W 20-17,*,,,,,,
28,1999,1999-12-05,12,24.325,WAS,@,DET,L 17-33,*,,,,,,
29,1999,1999-12-12,13,24.332,WAS,,ARI,W 28-3,*,,,,,,
30,1999,1999-12-19,14,24.339,WAS,@,IND,L 21-24,*,0,0,0.0,1,0,0
31,1999,1999-12-26,15,24.346,WAS,@,SFO,W 26-20,*,,,,,,
32,1999,2000-01-02,16,24.353,WAS,,MIA,W 21-10,*,,,,,,
33,2000,2000-09-03,1,25.233,WAS,,CAR,W 20-17,*,,,,,,
34,2000,2000-09-10,2,25.240,WAS,@,DET,L 10-15,*,,,,,,
35,2000,2000-09-18,3,25.248,WAS,,DAL,L 21-27,*,,,,,,
36,2000,2000-09-24,4,25.254,WAS,@,NYG,W 16-6,*,0,0,1.0,0,0,0
37,2000,2000-10-01,5,25.261,WAS,,TAM,W 20-17,*,,,,,,
38,2000,2000-10-08,6,25.268,WAS,@,PHI,W 17-14,*,,,,,,
39,2000,2000-10-15,7,25.275,WAS,,BAL,W 10-3,,0,0,1.0,0,0,0
40,2000,2000-10-22,8,25.282,WAS,@,JAX,W 35-16,,,,,,,
41,2000,2000-11-20,11,25.311,WAS,@,STL,W 33-20,*,,,,,,
42,2000,2000-11-26,12,25.317,WAS,,PHI,L 20-23,,,,,,,
43,2000,2000-12-03,13,25.324,WAS,,NYG,L 7-9,*,,,,,,
44,2000,2000-12-10,14,25.331,WAS,@,DAL,L 13-32,,,,,,,
45,2000,2000-12-16,15,25.337,WAS,@,PIT,L 3-24,*,,,,,,
46,2000,2000-12-24,16,25.345,WAS,,ARI,W 20-3,,,,,,,
47,2001,2001-09-09,1,26.238,WAS,@,SDG,L 3-30,*,,,,,,
48,2001,2001-09-24,2,26.253,WAS,@,GNB,L 0-37,*,,,,,,
49,2001,2001-09-30,3,26.259,WAS,,KAN,L 13-45,*,,,,,,
50,2002,2002-09-08,1,27.237,PHI,@,TEN,L 24-27,*,0,0,0.0,1,1,0
51,2002,2002-09-16,2,27.245,PHI,@,WAS,W 37-7,*,,,,,,
52,2002,2002-09-22,3,27.251,PHI,,DAL,W 44-13,*,,,,,,
53,2002,2002-09-29,4,27.258,PHI,,HOU,W 35-17,*,,,,,,
54,2002,2002-10-06,5,27.265,PHI,@,JAX,L 25-28,*,,,,,,
55,2002,2002-10-20,6,27.279,PHI,,TAM,W 20-10,*,,,,,,
56,2002,2002-10-28,7,27.287,PHI,,NYG,W 17-3,*,,,,,,
57,2002,2002-11-03,8,27.293,PHI,@,CHI,W 19-13,*,,,,,,
58,2002,2002-11-10,9,27.300,PHI,,IND,L 13-35,*,,,,,,
59,2002,2002-11-17,10,27.307,PHI,,ARI,W 38-14,*,,,,,,
60,2002,2002-11-25,11,27.315,PHI,@,SFO,W 38-17,*,,,,,,
61,2002,2002-12-01,12,27.321,PHI,,STL,W 10-3,*,0,0,1.0,0,0,0
62,2002,2002-12-08,13,27.328,PHI,@,SEA,W 27-20,*,,,,,,
63,2002,2002-12-15,14,27.335,PHI,,WAS,W 34-21,*,,,,,,
