ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,1999,1999-10-03,3,23.218,DAL,,ARI,W 35-7,*
2,1999,1999-10-10,4,23.225,DAL,@,PHI,L 10-13,
3,1999,1999-10-18,5,23.233,DAL,@,NYG,L 10-13,
4,1999,1999-10-24,6,23.239,DAL,,WAS,W 38-20,
5,1999,1999-10-31,7,23.246,DAL,@,IND,L 24-34,
6,1999,1999-11-08,8,23.254,DAL,@,MIN,L 17-27,
7,1999,1999-11-14,9,23.260,DAL,,GNB,W 27-13,
8,1999,1999-11-21,10,23.267,DAL,@,ARI,L 9-13,*
9,1999,1999-11-25,11,23.271,DAL,,MIA,W 20-0,*
10,1999,1999-12-05,12,23.281,DAL,@,NWE,L 6-13,*
11,1999,1999-12-12,13,23.288,DAL,,PHI,W 20-10,*
12,1999,1999-12-19,14,23.295,DAL,,NYJ,L 21-22,*
13,1999,1999-12-24,15,23.300,DAL,@,NOR,L 24-31,
14,1999,2000-01-02,16,23.309,DAL,,NYG,W 26-18,
15,2000,2000-09-03,1,24.189,DAL,,PHI,L 14-41,*
16,2000,2000-09-10,2,24.196,DAL,@,ARI,L 31-32,*
17,2000,2000-09-18,3,24.204,DAL,@,WAS,W 27-21,*
18,2000,2000-09-24,4,24.210,DAL,,SFO,L 24-41,*
19,2000,2000-10-01,5,24.217,DAL,@,CAR,W 16-13,
20,2000,2000-10-15,6,24.231,DAL,@,NYG,L 14-19,*
21,2000,2000-10-22,7,24.238,DAL,,ARI,W 48-7,*
22,2000,2000-10-29,8,24.245,DAL,,JAX,L 17-23,*
23,2000,2000-11-05,9,24.252,DAL,@,PHI,L 13-16,*
24,2000,2000-11-12,10,24.259,DAL,,CIN,W 23-6,
25,2000,2000-11-19,11,24.266,DAL,@,BAL,L 0-27,
26,2000,2000-11-23,12,24.270,DAL,,MIN,L 15-27,
27,2000,2000-12-03,13,24.280,DAL,@,TAM,L 7-27,*
28,2000,2000-12-10,14,24.287,DAL,,WAS,W 32-13,
29,2000,2000-12-17,15,24.294,DAL,,NYG,L 13-17,*
30,2000,2000-12-25,16,24.302,DAL,@,TEN,L 0-31,*
31,2001,2001-09-09,1,25.194,DAL,,TAM,L 6-10,*
32,2001,2001-09-23,2,25.208,DAL,,SDG,L 21-32,*
33,2001,2001-09-30,3,25.215,DAL,@,PHI,L 18-40,*
34,2001,2001-10-07,4,25.222,DAL,@,OAK,L 21-28,*
35,2001,2001-10-15,5,25.230,DAL,,WAS,W 9-7,*
36,2001,2001-10-28,6,25.243,DAL,,ARI,W 17-3,*
37,2001,2001-11-04,7,25.250,DAL,@,NYG,L 24-27,*
38,2001,2001-11-11,8,25.257,DAL,@,ATL,L 13-20,*
39,2001,2001-11-18,9,25.264,DAL,,PHI,L 3-36,*
40,2001,2001-11-22,10,25.268,DAL,,DEN,L 24-26,*
41,2001,2001-12-02,11,25.278,DAL,@,WAS,W 20-14,*
42,2001,2001-12-09,12,25.285,DAL,,NYG,W 20-13,*
43,2001,2001-12-16,13,25.292,DAL,@,SEA,L 3-29,*
44,2001,2001-12-23,14,25.299,DAL,@,ARI,L 10-17,*
45,2002,2002-09-08,1,26.193,DAL,@,HOU,L 10-19,*
46,2002,2002-09-15,2,26.200,DAL,,TEN,W 21-13,*
47,2002,2002-09-22,3,26.207,DAL,@,PHI,L 13-44,*
48,2002,2002-09-29,4,26.214,DAL,@,STL,W 13-10,*
49,2002,2002-10-06,5,26.221,DAL,,NYG,L 17-21,*
50,2002,2002-10-13,6,26.228,DAL,,CAR,W 14-13,*
51,2002,2002-10-20,7,26.235,DAL,@,ARI,L 6-9,*
52,2002,2002-10-27,8,26.242,DAL,,SEA,L 14-17,*
53,2002,2002-11-03,9,26.249,DAL,@,DET,L 7-9,*
54,2002,2002-11-17,10,26.263,DAL,@,IND,L 3-20,*
55,2002,2002-11-24,11,26.270,DAL,,JAX,W 21-19,*
56,2002,2002-11-28,12,26.274,DAL,,WAS,W 27-20,*
57,2002,2002-12-08,13,26.284,DAL,,SFO,L 27-31,*
58,2002,2002-12-15,14,26.291,DAL,@,NYG,L 7-37,*
59,2002,2002-12-21,15,26.297,DAL,,PHI,L 3-27,*
60,2003,2003-09-07,1,27.192,SDG,@,KAN,L 14-27,*
61,2003,2003-09-14,2,27.199,SDG,,DEN,L 13-37,*
62,2003,2003-09-21,3,27.206,SDG,,BAL,L 10-24,*
63,2003,2003-10-19,6,27.234,SDG,@,CLE,W 26-20,*
64,2003,2003-10-27,7,27.242,SDG,,MIA,L 10-26,*
65,2003,2003-11-30,12,27.276,SDG,,KAN,L 24-28,
66,2003,2003-12-07,13,27.283,SDG,@,DET,W 14-7,*
67,2003,2003-12-14,14,27.290,SDG,,GNB,L 21-38,*
